seq_id,case_id,ocd_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,ablation_candidate,notes,surface_formula,surface_elements,bare_slab_atoms,adsorbate_atoms,y_relaxed,site_indices
001,001,10,datasets/ocd62/001_Hf16Zn48_C_O_C.xyz,C(=O)C,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C(=O)C on the provided surface.,intermetallic,C(=O)C,,GENERALIZATION,FALSE,OCD id=10; adsorbate=C(=O)C; surface_formula=Hf16Zn48; y_relaxed=-6.112799 eV; site=4;6;14,Hf16Zn48,Hf;Zn,64,7,-6.112799,4;6;14
002,002,16,datasets/ocd62/002_Hf18Sc18Si36_NO.xyz,NO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES NO on the provided surface.,intermetallic,NO,,GENERALIZATION,FALSE,OCD id=16; adsorbate=NO; surface_formula=Hf18Sc18Si36; y_relaxed=0.442459 eV; site=4,Hf18Sc18Si36,Hf;Sc;Si,72,5,0.442459,4
003,003,31,datasets/ocd62/003_Cd24Pd24_NO.xyz,NO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES NO on the provided surface.,intermetallic,NO,,GENERALIZATION,FALSE,OCD id=31; adsorbate=NO; surface_formula=Cd24Pd24; y_relaxed=1.121879 eV; site=32,Cd24Pd24,Cd;Pd,48,5,1.121879,32
004,004,46,datasets/ocd62/004_Pt16V48_N_O.xyz,[N]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=O on the provided surface.,intermetallic,[N]=O,,GENERALIZATION,FALSE,OCD id=46; adsorbate=[N]=O; surface_formula=Pt16V48; y_relaxed=-1.092892 eV; site=23;24;40;56;63,Pt16V48,Pt;V,64,2,-1.092892,23;24;40;56;63
005,005,70,datasets/ocd62/005_As48Hf48Ni48_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,FALSE,OCD id=70; adsorbate=[NH2]; surface_formula=As48Hf48Ni48; y_relaxed=-3.784177 eV; site=38,As48Hf48Ni48,As;Hf;Ni,144,3,-3.784177,38
006,006,76,datasets/ocd62/006_In10N10Ti30_N.xyz,N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES N on the provided surface.,intermetallic,N,,GENERALIZATION,FALSE,OCD id=76; adsorbate=N; surface_formula=In10N10Ti30; y_relaxed=-1.958876 eV; site=8,In10N10Ti30,In;N;Ti,50,4,-1.958876,8
007,007,84,datasets/ocd62/007_Mo18S72W18_O_N.xyz,O=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES O=N on the provided surface.,intermetallic,O=N,,GENERALIZATION,FALSE,OCD id=84; adsorbate=O=N; surface_formula=Mo18S72W18; y_relaxed=-1.778516 eV; site=18,Mo18S72W18,Mo;S;W,108,3,-1.778516,18
008,008,87,datasets/ocd62/008_Ga12Pd36_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,FALSE,OCD id=87; adsorbate=[NH]; surface_formula=Ga12Pd36; y_relaxed=0.445898 eV; site=19;23;28,Ga12Pd36,Ga;Pd,48,2,0.445898,19;23;28
009,009,88,datasets/ocd62/009_Ge24Zr40_CH_O.xyz,[CH]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH]=O on the provided surface.,compound,[CH]=O,,GENERALIZATION,FALSE,OCD id=88; adsorbate=[CH]=O; surface_formula=Ge24Zr40; y_relaxed=-3.100352 eV; site=26;30;34;38;52,Ge24Zr40,Ge;Zr,64,3,-3.100352,26;30;34;38;52
010,010,94,datasets/ocd62/010_Ag18Sr27_N_N.xyz,[N]=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=N on the provided surface.,intermetallic,[N]=N,,GENERALIZATION,FALSE,OCD id=94; adsorbate=[N]=N; surface_formula=Ag18Sr27; y_relaxed=-1.304037 eV; site=0;1;4;14;16,Ag18Sr27,Ag;Sr,45,3,-1.304037,0;1;4;14;16
011,011,105,datasets/ocd62/011_Se48Sn48_CO.xyz,CO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES CO on the provided surface.,compound,CO,,GENERALIZATION,FALSE,OCD id=105; adsorbate=CO; surface_formula=Se48Sn48; y_relaxed=-1.719915 eV; site=72,Se48Sn48,Se;Sn,96,6,-1.719915,72
012,012,108,datasets/ocd62/012_Ru60Ta20_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,FALSE,OCD id=108; adsorbate=[NH]; surface_formula=Ru60Ta20; y_relaxed=-2.195671 eV; site=1;8;26;31,Ru60Ta20,Ru;Ta,80,2,-2.195671,1;8;26;31
013,013,114,datasets/ocd62/013_Ag24In12Sc12_CO.xyz,CO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES CO on the provided surface.,intermetallic,CO,,GENERALIZATION,FALSE,OCD id=114; adsorbate=CO; surface_formula=Ag24In12Sc12; y_relaxed=-2.551059 eV; site=38,Ag24In12Sc12,Ag;In;Sc,48,6,-2.551059,38
014,014,118,datasets/ocd62/014_Ge36V60_N_N.xyz,[N]=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=N on the provided surface.,compound,[N]=N,,GENERALIZATION,FALSE,OCD id=118; adsorbate=[N]=N; surface_formula=Ge36V60; y_relaxed=-2.727881 eV; site=37;47;53;62;65;86,Ge36V60,Ge;V,96,3,-2.727881,37;47;53;62;65;86
015,015,130,datasets/ocd62/015_Ge16Mn48_C_O_C.xyz,C(=O)C,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C(=O)C on the provided surface.,compound,C(=O)C,,GENERALIZATION,FALSE,OCD id=130; adsorbate=C(=O)C; surface_formula=Ge16Mn48; y_relaxed=-5.673214 eV; site=40;41,Ge16Mn48,Ge;Mn,64,7,-5.673214,40;41
016,016,181,datasets/ocd62/016_Cu32Se64W16_C_C_O.xyz,C(C)O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C(C)O on the provided surface.,intermetallic,C(C)O,,GENERALIZATION,FALSE,OCD id=181; adsorbate=C(C)O; surface_formula=Cu32Se64W16; y_relaxed=-4.747458 eV; site=35,Cu32Se64W16,Cu;Se;W,112,9,-4.747458,35
017,017,183,datasets/ocd62/017_Pb24Y8_N_O.xyz,[N]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=O on the provided surface.,intermetallic,[N]=O,,GENERALIZATION,FALSE,OCD id=183; adsorbate=[N]=O; surface_formula=Pb24Y8; y_relaxed=1.712046 eV; site=8;19;29,Pb24Y8,Pb;Y,32,2,1.712046,8;19;29
018,018,192,datasets/ocd62/018_Si8Ta16V24_N_N.xyz,[N]=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=N on the provided surface.,intermetallic,[N]=N,,GENERALIZATION,FALSE,OCD id=192; adsorbate=[N]=N; surface_formula=Si8Ta16V24; y_relaxed=-2.085077 eV; site=5;7;23;25;27,Si8Ta16V24,Si;Ta;V,48,3,-2.085077,5;7;23;25;27
019,019,196,datasets/ocd62/019_Ag96Ga32_CH2_O.xyz,[CH2][O],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH2][O] on the provided surface.,intermetallic,[CH2][O],,GENERALIZATION,FALSE,OCD id=196; adsorbate=[CH2][O]; surface_formula=Ag96Ga32; y_relaxed=-0.474967 eV; site=75,Ag96Ga32,Ag;Ga,128,4,-0.474967,75
020,020,201,datasets/ocd62/020_Cr36N48_CH_O.xyz,[CH]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH]=O on the provided surface.,compound,[CH]=O,,GENERALIZATION,FALSE,OCD id=201; adsorbate=[CH]=O; surface_formula=Cr36N48; y_relaxed=-4.026478 eV; site=4;6;36,Cr36N48,Cr;N,84,3,-4.026478,4;6;36
021,021,208,datasets/ocd62/021_Al20Au20Y20_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,FALSE,OCD id=208; adsorbate=[NH2]; surface_formula=Al20Au20Y20; y_relaxed=-2.224874 eV; site=7;37,Al20Au20Y20,Al;Au;Y,60,3,-2.224874,7;37
022,022,242,datasets/ocd62/022_Fe20Mn20P20_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,FALSE,OCD id=242; adsorbate=[NH2]; surface_formula=Fe20Mn20P20; y_relaxed=-1.886377 eV; site=10;24,Fe20Mn20P20,Fe;Mn;P,60,3,-1.886377,10;24
023,023,252,datasets/ocd62/023_Ag60Ga20_C_O_C.xyz,C(=O)C,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C(=O)C on the provided surface.,intermetallic,C(=O)C,,GENERALIZATION,FALSE,OCD id=252; adsorbate=C(=O)C; surface_formula=Ag60Ga20; y_relaxed=-2.988905 eV; site=3,Ag60Ga20,Ag;Ga,80,7,-2.988905,3
024,024,275,datasets/ocd62/024_Cd20Y20_C_O.xyz,C[O],Find the lowest-energy adsorption configuration for the adsorbate with SMILES C[O] on the provided surface.,intermetallic,C[O],,GENERALIZATION,FALSE,OCD id=275; adsorbate=C[O]; surface_formula=Cd20Y20; y_relaxed=-3.624228 eV; site=10;11;24;34,Cd20Y20,Cd;Y,40,5,-3.624228,10;11;24;34
025,025,294,datasets/ocd62/025_Ga36Mn36_N.xyz,N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES N on the provided surface.,intermetallic,N,,GENERALIZATION,FALSE,OCD id=294; adsorbate=N; surface_formula=Ga36Mn36; y_relaxed=-1.264676 eV; site=25,Ga36Mn36,Ga;Mn,72,4,-1.264676,25
026,026,335,datasets/ocd62/026_As40Ti40_C_O.xyz,C[O],Find the lowest-energy adsorption configuration for the adsorbate with SMILES C[O] on the provided surface.,compound,C[O],,GENERALIZATION,FALSE,OCD id=335; adsorbate=C[O]; surface_formula=As40Ti40; y_relaxed=-2.485463 eV; site=37,As40Ti40,As;Ti,80,5,-2.485463,37
027,027,338,datasets/ocd62/027_Se72Ta36_N.xyz,N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES N on the provided surface.,compound,N,,GENERALIZATION,FALSE,OCD id=338; adsorbate=N; surface_formula=Se72Ta36; y_relaxed=-2.190186 eV; site=105,Se72Ta36,Se;Ta,108,4,-2.190186,105
