seq_id,case_id,ocd62_case_id,ocd_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,ablation_candidate,notes,surface_formula,surface_elements,bare_slab_atoms,adsorbate_atoms,y_relaxed,site_indices
001,001,002,16,datasets/ocd62_overlap12/001_Hf18Sc18Si36_NO.xyz,NO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES NO on the provided surface.,intermetallic,NO,,GENERALIZATION,FALSE,OCD id=16; adsorbate=NO; surface_formula=Hf18Sc18Si36; y_relaxed=0.442459 eV; site=4,Hf18Sc18Si36,Hf;Sc;Si,72,5,0.442459,4
002,002,010,94,datasets/ocd62_overlap12/002_Ag18Sr27_N_N.xyz,[N]=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=N on the provided surface.,intermetallic,[N]=N,,GENERALIZATION,FALSE,OCD id=94; adsorbate=[N]=N; surface_formula=Ag18Sr27; y_relaxed=-1.304037 eV; site=0;1;4;14;16,Ag18Sr27,Ag;Sr,45,3,-1.304037,0;1;4;14;16
003,003,012,108,datasets/ocd62_overlap12/003_Ru60Ta20_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,FALSE,OCD id=108; adsorbate=[NH]; surface_formula=Ru60Ta20; y_relaxed=-2.195671 eV; site=1;8;26;31,Ru60Ta20,Ru;Ta,80,2,-2.195671,1;8;26;31
004,004,016,181,datasets/ocd62_overlap12/004_Cu32Se64W16_C_C_O.xyz,C(C)O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C(C)O on the provided surface.,intermetallic,C(C)O,,GENERALIZATION,FALSE,OCD id=181; adsorbate=C(C)O; surface_formula=Cu32Se64W16; y_relaxed=-4.747458 eV; site=35,Cu32Se64W16,Cu;Se;W,112,9,-4.747458,35
005,005,020,201,datasets/ocd62_overlap12/005_Cr36N48_CH_O.xyz,[CH]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH]=O on the provided surface.,compound,[CH]=O,,GENERALIZATION,FALSE,OCD id=201; adsorbate=[CH]=O; surface_formula=Cr36N48; y_relaxed=-4.026478 eV; site=4;6;36,Cr36N48,Cr;N,84,3,-4.026478,4;6;36
006,006,029,362,datasets/ocd62_overlap12/006_In18N18Ti36_O_N.xyz,O=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES O=N on the provided surface.,intermetallic,O=N,,GENERALIZATION,FALSE,OCD id=362; adsorbate=O=N; surface_formula=In18N18Ti36; y_relaxed=-1.779823 eV; site=61;62;65,In18N18Ti36,In;N;Ti,72,3,-1.779823,61;62;65
007,007,032,479,datasets/ocd62_overlap12/007_Ni6Sc36Te12_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,FALSE,OCD id=479; adsorbate=[OH]; surface_formula=Ni6Sc36Te12; y_relaxed=-2.695426 eV; site=27;28;30,Ni6Sc36Te12,Ni;Sc;Te,54,2,-2.695426,27;28;30
008,008,035,513,datasets/ocd62_overlap12/008_Pd24Zr24_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,FALSE,OCD id=513; adsorbate=[OH]; surface_formula=Pd24Zr24; y_relaxed=-1.992712 eV; site=11;19;41,Pd24Zr24,Pd;Zr,48,2,-1.992712,11;19;41
009,009,036,530,datasets/ocd62_overlap12/009_Co32Y48_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,FALSE,OCD id=530; adsorbate=[NH]; surface_formula=Co32Y48; y_relaxed=-2.517605 eV; site=65;66;77,Co32Y48,Co;Y,80,2,-2.517605,65;66;77
010,010,041,596,datasets/ocd62_overlap12/010_Cr18Pt18_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,FALSE,OCD id=596; adsorbate=[H]; surface_formula=Cr18Pt18; y_relaxed=-1.602807 eV; site=28;34,Cr18Pt18,Cr;Pt,36,1,-1.602807,28;34
011,011,048,735,datasets/ocd62_overlap12/011_Re27Ti27_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,FALSE,OCD id=735; adsorbate=[NH2]; surface_formula=Re27Ti27; y_relaxed=-4.360505 eV; site=29;38,Re27Ti27,Re;Ti,54,3,-4.360505,29;38
012,012,050,768,datasets/ocd62_overlap12/012_Ga24Y24_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,FALSE,OCD id=768; adsorbate=[H]; surface_formula=Ga24Y24; y_relaxed=-0.464746 eV; site=19;43;45;47,Ga24Y24,Ga;Y,48,1,-0.464746,19;43;45;47
