Case,Full,-Slip,-Forbid,-Term,1-Shot
01,-3.632,-3.632,-3.632,-3.632,-3.631
02,-4.766,-4.766,-4.766,-4.766,-4.766
03,-3.352,-3.352,-3.352,-3.352,-3.352
04,-2.060,-2.195,-2.039,-1.845,-1.658
05,-2.962,-2.962,-2.962,-2.962,-2.947
06,-2.165,-1.875,-1.875,-1.875,
07,-7.051,-7.051,-7.051,-7.031,-6.883
08,-6.414,-6.414,-6.414,-6.869,-6.414
09,-1.974,-1.974,-1.974,-1.974,-1.801
10,-2.718,-2.718,-2.718,-2.718,-2.122
11,-2.389,-2.418,-2.418,-2.418,-2.381
12,-2.351,-2.351,-2.351,-2.351,-1.607
13,-2.825,-2.825,-2.825,-2.825,-2.376
14,-3.617,-3.617,-3.617,-3.617,-3.617
15,-3.258,-3.258,-2.964,-3.258,-2.889
16,-4.663,-4.663,-4.663,-4.663,-4.538
17,-3.222,-3.064,-3.064,-3.064,-2.773
18,-2.779,-2.779,-3.129,-3.129,-2.418
19,-3.841,-3.841,-4.042,-3.594,-3.133
20,-11.652,-11.830,-11.652,-11.652,-10.604
