dataset,case_id,backend,backend_label,variant,variant_label,natural_failure,external_failure,energy_status,failure_reason,formal_statistics_action
CMU20,06,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
CMU20,08,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
CMU20,06,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
CMU20,08,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
CMU20,06,google_vertexai_gemini25pro_mace_mp0_small,Google Vertex AI Gemini 2.5 Pro,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
CMU20,06,xai_grok4_0709_mace_mp0_small,xAI Grok-4 0709,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
CMU20,08,xai_grok4_0709_mace_mp0_small,xAI Grok-4 0709,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,053,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,053,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,053,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,001,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,015,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,018,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,029,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,032,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,039,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,053,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,062,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,053,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,no_forbid,w/o Forbid,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,001,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,010,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,018,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,029,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,033,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,053,anthropic_claude_sonnet46_mace_mp0_small,Anthropic Claude Sonnet 4.6,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,053,google_vertexai_gemini25pro_mace_mp0_small,Google Vertex AI Gemini 2.5 Pro,full,Full,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,053,google_vertexai_gemini25pro_mace_mp0_small,Google Vertex AI Gemini 2.5 Pro,full,Full,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,053,google_vertexai_gemini25pro_mace_mp0_small,Google Vertex AI Gemini 2.5 Pro,full,Full,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,001,google_vertexai_gemini25pro_mace_mp0_small,Google Vertex AI Gemini 2.5 Pro,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,028,google_vertexai_gemini25pro_mace_mp0_small,Google Vertex AI Gemini 2.5 Pro,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,029,google_vertexai_gemini25pro_mace_mp0_small,Google Vertex AI Gemini 2.5 Pro,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,032,google_vertexai_gemini25pro_mace_mp0_small,Google Vertex AI Gemini 2.5 Pro,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,033,google_vertexai_gemini25pro_mace_mp0_small,Google Vertex AI Gemini 2.5 Pro,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,038,google_vertexai_gemini25pro_mace_mp0_small,Google Vertex AI Gemini 2.5 Pro,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,052,google_vertexai_gemini25pro_mace_mp0_small,Google Vertex AI Gemini 2.5 Pro,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,053,google_vertexai_gemini25pro_mace_mp0_small,Google Vertex AI Gemini 2.5 Pro,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,053,xai_grok4_0709_mace_mp0_small,xAI Grok-4 0709,full,Full,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,053,xai_grok4_0709_mace_mp0_small,xAI Grok-4 0709,full,Full,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,053,xai_grok4_0709_mace_mp0_small,xAI Grok-4 0709,full,Full,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,015,xai_grok4_0709_mace_mp0_small,xAI Grok-4 0709,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,029,xai_grok4_0709_mace_mp0_small,xAI Grok-4 0709,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,033,xai_grok4_0709_mace_mp0_small,xAI Grok-4 0709,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
OCD62,053,xai_grok4_0709_mace_mp0_small,xAI Grok-4 0709,one_shot,1-Shot,True,False,missing_energy,run did not produce a valid best energy,count_in_success_rate_exclude_from_energy_delta
