dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
CMU20,01,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-3.627323865890503,-3.627323865890503,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,01,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-3.627323865890503,-3.627323865890503,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,01,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-3.627323865890503,-3.630131483078003,-0.002807617,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,01,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-3.627323865890503,-3.557255506515503,0.070068359,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,02,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-4.769039154052734,-4.764400482177734,0.004638672,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,02,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-4.769039154052734,-4.769039154052734,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,02,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-4.769039154052734,-4.769039154052734,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,02,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-4.769039154052734,-4.342861175537109,0.426177979,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,03,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-3.351963758468628,-3.351963758468628,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,03,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-3.351963758468628,-3.351963758468628,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,03,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-3.351963758468628,-3.351963758468628,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,03,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-3.351963758468628,-3.351963758468628,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,04,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-2.2549095153808594,-2.2549095153808594,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,04,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-2.2549095153808594,-2.2549095153808594,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,04,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-2.2549095153808594,-2.2549095153808594,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,04,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-2.2549095153808594,-2.2427330017089844,0.012176514,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,05,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-2.961643934249878,-2.961643934249878,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,05,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-2.961643934249878,-2.961643934249878,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,05,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-2.961643934249878,-2.961643934249878,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,05,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-2.961643934249878,-2.842610120773315,0.119033813,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,06,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-2.164623260498047,-2.164623260498047,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,06,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-2.164623260498047,-1.8745841979980469,0.290039062,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,06,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-2.164623260498047,-1.9020652770996096,0.262557983,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,07,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-7.030705213546753,-7.051090955734253,-0.020385742,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,07,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-7.030705213546753,-7.051090955734253,-0.020385742,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,07,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-7.030705213546753,-7.030705213546753,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,07,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-7.030705213546753,-6.511173963546753,0.519531250,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,08,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-7.190608978271484,-7.190670013427734,-0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,08,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-7.190608978271484,-7.190670013427734,-0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,08,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-7.190608978271484,-7.190670013427734,-0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,09,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-1.9912567138671875,-1.9912567138671875,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,09,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-1.9912567138671875,-1.9912567138671875,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,09,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-1.9912567138671875,-1.9912567138671875,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,09,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-1.9912567138671875,-1.9912567138671875,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,10,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-2.7095260620117188,-2.7095260620117188,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,10,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-2.7095260620117188,-2.7095260620117188,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,10,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-2.7095260620117188,-2.7176666259765625,-0.008140564,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,10,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-2.7095260620117188,-2.7176666259765625,-0.008140564,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,11,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-2.381309509277344,-2.4184722900390625,-0.037162781,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,11,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-2.381309509277344,-2.4184722900390625,-0.037162781,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,11,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-2.381309509277344,-2.4184722900390625,-0.037162781,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,11,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,one_shot,1-Shot,-2.381309509277344,-2.4184722900390625,-0.037162781,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,12,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-2.0813217163085938,-2.0813217163085938,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
