dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
OCD62,001,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-4.284637451171875,-4.284698486328125,-0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,001,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-4.284637451171875,-4.284576416015625,0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,001,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-4.284637451171875,-4.284576416015625,0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,002,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-4.346961975097656,-4.346961975097656,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,002,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-4.346961975097656,-4.346961975097656,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,002,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-4.346961975097656,-4.346961975097656,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,003,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-3.2887935638427734,-3.288808822631836,-0.000015259,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,003,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-3.2887935638427734,-3.277761459350586,0.011032104,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,003,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-3.2887935638427734,-3.288808822631836,-0.000015259,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,004,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-7.176612854003906,-7.176612854003906,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,004,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-7.176612854003906,-7.176612854003906,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,004,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-7.176612854003906,-7.159950256347656,0.016662598,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,005,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-10.075138092041016,-10.075138092041016,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,005,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-10.075138092041016,-10.075138092041016,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,005,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-10.075138092041016,-10.075260162353516,-0.000122070,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,006,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-3.715871810913086,-3.715871810913086,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,006,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-3.715871810913086,-3.715871810913086,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,006,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-3.715871810913086,-3.715871810913086,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,007,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-19.71690368652344,-19.925071716308594,-0.208168030,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD62,007,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-19.71690368652344,-19.78919982910156,-0.072296143,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD62,007,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-19.71690368652344,-19.71739196777344,-0.000488281,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,008,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_slip,w/o Slip,-7.4804487228393555,-8.466697692871094,-0.986248970,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD62,008,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_forbid,w/o Forbid,-7.4804487228393555,-7.477747917175293,0.002700806,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD62,008,openai_gpt54_mace_mp0_small,OpenAI GPT-5.4,no_termination,w/o Term,-7.4804487228393555,-8.466484069824219,-0.986035347,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
