analysis_path,artifact_type,category,preferred_status,date_tokens,naming_flags,row_count,file_count,host_path_match_count,governance_note
research/results/analysis/OCD62_DATA_LAYOUT.md,md,analysis_artifact,review_required,,,,1,0,Not classified as authoritative by registry heuristics.
research/results/analysis/adsmind_vs_adsorbagent_behavioral.csv,csv,paper_facing_analysis,authoritative,,,20,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/adsorbagent_paper_results.csv,csv,analysis_artifact,review_required,,,20,1,0,Not classified as authoritative by registry heuristics.
research/results/analysis/baselines_comparison.json,json,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/case19_trajectory.csv,csv,paper_facing_analysis,authoritative,,,81,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/case19_trajectory.json,json,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/cmu_benchmark_table.csv,csv,analysis_table,review_required,,,20,1,0,Useful analysis artifact; check README recommended source before citing.
research/results/analysis/cmu_one_shot_range_ranking.csv,csv,analysis_table,review_required,,,18,1,0,Useful analysis artifact; check README recommended source before citing.
research/results/analysis/cmu_one_shot_range_ranking.json,json,analysis_table,review_required,,,,1,0,Useful analysis artifact; check README recommended source before citing.
research/results/analysis/cmu_one_shot_range_ranking_new_cases.csv,csv,paper_facing_analysis,authoritative,,,13,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/cmu_one_shot_range_ranking_new_cases.json,json,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/cross_llm_20case.csv,csv,analysis_table,review_required,,,20,1,0,Useful analysis artifact; check README recommended source before citing.
research/results/analysis/cross_llm_20case.json,json,analysis_table,review_required,,,,1,0,Useful analysis artifact; check README recommended source before citing.
research/results/analysis/cross_llm_20case_4backend.json,json,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/cross_llm_20case_with_openai.csv,csv,analysis_table,review_required,,,20,1,0,Useful analysis artifact; check README recommended source before citing.
research/results/analysis/cross_llm_20case_with_openai.json,json,analysis_table,review_required,,,,1,0,Useful analysis artifact; check README recommended source before citing.
research/results/analysis/cross_llm_ablation_4backend.json,json,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/cross_llm_ablation_comparison.csv,csv,analysis_table,review_required,,,75,1,0,Useful analysis artifact; check README recommended source before citing.
research/results/analysis/cross_llm_ablation_comparison.json,json,analysis_table,review_required,,,,1,0,Useful analysis artifact; check README recommended source before citing.
research/results/analysis/cross_llm_ablation_with_openai.csv,csv,analysis_table,review_required,,,75,1,0,Useful analysis artifact; check README recommended source before citing.
research/results/analysis/cross_llm_ablation_with_openai.json,json,analysis_table,review_required,,,,1,0,Useful analysis artifact; check README recommended source before citing.
research/results/analysis/cross_llm_unified_range_table.csv,csv,analysis_table,review_required,,,5,1,0,Useful analysis artifact; check README recommended source before citing.
research/results/analysis/cross_llm_unified_summary.json,json,analysis_table,review_required,,,,1,0,Useful analysis artifact; check README recommended source before citing.
research/results/analysis/dft_iteration_alignment,directory,diagnostic_case_study,paper_facing_auxiliary,,,,26,0,Case-study alignment outputs.
research/results/analysis/hypothesis_test.json,json,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/iteration_convergence.csv,csv,paper_facing_analysis,authoritative,,,80,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/iteration_convergence.png,png,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/iteration_convergence_summary.json,json,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/key_evaluation_metrics.json,json,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/paper_tables.tex,tex,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/si4_ablation_statistics.json,json,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/si4_ablation_statistics.tex,tex,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/si6_cost_analysis.tex,tex,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/si_adsorbagent_comparison.tex,tex,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/si_baselines_comparison.tex,tex,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/si_iteration_convergence.tex,tex,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/si_mace_sensitivity.tex,tex,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/slip_analysis.csv,csv,paper_facing_analysis,authoritative,,,20,1,0,Preferred paper-facing analysis artifact.
research/results/analysis/slip_analysis.json,json,paper_facing_analysis,authoritative,,,,1,0,Preferred paper-facing analysis artifact.
