dataset,case_id,backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,variant,full_energy_eV,variant_energy_eV,delta_variant_minus_full_eV,within_0.01eV_of_full
cmu20,01,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-3.62732386589,-3.62732386589,0,TRUE
cmu20,01,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-3.62732386589,-3.62732386589,0,TRUE
cmu20,01,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-3.62732386589,-3.63013148308,-0.0028076171875,TRUE
cmu20,01,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-3.62732386589,-3.55725550652,0.070068359375,FALSE
cmu20,01,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-3.63013148308,-3.63013148308,0,TRUE
cmu20,01,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-3.63013148308,-3.62360072136,0.00653076171875,TRUE
cmu20,01,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-3.63013148308,-3.63013148308,0,TRUE
cmu20,01,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-3.63013148308,-3.55725550652,0.0728759765625,FALSE
cmu20,01,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-3.6317179203,-3.6317179203,0,TRUE
cmu20,01,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-3.6317179203,-3.6317179203,0,TRUE
cmu20,01,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-3.6317179203,-3.6317179203,0,TRUE
