case_id,surface,surface_family,adsorbate,miller_index,gemini25pro_mace_mp0_small_planned_site,gemini25pro_mace_mp0_small_actual_site,gemini25pro_mace_mp0_small_slip,gemini25pro_mace_mp0_small_slip_type,gemini25pro_mace_mp0_small_valid,gemini25pro_mace_mp0_small_dissociated,gpt54_mace_mp0_small_planned_site,gpt54_mace_mp0_small_actual_site,gpt54_mace_mp0_small_slip,gpt54_mace_mp0_small_slip_type,gpt54_mace_mp0_small_valid,gpt54_mace_mp0_small_dissociated,claude_sonnet46_mace_mp0_small_planned_site,claude_sonnet46_mace_mp0_small_actual_site,claude_sonnet46_mace_mp0_small_slip,claude_sonnet46_mace_mp0_small_slip_type,claude_sonnet46_mace_mp0_small_valid,claude_sonnet46_mace_mp0_small_dissociated,grok4_mace_mp0_small_planned_site,grok4_mace_mp0_small_actual_site,grok4_mace_mp0_small_slip,grok4_mace_mp0_small_slip_type,grok4_mace_mp0_small_valid,grok4_mace_mp0_small_dissociated
01,Mo3Pd,intermetallic,H,(111),hollow,bridge,True,hard,True,False,hollow,bridge,True,hard,True,False,hollow,bridge,True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False
02,Mo3Pd,intermetallic,NNH,(111),ontop,hollow (FCC/No-Subsurf),True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False
03,Pd3Cu,intermetallic,H,(111),hollow,hollow (FCC/No-Subsurf),False,none,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False,ontop,bridge,True,hard,True,False
04,Pd3Cu,intermetallic,NNH,(111),bridge,hollow (FCC/No-Subsurf),True,hard,True,False,hollow,hollow (FCC/No-Subsurf),True,soft,True,False,ontop,hollow (HCP/Subsurf-Atom),True,hard,True,False,ontop,hollow (HCP/Subsurf-Atom),True,hard,True,False
05,Cu3Ag,intermetallic,H,(111),hollow,hollow (FCC/No-Subsurf),False,none,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False
06,Cu3Ag,intermetallic,NNH,(111),ontop,ontop,False,none,False,True,ontop,ontop,False,none,False,True,ontop,ontop,False,none,False,True,ontop,ontop,False,none,False,True
07,Ru3Mo,intermetallic,H,(111),hollow,ontop,True,hard,True,False,hollow,bridge,True,hard,True,False,hollow,ontop,True,hard,True,False,hollow,ontop,True,hard,True,False
08,Ru3Mo,intermetallic,NNH,(111),bridge,bridge,True,soft,True,False,ontop,ontop,False,none,False,True,ontop,ontop,False,none,False,True,ontop,ontop,False,none,False,True
09,Pt,monometallic,OH,(111),ontop,ontop,False,none,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False,ontop,ontop,False,none,True,False,bridge,bridge,False,none,True,False
10,Pt,monometallic,OH,(100),ontop,bridge,True,hard,True,False,bridge,bridge,False,none,True,False,ontop,bridge,True,hard,True,False,bridge,bridge,False,none,True,False
11,Pd,monometallic,OH,(111),ontop,hollow (FCC/No-Subsurf),True,hard,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False,bridge,hollow (FCC/No-Subsurf),True,hard,True,False
12,Au,monometallic,OH,(111),ontop,hollow (FCC/No-Subsurf),True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False,bridge,hollow (FCC/No-Subsurf),True,hard,True,False
13,Ag,monometallic,OH,(100),ontop,bridge,True,hard,True,False,bridge,hollow (HCP/Subsurf-Atom),True,hard,True,False,hollow,hollow (HCP/Subsurf-Atom),False,none,True,False,bridge,hollow (HCP/Subsurf-Atom),True,hard,True,False
14,CoPt,intermetallic,OH,(111),ontop,ontop,False,none,True,False,bridge,bridge,False,none,True,False,ontop,bridge,True,hard,True,False,hollow,bridge,True,hard,True,False
15,Cu6Ga2,intermetallic,CH2CH2OH,(100),ontop,ontop,False,none,True,False,ontop,ontop,False,none,True,False,hollow,ontop,True,hard,True,False,ontop,ontop,False,none,True,False
16,Au2Hf,intermetallic,CH2CH2OH,(102),ontop,ontop,False,none,True,False,ontop,ontop,False,none,True,False,ontop,ontop,False,none,True,False,ontop,ontop,False,none,True,False
17,Rh2Ti2,intermetallic,OCHCH3,(111),ontop,bridge,True,hard,True,False,ontop,bridge,True,hard,True,False,ontop,bridge,True,hard,True,False,bridge,hollow (FCC/No-Subsurf),True,hard,True,False
18,Al3Zr,intermetallic,OCHCH3,(101),ontop,bridge,True,hard,True,False,ontop,bridge,True,hard,True,False,ontop,bridge,True,hard,True,False,ontop,bridge,True,hard,True,False
19,Hf2Zn6,intermetallic,OCHCH3,(110),ontop,hollow (HCP/Subsurf-Atom),True,hard,True,False,ontop,hollow (HCP/Subsurf-Atom),True,hard,True,False,ontop,hollow (HCP/Subsurf-Atom),True,hard,True,False,ontop,hollow (HCP/Subsurf-Atom),True,hard,True,False
20,Bi2Ti6,intermetallic,ONN(CH3)2,(211),ontop,hollow (FCC/No-Subsurf),True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False,bridge,hollow (FCC/No-Subsurf),True,hard,True,False
