case_id,case_name,status,single_total_energy,single_adsorption_energy_eV,reference_available,original_multi_adsorption_energy_eV,delta_single_minus_multi_eV,single_config_count,original_multi_configs,single_tokens,original_multi_tokens
01,01_Mo3Pd_H,no_selected_config,,,True,-3.879215955734253,,0,29,,6976
02,02_Mo3Pd_NNH,no_selected_config,,,True,-5.097377777099609,,0,2,,4737
03,03_CuPd3_H,success,-304.0489196777344,,False,,,1,,4137,
04,04_CuPd3_NNH,success,-319.0571594238281,-1.6872825622558594,True,-2.9148216247558594,1.2275390625,1,34,4877,4764
05,05_Cu3Ag_H,no_selected_config,,,False,,,0,,,
06,06_Cu3Ag_NNH,success,-241.53689575195312,-1.8710289001464844,True,-2.243450164794922,0.3724212646484375,1,23,4472,4972
07,07_Ru3Mo_H,no_selected_config,,,True,-6.726322889328003,,0,17,,4517
08,08_Ru3Mo_NNH,success,-920.1917724609375,-4.768398284912109,True,-7.142055511474609,2.3736572265625,1,24,4579,4588
09,09_Pt111_OH,success,-323.9961853027344,-1.8049507141113281,True,-1.9971504211425781,0.19219970703125,1,25,4124,4336
10,10_Pt100_OH,success,-210.08694458007812,-2.3687477111816406,True,-2.7414588928222656,0.372711181640625,1,22,4403,4457
11,11_Pd111_OH,success,-278.90863037109375,-1.7304878234863281,True,-2.577228546142578,0.84674072265625,1,19,4291,4636
12,12_Au111_OH,success,-91.209716796875,-1.4911766052246094,True,-2.245380401611328,0.7542037963867188,1,23,4261,4066
13,13_Ag100_OH,success,-102.18574523925781,-1.6910514831542969,True,-2.856945037841797,1.1658935546875,1,25,4557,4058
14,14_CoPt_OH,success,-448.1046142578125,-3.998035430908203,True,-4.125019073486328,0.126983642578125,1,8,4722,4290
15,15_Cu6Ga2_CH2CH2OH,no_selected_config,,,False,,,0,,,
16,16_Au2Hf_CH2CH2OH,no_selected_config,,,True,-5.699554443359375,,0,20,,5147
17,17_Rh2Ti2_OCHCH3,success,-427.4477233886719,-4.003063201904297,True,-4.476116180419922,0.473052978515625,1,31,4761,4862
18,18_Al3Zr_OCHCH3,success,-277.973876953125,,False,,,1,,4553,
19,19_Hf2Zn6_OCHCH3,success,-258.4268798828125,-3.521465301513672,True,-4.707073211669922,1.18560791015625,1,18,4658,4490
20,20_Bi2Ti6_ONNCH32,success,-487.72235107421875,-8.071174621582031,True,-12.284919738769531,4.2137451171875,1,16,4597,9566
