case_id,backend,iter_1,iter_2,iter_3,iter_4,iter_5,final_best
01,gemini,-3.6311686038970947,-3.6311686038970947,-3.6317179203033447,-3.6317179203033447,-3.6317179203033447,-3.6317179203033447
02,gemini,-4.150495529174805,-4.765958786010742,-4.765958786010742,-4.765958786010742,,-4.765958786010742
03,gemini,-3.351963758468628,-3.351963758468628,-3.351963758468628,-3.351963758468628,-3.351963758468628,-3.351963758468628
04,gemini,-3.0950584411621094,-3.0950584411621094,-3.0950584411621094,-3.0950584411621094,-3.4791221618652344,-3.4791221618652344
05,gemini,-2.961643934249878,-2.961643934249878,-2.961643934249878,-2.961643934249878,-2.961643934249878,-2.961643934249878
06,gemini,-2.1646385192871094,-2.1646385192871094,-2.1646385192871094,-2.1646385192871094,-2.589153289794922,-2.589153289794922
07,gemini,-6.883183240890503,-7.030705213546753,-7.030705213546753,-7.051090955734253,-7.051090955734253,-7.051090955734253
08,gemini,-6.414363861083984,-8.383052825927734,-8.383052825927734,-8.473628997802734,-8.473628997802734,-8.473628997802734
09,gemini,-1.8013858795166016,-1.9739322662353516,-1.9739322662353516,,,-1.9739322662353516
10,gemini,-2.7095260620117188,-2.7176666259765625,-2.7176666259765625,-2.7176666259765625,,-2.7176666259765625
11,gemini,-2.3885955810546875,-2.3885955810546875,,,,-2.3885955810546875
12,gemini,-2.0813217163085938,-2.3513641357421875,-2.3513641357421875,,,-2.3513641357421875
13,gemini,-2.8251419067382812,-2.8251419067382812,-2.8251419067382812,,,-2.8251419067382812
14,gemini,-3.2451114654541016,-3.2459659576416016,-3.5931339263916016,-3.5931339263916016,-3.6166324615478516,-3.6166324615478516
15,gemini,-2.9636917114257812,-2.9636917114257812,-2.9636917114257812,-3.257709503173828,-3.257709503173828,-3.257709503173828
16,gemini,-4.662910461425781,-5.542762756347656,-5.542762756347656,-5.542762756347656,-5.542762756347656,-5.542762756347656
17,gemini,-2.692474365234375,-2.865570068359375,-3.222217559814453,-3.222217559814453,-3.222217559814453,-3.222217559814453
18,gemini,-2.5189666748046875,-2.7240142822265625,-2.7240142822265625,-2.7787933349609375,-2.7787933349609375,-2.7787933349609375
19,gemini,-3.1320419311523438,-3.1320419311523438,-3.8413848876953125,-4.459312438964844,-4.459312438964844,-4.459312438964844
20,gemini,-11.652278900146484,-11.652278900146484,-11.652278900146484,-11.652278900146484,-11.652278900146484,-11.652278900146484
01,grok4,-3.6311075687408447,-3.6311075687408447,-3.6317179203033447,-3.6317179203033447,-3.6317179203033447,-3.6317179203033447
02,grok4,-4.150495529174805,-4.333600997924805,-4.765958786010742,-4.765958786010742,-4.765958786010742,-4.765958786010742
03,grok4,-3.351963758468628,-3.351963758468628,-3.351963758468628,-3.351963758468628,-3.351963758468628,-3.351963758468628
04,grok4,-1.8452110290527344,-3.4801597595214844,-3.4801597595214844,-3.4801597595214844,-3.4801597595214844,-3.4801597595214844
05,grok4,-2.9616286754608154,-2.9616286754608154,-2.9616286754608154,-2.9616286754608154,-2.9616286754608154,-2.9616286754608154
06,grok4,-2.5612144470214844,-2.5612144470214844,-2.5612144470214844,-2.5612144470214844,-2.5612144470214844,-2.5612144470214844
07,grok4,-6.883122205734253,-6.883122205734253,-6.883122205734253,-6.883122205734253,-7.051090955734253,-7.051090955734253
08,grok4,-8.03609848022461,-8.46621322631836,-8.46621322631836,-8.46621322631836,,-8.46621322631836
09,grok4,-1.9739322662353516,-1.9739322662353516,-1.9739322662353516,,,-1.9739322662353516
10,grok4,-2.7176666259765625,-2.7176666259765625,-2.7176666259765625,-2.7176666259765625,,-2.7176666259765625
11,grok4,-2.3885955810546875,-2.3885955810546875,-2.4184722900390625,,,-2.4184722900390625
12,grok4,-2.3513641357421875,-2.3513641357421875,-2.3513641357421875,,,-2.3513641357421875
13,grok4,-2.8078689575195312,-2.8078689575195312,-2.8251419067382812,-2.8251419067382812,,-2.8251419067382812
14,grok4,-3.6166324615478516,-3.6166324615478516,-3.6166324615478516,-3.6166324615478516,-3.6166324615478516,-3.6166324615478516
15,grok4,-2.9636917114257812,-2.9636917114257812,-3.257709503173828,-3.257709503173828,-3.257709503173828,-3.257709503173828
16,grok4,-4.662910461425781,-4.662910461425781,-4.662910461425781,-4.662910461425781,-6.138385772705078,-6.138385772705078
17,grok4,-2.865570068359375,-2.865570068359375,-3.17669677734375,,,-3.17669677734375
18,grok4,-2.5189666748046875,-2.7787628173828125,-2.7787628173828125,-3.1291351318359375,-3.1291351318359375,-3.1291351318359375
19,grok4,-4.044700622558594,-4.044700622558594,-4.044700622558594,,,-4.044700622558594
20,grok4,-11.652645111083984,-11.652645111083984,-11.652645111083984,-11.652645111083984,-11.652645111083984,-11.652645111083984
01,openai_gpt54,-3.623600721359253,-3.623600721359253,-3.623600721359253,-3.627323865890503,,-3.627323865890503
02,openai_gpt54,-4.764400482177734,-4.764400482177734,-4.764400482177734,-4.764400482177734,-4.769039154052734,-4.769039154052734
03,openai_gpt54,-3.351963758468628,-3.351963758468628,,,,-3.351963758468628
04,openai_gpt54,-1.8452110290527344,-2.2427330017089844,-2.2549095153808594,-2.2549095153808594,,-2.2549095153808594
05,openai_gpt54,-2.8426101207733154,-2.961643934249878,-2.961643934249878,-2.961643934249878,,-2.961643934249878
06,openai_gpt54,-2.5891990661621094,-2.5891990661621094,-2.5891990661621094,-2.5891990661621094,-2.5891990661621094,-2.5891990661621094
07,openai_gpt54,-6.511173963546753,-7.030705213546753,-7.030705213546753,-7.030705213546753,-7.030705213546753,-7.030705213546753
08,openai_gpt54,-8.46615219116211,-8.46615219116211,-8.46615219116211,-8.46615219116211,-8.46615219116211,-8.46615219116211
09,openai_gpt54,-1.9912567138671875,-1.9912567138671875,-1.9912567138671875,,,-1.9912567138671875
10,openai_gpt54,-2.7095260620117188,-2.7095260620117188,,,,-2.7095260620117188
11,openai_gpt54,-2.3813095092773438,,,,,-2.3813095092773438
12,openai_gpt54,-2.0813217163085938,,,,,-2.0813217163085938
13,openai_gpt54,-2.8251419067382812,-2.8251419067382812,-2.8251419067382812,,,-2.8251419067382812
14,openai_gpt54,-3.4533309936523438,-3.4533309936523438,-3.5911407470703125,-3.5911407470703125,-3.5911407470703125,-3.5911407470703125
15,openai_gpt54,-2.9636917114257812,-2.9636917114257812,-2.9636917114257812,-3.257709503173828,,-3.257709503173828
16,openai_gpt54,-4.272052764892578,-4.272052764892578,-4.272052764892578,-4.272052764892578,-4.272052764892578,-4.272052764892578
17,openai_gpt54,-2.692474365234375,-3.222248077392578,-3.241016387939453,-3.241016387939453,-3.241016387939453,-3.241016387939453
18,openai_gpt54,-2.5190277099609375,-2.7240142822265625,-2.7240142822265625,,,-2.7240142822265625
19,openai_gpt54,-4.0125274658203125,-4.0125274658203125,-4.0125274658203125,-4.0125274658203125,-4.0125274658203125,-4.0125274658203125
20,openai_gpt54,-11.652278900146484,-11.652278900146484,-11.652278900146484,-11.652278900146484,-11.652278900146484,-11.652278900146484
01,anthropic_sonnet46,-3.557255506515503,-3.623600721359253,-3.623600721359253,-3.630131483078003,,-3.630131483078003
02,anthropic_sonnet46,-4.342861175537109,-4.342861175537109,-4.342861175537109,-4.764400482177734,-4.769039154052734,-4.769039154052734
03,anthropic_sonnet46,-3.351963758468628,-3.351963758468628,,,,-3.351963758468628
04,anthropic_sonnet46,-2.2848472595214844,-2.2848472595214844,-2.2848472595214844,-2.2848472595214844,-3.4817161560058594,-3.4817161560058594
05,anthropic_sonnet46,-2.961643934249878,-2.961643934249878,-2.961643934249878,,,-2.961643934249878
06,anthropic_sonnet46,-2.5891990661621094,-2.5891990661621094,-2.5891990661621094,-2.5891990661621094,-2.5891990661621094,-2.5891990661621094
07,anthropic_sonnet46,-6.883183240890503,-7.021000623703003,-7.051090955734253,-7.051090955734253,,-7.051090955734253
08,anthropic_sonnet46,-8.46615219116211,-8.46615219116211,-8.46615219116211,-8.46615219116211,-8.46615219116211,-8.46615219116211
09,anthropic_sonnet46,-1.8037338256835938,-1.9772491455078125,-1.9912567138671875,,,-1.9912567138671875
10,anthropic_sonnet46,-2.7095260620117188,-2.7095260620117188,-2.7176666259765625,-2.7176666259765625,,-2.7176666259765625
11,anthropic_sonnet46,-2.4184722900390625,-2.4184722900390625,-2.4184722900390625,,,-2.4184722900390625
12,anthropic_sonnet46,-2.0813217163085938,-2.3513641357421875,-2.3513641357421875,,,-2.3513641357421875
13,anthropic_sonnet46,-2.8251419067382812,-2.8251419067382812,-2.8251419067382812,-2.8251419067382812,,-2.8251419067382812
14,anthropic_sonnet46,-3.4303741455078125,-3.4320526123046875,-3.4533309936523438,-3.4533309936523438,-3.5796432495117188,-3.5796432495117188
15,anthropic_sonnet46,-3.257678985595703,-3.257678985595703,-3.257678985595703,-3.257678985595703,,-3.257678985595703
16,anthropic_sonnet46,-4.272052764892578,-4.272052764892578,-4.662910461425781,-4.662910461425781,-4.662910461425781,-4.662910461425781
17,anthropic_sonnet46,-3.17669677734375,-3.17669677734375,-3.17669677734375,-3.17669677734375,-3.240985870361328,-3.240985870361328
18,anthropic_sonnet46,-2.5189361572265625,-2.7240142822265625,-2.7240142822265625,-2.7240142822265625,,-2.7240142822265625
19,anthropic_sonnet46,-4.0125274658203125,-4.0125274658203125,-4.0125274658203125,-4.0125274658203125,,-4.0125274658203125
20,anthropic_sonnet46,-11.652706146240234,-11.652706146240234,-11.652706146240234,-11.652706146240234,-11.652706146240234,-11.652706146240234
