dataset,case_id,variant,backend_count,success_backend_count,min_energy_eV,max_energy_eV,range_energy_eV,mean_energy_eV,success_backends
cmu20,01,full,4,4,-3.6317179203,-3.62732386589,0.00439405441284,-3.63022279739,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,01,no_forbid,4,4,-3.6317179203,-3.62360072136,0.00811719894409,-3.62859010696,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,01,no_slip,4,4,-3.6317179203,-3.62732386589,0.00439405441284,-3.63022279739,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,01,no_termination,4,4,-3.6317179203,-3.63013148308,0.00158643722534,-3.63092470169,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,01,one_shot,4,4,-3.6311686039,-3.55725550652,0.0739130973816,-3.59421205521,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,02,full,4,4,-4.76903915405,-4.76595878601,0.00308036804199,-4.76749897003,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,02,no_forbid,4,4,-4.76903915405,-4.7599773407,0.00906181335449,-4.76594257355,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,02,no_slip,4,4,-4.76903915405,-4.76440048218,0.004638671875,-4.7662935257,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,02,no_termination,4,4,-4.76903915405,-4.76595878601,0.00308036804199,-4.76749897003,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,02,one_shot,4,4,-4.76595878601,-4.15049552917,0.615463256836,-4.40054416656,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
cmu20,03,full,4,4,-3.35196375847,-3.35196375847,0,-3.35196375847,openai_gpt54_mace_mp0_small;anthropic_claude_sonnet46_mace_mp0_small;google_vertexai_gemini25pro_mace_mp0_small;xai_grok4_0709_mace_mp0_small
