backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gpt,openai_gpt54_mace_mp0_large,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 large,mace,mace_mp0,large,003,full,-3.1229498699329525,0.0,5,0,0.0,True,3,0,28419
gpt,openai_gpt54_mace_mp0_large,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 large,mace,mace_mp0,large,011,full,-3.3869383648961247,0.0,5,0,0.0,True,1,1,25929
gpt,openai_gpt54_mace_mp0_large,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 large,mace,mace_mp0,large,017,full,-2.2858991284111934,0.0,5,0,0.0,True,5,1,30497
gpt,openai_gpt54_mace_mp0_large,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 large,mace,mace_mp0,large,020,full,-7.819334780106676,0.0,4,0,0.0,True,2,0,27679
gpt,openai_gpt54_mace_mp0_large,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 large,mace,mace_mp0,large,026,full,-8.640244948715711,0.0,5,0,0.0,True,4,0,27454
gpt,openai_gpt54_mace_mp0_large,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 large,mace,mace_mp0,large,031,full,-6.534368694061,0.0,5,0,0.0,True,3,0,28354
gpt,openai_gpt54_mace_mp0_large,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 large,mace,mace_mp0,large,040,full,-10.619980650340953,0.0,5,0,0.0,True,5,4,32501
gpt,openai_gpt54_mace_mp0_large,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 large,mace,mace_mp0,large,051,full,-3.1256640285662147,0.0,5,0,0.0,True,5,0,28978
gpt,openai_gpt54_mace_mp0_large,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 large,mace,mace_mp0,large,053,full,,,1,0,0.0,False,1,1,10354
gpt,openai_gpt54_mace_mp0_large,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 large,mace,mace_mp0,large,054,full,-9.525133454629874,0.0,5,0,0.0,True,4,0,29134
