case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.346961975097656,0.0,5,0,0.0,True,5,4,42792
002,full,-3.34561538696289,0.0,5,0,0.0,True,5,2,41549
003,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,40545
004,full,-9.236335754394531,0.0,5,0,0.0,True,3,1,36194
005,full,-7.707094192504883,0.0,3,0,0.0,True,2,0,29176
006,full,-7.8810882568359375,0.0,3,0,0.0,True,3,1,30356
007,full,-7.2280120849609375,0.0,5,0,0.0,True,4,1,38572
008,full,-6.2375946044921875,0.0,5,0,0.0,True,4,0,42401
009,full,-10.643351554870604,0.0,5,0,0.0,True,4,0,38593
010,full,-4.980229139328003,0.0,5,0,0.0,True,2,0,37991
011,full,-11.654596328735352,0.0,4,0,0.0,True,4,0,39370
012,full,-3.5041396617889404,0.0,5,0,0.0,True,4,0,38147
