case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_forbid,-4.346961975097656,0.0,5,0,0.0,True,4,4,40013
002,no_forbid,-3.3845252990722656,-0.038909912109375,5,0,0.0,True,5,2,39920
003,no_forbid,-14.549540519714355,0.0,5,0,0.0,True,5,0,39697
004,no_forbid,-9.077659606933594,0.1586761474609375,4,0,0.0,True,3,1,34983
005,no_forbid,-7.707094192504883,0.0,5,0,0.0,True,3,0,38006
006,no_forbid,-8.408592224121094,-0.5275039672851562,5,0,0.0,True,5,4,40593
007,no_forbid,-7.2280120849609375,0.0,5,0,0.0,True,5,1,39290
008,no_forbid,-6.2419891357421875,-0.00439453125,5,0,0.0,True,4,0,39868
009,no_forbid,-10.643351554870604,0.0,5,0,0.0,True,4,0,37630
010,no_forbid,-4.743168592453003,0.237060546875,3,0,0.0,True,2,0,27797
011,no_forbid,-11.654718399047852,-0.0001220703125,4,0,0.0,True,4,0,39228
012,no_forbid,-3.3380630016326904,0.16607666015625,3,0,0.0,True,3,0,28544
