case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_slip,-4.346961975097656,0.0,5,0,0.0,True,5,4,35067
002,no_slip,-2.759845733642578,0.5857696533203125,4,0,0.0,True,4,2,37000
003,no_slip,-14.256022453308104,0.29351806640625,1,0,0.0,True,1,0,3092
004,no_slip,-10.361473083496094,-1.1251373291015625,5,0,0.0,True,3,1,31099
005,no_slip,-7.777910232543945,-0.0708160400390625,5,0,0.0,True,3,0,39799
006,no_slip,-8.408592224121094,-0.5275039672851562,5,0,0.0,True,4,2,36689
007,no_slip,-7.2280120849609375,0.0,5,0,0.0,True,4,0,33729
008,no_slip,-6.2332916259765625,0.004302978515625,5,0,0.0,True,4,0,36675
009,no_slip,-10.643351554870604,0.0,5,0,0.0,True,4,0,33901
010,no_slip,-4.743168592453003,0.237060546875,3,0,0.0,True,2,0,24387
011,no_slip,-6.983524322509766,4.671072006225586,2,0,0.0,True,2,0,12497
012,no_slip,-3.3380630016326904,0.16607666015625,4,0,0.0,True,3,0,29811
