case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_termination,-7.047445297241211,-2.7004833221435547,5,0,0.0,True,4,3,40321
002,no_termination,-3.3845176696777344,-0.0389022827148437,5,0,0.0,True,5,2,40267
003,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,40783
004,no_termination,-10.361473083496094,-1.1251373291015625,5,0,0.0,True,2,1,35290
005,no_termination,-7.707094192504883,0.0,5,0,0.0,True,4,0,37764
006,no_termination,-8.870079040527344,-0.9889907836914062,5,0,0.0,True,5,2,38933
007,no_termination,-7.1396026611328125,0.088409423828125,5,0,0.0,True,4,2,38739
008,no_termination,-6.2419586181640625,-0.004364013671875,5,0,0.0,True,4,0,42304
009,no_termination,-10.643351554870604,0.0,5,0,0.0,True,4,0,37541
010,no_termination,-4.980229139328003,0.0,5,0,0.0,True,3,0,36051
011,no_termination,-11.654596328735352,0.0,5,1,0.2,True,4,0,50609
012,no_termination,-3.5041396617889404,0.0,5,0,0.0,True,4,0,37574
