case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,one_shot,-4.346961975097656,0.0,1,0,0.0,True,1,0,7004
002,one_shot,,,1,0,0.0,False,1,1,6832
003,one_shot,-14.256022453308104,0.293518066406,1,0,0.0,True,1,0,6573
004,one_shot,-9.077842712402344,0.158493041992,1,0,0.0,True,0,0,6269
005,one_shot,-7.707033157348633,6.103515625e-05,1,0,0.0,True,1,0,6523
006,one_shot,,,1,0,0.0,False,1,1,6623
007,one_shot,-7.2280120849609375,0.0,1,0,0.0,True,1,0,6589
008,one_shot,-6.176261901855469,0.0613327026367,1,0,0.0,True,1,0,6823
009,one_shot,-10.208537101745604,0.434814453125,1,0,0.0,True,1,0,6045
010,one_shot,-4.743168592453003,0.237060546875,1,0,0.0,True,1,0,6194
011,one_shot,-6.983524322509766,4.67107200623,1,0,0.0,True,1,0,6231
012,one_shot,-3.5041396617889404,0.0,1,0,0.0,True,1,0,6255
