case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_forbid,-4.346961975097656,0.0,5,0,0.0,True,5,4,45067
002,no_forbid,-3.3845252990722656,-7.62939453125e-06,5,0,0.0,True,5,2,31702
003,no_forbid,-13.564433097839355,0.985107421875,1,0,0.0,True,1,0,2911
004,no_forbid,-10.361473083496094,0.0,5,0,0.0,True,3,1,43806
005,no_forbid,-7.707033157348633,6.103515625e-05,5,0,0.0,True,3,0,42830
006,no_forbid,-8.408592224121094,-0.4411697387695312,5,0,0.0,True,5,2,45745
007,no_forbid,-7.2280120849609375,0.0,5,0,0.0,True,4,1,27940
008,no_forbid,-6.176292419433594,-3.0517578125e-05,5,0,0.0,True,5,0,27191
009,no_forbid,-10.643351554870604,-0.03643798828125,5,0,0.0,True,5,0,29659
010,no_forbid,-4.743168592453003,0.237060546875,3,0,0.0,True,2,0,20451
011,no_forbid,-11.654779434204102,-0.0001220703125,4,0,0.0,True,4,0,28779
012,no_forbid,-3.338047742843628,1.52587890625e-05,3,0,0.0,True,3,0,20921
