case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,one_shot,-4.346961975097656,0.0,1,0,0.0,True,1,0,7015
002,one_shot,-2.735858917236328,0.648658752441,1,0,0.0,True,1,0,7506
003,one_shot,-14.256022453308104,0.293518066406,1,0,0.0,True,1,0,7155
004,one_shot,-9.077598571777344,1.28387451172,1,0,0.0,True,0,0,7142
005,one_shot,-7.707094192504883,0.0,1,0,0.0,True,1,0,8210
006,one_shot,,,1,0,0.0,False,1,1,7395
007,one_shot,,,1,0,0.0,False,1,1,7017
008,one_shot,-6.2310638427734375,-0.054801940918,1,0,0.0,True,1,0,8318
009,one_shot,-9.957316398620604,0.649597167969,1,0,0.0,True,1,0,7008
010,one_shot,-4.743199110031128,0.237030029297,1,0,0.0,True,1,0,6850
011,one_shot,-6.983524322509766,4.67113304138,1,0,0.0,True,1,0,8000
012,one_shot,-3.5041396617889404,-0.166076660156,1,0,0.0,True,1,0,7013
