case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_slip,-4.346961975097656,,5,0,0.0,True,5,4,28591
002,no_slip,-3.3456077575683594,,5,0,0.0,True,5,2,27296
003,no_slip,-14.549540519714355,,4,0,0.0,True,4,0,26839
004,no_slip,-10.24188995361328,,5,0,0.0,True,2,0,26729
005,no_slip,-7.707094192504883,,5,0,0.0,True,3,0,26852
006,no_slip,-7.967422485351563,,5,0,0.0,True,5,1,29511
007,no_slip,-7.2280120849609375,,5,0,0.0,True,4,1,26859
008,no_slip,-6.2310638427734375,,4,0,0.0,True,3,0,27652
009,no_slip,-10.208537101745604,,5,0,0.0,True,5,0,28002
010,no_slip,-4.743168592453003,,3,0,0.0,True,2,0,20328
011,no_slip,-11.654901504516602,,4,0,0.0,True,4,0,26778
012,no_slip,-3.5041396617889404,,5,0,0.0,True,4,0,26265
