case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.346963882446289,0.0,5,0,0.0,True,5,4,37655
002,full,-3.3845176696777344,0.0,5,0,0.0,True,5,1,40927
003,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,38797
004,full,-10.360984802246094,0.0,5,0,0.0,True,2,2,35824
005,full,-7.707094192504883,0.0,4,0,0.0,True,2,0,36664
006,full,-8.870079040527344,0.0,5,0,0.0,True,4,3,39586
007,full,-7.1137237548828125,0.0,5,0,0.0,True,4,2,38322
008,full,-6.2419891357421875,0.0,5,0,0.0,True,4,0,37250
009,full,-10.208537101745604,0.0,5,0,0.0,True,5,0,39933
010,full,-4.743199110031128,0.0,3,0,0.0,True,1,0,26157
011,full,-11.657648086547852,0.0,4,0,0.0,True,4,0,38315
012,full,-3.5041396617889404,0.0,5,0,0.0,True,5,0,36920
