case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,one_shot,-4.346961975097656,1.90734863281e-06,1,0,0.0,True,1,0,6146
002,one_shot,-2.73592758178711,0.648590087891,1,0,0.0,True,1,0,6671
003,one_shot,-13.274882316589355,1.27465820312,1,0,0.0,True,1,0,6879
004,one_shot,-9.077415466308594,1.28356933594,1,0,0.0,True,0,0,6096
005,one_shot,-6.152454376220703,1.55463981628,1,0,0.0,True,0,0,6011
006,one_shot,,,1,0,0.0,False,1,1,6541
007,one_shot,-6.576652526855469,0.537071228027,1,0,0.0,True,1,0,6641
008,one_shot,-6.0458221435546875,0.196166992188,1,0,0.0,True,1,0,6710
009,one_shot,-9.681510925292969,0.527026176453,1,0,0.0,True,1,0,6144
010,one_shot,-4.743168592453003,3.0517578125e-05,1,0,0.0,True,1,0,6015
011,one_shot,-10.631900787353516,1.02574729919,1,0,0.0,True,1,0,6733
012,one_shot,-3.3241164684295654,0.180023193359,1,0,0.0,True,1,0,6070
