case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_slip,-4.346961975097656,0.0,5,0,0.0,True,5,4,28673
002,no_slip,-3.3845176696777344,7.62939453125e-06,5,0,0.0,True,5,2,28963
003,no_slip,-14.256022453308104,0.29351806640625,5,0,0.0,True,5,0,26446
004,no_slip,-10.361473083496094,0.0,5,0,0.0,True,2,1,25554
005,no_slip,-7.707033157348633,6.103515625e-05,5,0,0.0,True,4,0,26384
006,no_slip,-7.967422485351563,0.0,5,0,0.0,True,4,2,27898
007,no_slip,-7.2280120849609375,0.0,5,0,0.0,True,5,1,26711
008,no_slip,-6.2312164306640625,-0.0549545288085937,5,0,0.0,True,5,0,26804
009,no_slip,-10.643351554870604,0.0,5,0,0.0,True,5,0,28346
010,no_slip,-4.980229139328003,0.0,5,0,0.0,True,3,0,24460
011,no_slip,-11.654779434204102,0.0,4,0,0.0,True,4,0,26242
012,no_slip,-3.5041396617889404,0.0,5,0,0.0,True,5,0,26393
