case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_termination,-4.346961975097656,0.0,5,0,0.0,True,5,4,29760
002,no_termination,-3.3845176696777344,7.62939453125e-06,5,0,0.0,True,5,2,30149
003,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,29428
004,no_termination,-10.361473083496094,0.0,5,0,0.0,True,2,1,28054
005,no_termination,-7.707033157348633,6.103515625e-05,5,0,0.0,True,3,0,27170
006,no_termination,-7.967422485351563,0.0,5,0,0.0,True,4,3,28561
007,no_termination,-7.2280120849609375,0.0,5,0,0.0,True,4,1,27868
008,no_termination,-6.1764984130859375,-0.0002365112304687,5,0,0.0,True,5,0,27800
009,no_termination,-10.606913566589355,0.03643798828125,5,0,0.0,True,4,0,29631
010,no_termination,-4.743168592453003,0.237060546875,5,0,0.0,True,2,0,26635
011,no_termination,-11.654779434204102,0.0,5,1,0.2,True,4,0,30907
012,no_termination,-3.3380630016326904,0.16607666015625,5,0,0.0,True,4,0,26391
