case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.346961975097656,0.0,5,0,0.0,True,5,4,32683
001,no_slip,-4.346961975097656,0.0,5,0,0.0,True,4,4,29382
001,no_forbid,-4.346961975097656,0.0,5,0,0.0,True,5,4,31557
001,no_termination,,,5,0,0.0,False,4,5,28931
002,full,-3.3456077575683594,0.0,5,0,0.0,True,5,2,32307
002,no_slip,-3.3845176696777344,-0.038909912109375,5,0,0.0,True,5,2,30435
002,no_forbid,-3.345600128173828,7.62939453125e-06,5,0,0.0,True,5,2,31663
002,no_termination,-3.3456077575683594,0.0,5,0,0.0,True,5,2,30371
003,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,30664
003,no_slip,-14.549540519714355,0.0,5,0,0.0,True,5,0,27123
003,no_forbid,-14.549540519714355,0.0,5,0,0.0,True,5,0,30038
003,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,29392
004,full,-10.361473083496094,0.0,5,0,0.0,True,2,1,27139
004,no_slip,-10.258064270019531,0.1034088134765625,5,0,0.0,True,2,1,26212
004,no_forbid,-10.361473083496094,0.0,5,0,0.0,True,3,0,27708
004,no_termination,-10.361412048339844,6.103515625e-05,5,0,0.0,True,3,1,27164
005,full,-7.707094192504883,0.0,3,0,0.0,True,1,0,22351
005,no_slip,-7.707033157348633,6.103515625e-05,5,0,0.0,True,3,0,26934
005,no_forbid,-7.707094192504883,0.0,2,0,0.0,True,1,0,16038
005,no_termination,-7.707094192504883,0.0,5,0,0.0,True,4,0,28445
006,full,-8.870079040527344,0.0,5,0,0.0,True,5,2,32152
006,no_slip,-6.6915435791015625,2.1785354614257812,5,0,0.0,True,5,2,30888
006,no_forbid,-7.620193481445312,1.2498855590820312,5,0,0.0,True,4,2,31959
006,no_termination,-8.408592224121094,0.46148681640625,5,0,0.0,True,5,1,31230
007,full,-7.2280120849609375,0.0,5,0,0.0,True,4,1,31040
007,no_slip,-7.2280120849609375,0.0,5,0,0.0,True,4,1,27221
007,no_forbid,-7.2280120849609375,0.0,5,0,0.0,True,4,0,27935
007,no_termination,-7.2280120849609375,0.0,5,0,0.0,True,4,1,28942
008,full,-6.2419586181640625,0.0,5,0,0.0,True,4,0,31404
008,no_slip,-6.2310943603515625,0.0108642578125,3,0,0.0,True,2,0,21937
008,no_forbid,-6.176261901855469,0.0656967163085937,3,0,0.0,True,2,0,22166
008,no_termination,-6.2310943603515625,0.0108642578125,5,0,0.0,True,4,0,28603
009,full,-10.643351554870604,0.0,5,0,0.0,True,4,0,29393
009,no_slip,-10.643351554870604,0.0,5,0,0.0,True,4,0,26536
009,no_forbid,-10.643351554870604,0.0,5,0,0.0,True,4,0,29085
009,no_termination,-10.643351554870604,0.0,5,0,0.0,True,4,0,27782
010,full,-4.743168592453003,0.0,2,0,0.0,True,2,0,15342
010,no_slip,-4.741734266281128,0.001434326171875,4,0,0.0,True,1,0,25313
010,no_forbid,-4.743168592453003,0.0,3,0,0.0,True,1,0,20331
010,no_termination,-4.743168592453003,0.0,5,0,0.0,True,2,0,26181
011,full,-11.669610977172852,0.0,3,0,0.0,True,3,0,22371
011,no_slip,-11.654779434204102,0.01483154296875,4,0,0.0,True,4,0,26492
011,no_forbid,-11.654779434204102,0.01483154296875,3,0,0.0,True,3,0,22277
011,no_termination,-11.654779434204102,0.01483154296875,4,0,0.0,True,4,0,48692
012,full,-3.5041396617889404,0.0,5,0,0.0,True,4,0,29662
012,no_slip,-3.3380630016326904,0.16607666015625,2,0,0.0,True,2,0,14637
012,no_forbid,-3.5041396617889404,0.0,5,0,0.0,True,4,0,28383
012,no_termination,-3.5041396617889404,0.0,5,0,0.0,True,4,0,28217
001,one_shot,-4.346961975097656,0.0,1,0,0.0,True,1,0,4829
002,one_shot,,,1,0,0.0,False,1,1,4735
003,one_shot,-14.256022453308104,0.293518066406,1,0,0.0,True,1,0,5142
004,one_shot,-8.988121032714844,1.37335205078,1,0,0.0,True,1,0,5087
005,one_shot,-7.707094192504883,0.0,1,0,0.0,True,1,0,4544
006,one_shot,,,1,0,0.0,False,1,1,4766
007,one_shot,,,1,0,0.0,False,1,1,4767
008,one_shot,-6.176261901855469,0.0656967163086,1,0,0.0,True,1,0,4522
009,one_shot,-10.011088371276855,0.632263183594,1,0,0.0,True,1,0,5139
010,one_shot,-4.743168592453003,0.0,1,0,0.0,True,1,0,4315
011,one_shot,-11.657953262329102,0.0116577148438,1,0,0.0,True,1,0,5054
012,one_shot,-3.5041396617889404,0.0,1,0,0.0,True,1,0,4678
