case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_forbid,-4.346961975097656,0.0,5,0,0.0,True,5,4,31557
002,no_forbid,-3.345600128173828,7.62939453125e-06,5,0,0.0,True,5,2,31663
003,no_forbid,-14.549540519714355,0.0,5,0,0.0,True,5,0,30038
004,no_forbid,-10.361473083496094,0.0,5,0,0.0,True,3,0,27708
005,no_forbid,-7.707094192504883,0.0,2,0,0.0,True,1,0,16038
006,no_forbid,-7.620193481445312,1.2498855590820312,5,0,0.0,True,4,2,31959
007,no_forbid,-7.2280120849609375,0.0,5,0,0.0,True,4,0,27935
008,no_forbid,-6.176261901855469,0.0656967163085937,3,0,0.0,True,2,0,22166
009,no_forbid,-10.643351554870604,0.0,5,0,0.0,True,4,0,29085
010,no_forbid,-4.743168592453003,0.0,3,0,0.0,True,1,0,20331
011,no_forbid,-11.654779434204102,0.01483154296875,3,0,0.0,True,3,0,22277
012,no_forbid,-3.5041396617889404,0.0,5,0,0.0,True,4,0,28383
