case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_termination,,,5,0,0.0,False,4,5,28931
002,no_termination,-3.3456077575683594,0.0,5,0,0.0,True,5,2,30371
003,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,29392
004,no_termination,-10.361412048339844,6.103515625e-05,5,0,0.0,True,3,1,27164
005,no_termination,-7.707094192504883,0.0,5,0,0.0,True,4,0,28445
006,no_termination,-8.408592224121094,0.46148681640625,5,0,0.0,True,5,1,31230
007,no_termination,-7.2280120849609375,0.0,5,0,0.0,True,4,1,28942
008,no_termination,-6.2310943603515625,0.0108642578125,5,0,0.0,True,4,0,28603
009,no_termination,-10.643351554870604,0.0,5,0,0.0,True,4,0,27782
010,no_termination,-4.743168592453003,0.0,5,0,0.0,True,2,0,26181
011,no_termination,-11.654779434204102,0.01483154296875,4,0,0.0,True,4,0,48692
012,no_termination,-3.5041396617889404,0.0,5,0,0.0,True,4,0,28217
