case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,one_shot,-4.346961975097656,0.0,1,0,0.0,True,1,0,4829
002,one_shot,,,1,0,0.0,False,1,1,4735
003,one_shot,-14.256022453308104,0.293518066406,1,0,0.0,True,1,0,5142
004,one_shot,-8.988121032714844,1.37335205078,1,0,0.0,True,1,0,5087
005,one_shot,-7.707094192504883,0.0,1,0,0.0,True,1,0,4544
006,one_shot,,,1,0,0.0,False,1,1,4766
007,one_shot,,,1,0,0.0,False,1,1,4767
008,one_shot,-6.176261901855469,0.0656967163086,1,0,0.0,True,1,0,4522
009,one_shot,-10.011088371276855,0.632263183594,1,0,0.0,True,1,0,5139
010,one_shot,-4.743168592453003,0.0,1,0,0.0,True,1,0,4315
011,one_shot,-11.657953262329102,0.0116577148438,1,0,0.0,True,1,0,5054
012,one_shot,-3.5041396617889404,0.0,1,0,0.0,True,1,0,4678
