case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_slip,-4.346963882446289,0.0,5,0,0.0,True,5,4,35517
002,no_slip,-3.384510040283203,2.288818359375e-05,5,0,0.0,True,5,2,37911
003,no_slip,-14.505778312683104,0.04376220703125,5,0,0.0,True,5,0,36757
004,no_slip,-10.361473083496094,0.0,5,0,0.0,True,1,1,33310
005,no_slip,-7.687732696533203,0.0193614959716796,5,0,0.0,True,2,0,35896
006,no_slip,-8.395408630371094,-0.5154190063476562,5,0,0.0,True,4,2,36583
007,no_slip,-7.2280120849609375,-0.1142578125,5,0,0.0,True,5,2,34846
008,no_slip,-6.2311859130859375,0.00201416015625,5,0,0.0,True,5,0,35630
009,no_slip,-10.643351554870604,-0.52520751953125,5,0,0.0,True,5,0,35683
010,no_slip,-4.743199110031128,0.0,4,0,0.0,True,2,0,30783
011,no_slip,-11.654779434204102,0.0045166015625,4,0,0.0,True,4,0,33083
012,no_slip,-3.5041396617889404,-0.16607666015625,5,0,0.0,True,4,0,33747
