case_id,ocd62_case_id,ocd_id,surface_formula,adsorbate,backend,variant,e_run1,e_run2,range_eV,agreement_class
001,002,16,Hf18Sc18Si36,NO,gpt,full,-4.3469619751,-4.3469619751,0,exact_match
001,002,16,Hf18Sc18Si36,NO,gpt,no_slip,-4.3469619751,-4.3469619751,0,exact_match
001,002,16,Hf18Sc18Si36,NO,gpt,no_forbid,-4.3469619751,-4.3469619751,0,exact_match
001,002,16,Hf18Sc18Si36,NO,gpt,no_termination,-4.3469619751,-4.88319969177,0.536237716675,large_divergent
001,002,16,Hf18Sc18Si36,NO,gpt,one_shot,-4.3469619751,-4.3469619751,0,exact_match
002,010,94,Ag18Sr27,[N]=N,gpt,full,-3.38452529907,-3.34560775757,0.0389175415039,minor
002,010,94,Ag18Sr27,[N]=N,gpt,no_slip,-3.34560775757,-3.38451766968,0.0389099121094,minor
002,010,94,Ag18Sr27,[N]=N,gpt,no_forbid,-3.38451766968,-3.34560012817,0.0389175415039,minor
002,010,94,Ag18Sr27,[N]=N,gpt,no_termination,-3.34559249878,-3.34560775757,1.52587890625e-05,exact_match
002,010,94,Ag18Sr27,[N]=N,gpt,one_shot,-3.34560012817,-5.60783004761,2.26222991943,severe
003,012,108,Ru60Ta20,[NH],gpt,full,-14.5495405197,-14.5495405197,0,exact_match
003,012,108,Ru60Ta20,[NH],gpt,no_slip,-14.5495405197,-14.5495405197,0,exact_match
003,012,108,Ru60Ta20,[NH],gpt,no_forbid,-14.5495405197,-14.5495405197,0,exact_match
003,012,108,Ru60Ta20,[NH],gpt,no_termination,-14.5495405197,-14.5495405197,0,exact_match
003,012,108,Ru60Ta20,[NH],gpt,one_shot,-14.2560224533,-14.2560224533,0,exact_match
004,016,181,Cu32Se64W16,C(C)O,gpt,full,-10.3614730835,-10.3614730835,0,exact_match
004,016,181,Cu32Se64W16,C(C)O,gpt,no_slip,-10.2418899536,-10.25806427,0.0161743164063,minor
004,016,181,Cu32Se64W16,C(C)O,gpt,no_forbid,-10.3631210327,-10.3614730835,0.00164794921875,match
004,016,181,Cu32Se64W16,C(C)O,gpt,no_termination,-10.3614730835,-10.3614120483,6.103515625e-05,exact_match
