set,variant,case_id,seed,status,best_energy_eV,iteration_count,error
cmu20,one_shot,20,100,failed,,1,
cmu20,one_shot,20,200,success,-11.169506072998047,1,
cmu20,one_shot,20,300,success,-9.500072479248047,1,
cmu20,one_shot,20,400,success,-11.174606323242188,1,
cmu20,one_shot,20,500,success,-11.158313751220703,1,
ocd62,single_shot,006,100,failed,,1,
ocd62,single_shot,005,100,success,-6.186515808105469,1,
ocd62,full,011,100,success,-12.45044994354248,4,
ocd62,single_shot,011,100,success,-12.45044994354248,1,
ocd62,single_shot,006,200,failed,,1,
ocd62,single_shot,005,200,success,-6.233758926391602,1,
ocd62,full,011,200,success,-12.452446937561035,4,
ocd62,single_shot,011,200,success,-10.172670364379883,1,
ocd62,single_shot,006,300,success,-9.141180038452148,1,
ocd62,single_shot,005,300,success,-6.158802032470703,1,
ocd62,full,011,300,success,-11.622556686401367,4,
ocd62,single_shot,011,300,success,-10.64057445526123,1,
ocd62,single_shot,006,400,success,-9.139045715332031,1,
ocd62,single_shot,005,400,success,-6.155149459838867,1,
ocd62,full,011,400,success,-12.440855026245117,4,
ocd62,single_shot,011,400,success,-10.640274047851562,1,
ocd62,single_shot,006,500,success,-9.140151977539062,1,
ocd62,single_shot,005,500,success,-6.197877883911133,1,
ocd62,full,011,500,success,-11.615777015686035,5,
ocd62,single_shot,011,500,success,-11.615777015686035,1,
