backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,001,no_forbid,-4.346961975097656,,5,0,0.0,True,3,4,31890
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,002,no_forbid,-3.3845176696777344,,5,0,0.0,True,5,2,31752
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,003,no_forbid,-14.549540519714355,,5,0,0.0,True,5,0,29767
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,004,no_forbid,-10.363121032714844,,5,0,0.0,True,3,1,27824
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,005,no_forbid,-7.707094192504883,,2,0,0.0,True,1,0,16436
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,006,no_forbid,-7.967422485351563,,5,0,0.0,True,4,2,33108
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,007,no_forbid,-7.2280120849609375,,5,0,0.0,True,4,1,30254
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,008,no_forbid,-6.2311553955078125,,5,0,0.0,True,4,0,28815
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,009,no_forbid,-10.606913566589355,,5,0,0.0,True,4,0,30322
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,010,no_forbid,-4.743199110031128,,3,0,0.0,True,2,0,20821
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,011,no_forbid,-11.654779434204102,,4,0,0.0,True,4,0,30794
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,012,no_forbid,-3.5041396617889404,,5,0,0.0,True,4,0,28996
