backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,001,no_termination,-4.346961975097656,,5,0,0.0,True,5,3,31550
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,002,no_termination,-3.345592498779297,,5,0,0.0,True,5,2,29735
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,003,no_termination,-14.549540519714355,,5,0,0.0,True,5,0,30305
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,004,no_termination,-10.361473083496094,,5,0,0.0,True,3,1,26915
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,005,no_termination,-7.707094192504883,,5,0,0.0,True,3,0,28610
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,006,no_termination,-8.870079040527344,,5,0,0.0,True,4,2,30346
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,007,no_termination,-7.2280120849609375,,5,0,0.0,True,4,1,29144
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,008,no_termination,-6.2310028076171875,,5,0,0.0,True,4,0,28989
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,009,no_termination,-10.643351554870604,,5,0,0.0,True,4,0,28209
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,010,no_termination,-4.959049940109253,,5,0,0.0,True,3,0,26145
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,011,no_termination,-11.659601211547852,,4,0,0.0,True,4,0,48661
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,012,no_termination,-3.5041396617889404,,5,0,0.0,True,4,0,28210
