backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,001,no_termination,-4.346961975097656,0.0,5,0,0.0,True,5,3,45378
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,002,no_termination,-3.3845176696777344,0.0,5,0,0.0,True,5,2,47255
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,003,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,44833
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,004,no_termination,-10.361473083496094,0.0,5,0,0.0,True,3,1,39505
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,005,no_termination,-7.707033157348633,6.103515625e-05,5,0,0.0,True,3,0,43726
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,006,no_termination,-7.967422485351563,0.0,5,0,0.0,True,4,2,45308
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,007,no_termination,-7.2280120849609375,0.0,5,0,0.0,True,4,2,42800
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,008,no_termination,-6.2310638427734375,-0.0548019409179687,5,0,0.0,True,5,0,44185
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,009,no_termination,-10.643351554870604,-0.03643798828125,5,0,0.0,True,5,0,45056
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,010,no_termination,-4.980229139328003,0.0,5,0,0.0,True,2,0,40204
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,011,no_termination,-11.654535293579102,0.0001220703125,5,1,0.2,True,4,0,41321
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,012,no_termination,-3.5041396617889404,-0.16607666015625,5,0,0.0,True,4,0,41051
