backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
claude,anthropic_claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,Anthropic official endpoint,MACE-MP-0 small,mace,mace_mp0,small,001,no_termination,-4.346961975097656,0.0,5,0,0.0,True,4,4,39311
claude,anthropic_claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,Anthropic official endpoint,MACE-MP-0 small,mace,mace_mp0,small,002,no_termination,-3.34561538696289,0.0389022827148437,5,0,0.0,True,5,2,39236
claude,anthropic_claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,Anthropic official endpoint,MACE-MP-0 small,mace,mace_mp0,small,003,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,39547
claude,anthropic_claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,Anthropic official endpoint,MACE-MP-0 small,mace,mace_mp0,small,004,no_termination,-9.672615051269531,-0.35302734375,5,0,0.0,True,3,1,34398
claude,anthropic_claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,Anthropic official endpoint,MACE-MP-0 small,mace,mace_mp0,small,005,no_termination,-7.707094192504883,0.0,5,0,0.0,True,3,0,38214
claude,anthropic_claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,Anthropic official endpoint,MACE-MP-0 small,mace,mace_mp0,small,006,no_termination,-8.408592224121094,0.46148681640625,5,0,0.0,True,5,2,41404
claude,anthropic_claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,Anthropic official endpoint,MACE-MP-0 small,mace,mace_mp0,small,007,no_termination,-7.2280120849609375,0.0,5,0,0.0,True,4,0,37250
claude,anthropic_claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,Anthropic official endpoint,MACE-MP-0 small,mace,mace_mp0,small,008,no_termination,-6.2419586181640625,0.0,5,0,0.0,True,4,0,41818
claude,anthropic_claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,Anthropic official endpoint,MACE-MP-0 small,mace,mace_mp0,small,009,no_termination,-10.643351554870604,0.0,5,0,0.0,True,4,0,38582
claude,anthropic_claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,Anthropic official endpoint,MACE-MP-0 small,mace,mace_mp0,small,010,no_termination,-4.980229139328003,-0.237060546875,5,0,0.0,True,3,0,36113
claude,anthropic_claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,Anthropic official endpoint,MACE-MP-0 small,mace,mace_mp0,small,011,no_termination,-11.654718399047852,6.103515625e-05,5,1,0.2,True,4,0,60335
claude,anthropic_claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,Anthropic official endpoint,MACE-MP-0 small,mace,mace_mp0,small,012,no_termination,-3.5041396617889404,0.0,5,0,0.0,True,4,0,36518
