backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,001,full,-4.346961975097656,0.0,5,0,0.0,True,4,4,48381
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,002,full,-3.3845176696777344,0.0,5,0,0.0,True,5,2,48237
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,003,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,44845
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,004,full,-10.361473083496094,0.0,5,0,0.0,True,2,1,42238
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,005,full,-7.707094192504883,0.0,3,0,0.0,True,2,0,31627
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,006,full,-8.870079040527344,0.0,5,0,0.0,True,4,3,45362
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,007,full,-7.2280120849609375,0.0,5,0,0.0,True,4,2,43499
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,008,full,-6.2311553955078125,0.0,5,0,0.0,True,4,0,43191
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,009,full,-10.643351554870605,0.0,5,0,0.0,True,5,0,45094
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,010,full,-4.980229139328003,0.0,5,0,0.0,True,2,0,40113
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,011,full,-11.654779434204102,0.0,4,0,0.0,True,4,0,43536
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,012,full,-3.3380630016326904,0.0,5,0,0.0,True,4,0,42511
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,001,no_slip,-4.346961975097656,0.0,5,0,0.0,True,4,4,41242
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,002,no_slip,-3.3845176696777344,0.0,5,0,0.0,True,5,1,46134
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,003,no_slip,-14.549540519714355,0.0,5,0,0.0,True,5,0,42115
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,004,no_slip,-10.361473083496094,0.0,5,0,0.0,True,2,1,38685
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,005,no_slip,-7.707094192504883,0.0,5,0,0.0,True,3,0,45014
