case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.346961975097656,0.0,5,0,0.0,True,4,2,41383
002,full,-3.3455772399902344,0.0,5,0,0.0,True,5,2,40838
003,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,43017
004,full,-9.077354431152344,0.0,5,0,0.0,True,4,1,33770
005,full,-7.707033157348633,0.0,3,0,0.0,True,2,0,29057
006,full,-7.8802947998046875,0.0,3,0,0.0,True,3,1,30825
007,full,-7.2280120849609375,0.0,5,0,0.0,True,5,1,42007
008,full,-6.176261901855469,0.0,3,0,0.0,True,3,0,31434
009,full,-10.643351554870605,0.0,5,0,0.0,True,4,0,40050
010,full,-4.743199110031128,0.0,3,0,0.0,True,2,0,28235
011,full,-11.655145645141602,0.0,4,0,0.0,True,4,0,39261
012,full,-3.3380324840545654,0.0,4,0,0.0,True,3,0,38828
001,no_slip,-4.346961975097656,0.0,5,0,0.0,True,4,4,35711
002,no_slip,-2.759845733642578,0.5857315063476562,4,0,0.0,True,4,2,24764
003,no_slip,-14.549540519714355,0.0,5,0,0.0,True,5,0,35125
004,no_slip,-9.077415466308594,-6.103515625e-05,5,0,0.0,True,4,1,32882
005,no_slip,-7.707094192504883,-6.103515625e-05,4,0,0.0,True,3,0,35432
006,no_slip,-8.408592224121094,-0.5282974243164062,5,0,0.0,True,5,3,34963
007,no_slip,-7.2280120849609375,0.0,5,0,0.0,True,5,1,35829
008,no_slip,-6.2419586181640625,-0.06569671630859375,5,0,0.0,True,4,0,38104
009,no_slip,-10.643351554870605,0.0,5,0,0.0,True,4,0,34539
010,no_slip,-4.743168592453003,3.0517578125e-05,2,0,0.0,True,2,0,18734
011,no_slip,-11.654779434204102,0.0003662109375,4,0,0.0,True,4,0,34348
012,no_slip,-3.5041396617889404,-0.166107177734375,4,0,0.0,True,3,0,31197
001,no_forbid,-4.346961975097656,0.0,5,0,0.0,True,4,4,40589
002,no_forbid,-3.3845176696777344,-0.0389404296875,5,0,0.0,True,5,2,40763
003,no_forbid,-14.549540519714355,0.0,5,0,0.0,True,5,0,40902
004,no_forbid,-9.672615051269531,-0.5952606201171875,5,0,0.0,True,3,1,34275
005,no_forbid,-7.707094192504883,-6.103515625e-05,4,0,0.0,True,2,0,33266
006,no_forbid,-8.408592224121094,-0.5282974243164062,5,0,0.0,True,4,2,41281
007,no_forbid,-7.2280120849609375,0.0,5,0,0.0,True,4,1,37030
008,no_forbid,-6.2311553955078125,-0.05489349365234375,5,0,0.0,True,4,0,39735
009,no_forbid,-10.643351554870605,0.0,5,0,0.0,True,4,0,37863
010,no_forbid,-4.743168592453003,3.0517578125e-05,2,0,0.0,True,2,0,20172
011,no_forbid,-11.654779434204102,0.0003662109375,4,0,0.0,True,4,0,38270
012,no_forbid,-3.5041396617889404,-0.166107177734375,3,0,0.0,True,2,0,28613
001,no_termination,-4.346961975097656,0.0,5,0,0.0,True,5,3,39920
002,no_termination,-3.3456077575683594,-3.0517578125e-05,5,0,0.0,True,5,2,40411
003,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,38516
004,no_termination,-9.077598571777344,-0.000244140625,5,0,0.0,True,3,2,34188
005,no_termination,-7.707094192504883,-6.103515625e-05,5,0,0.0,True,4,0,37455
006,no_termination,-8.870079040527344,-0.9897842407226562,5,0,0.0,True,5,2,39079
007,no_termination,-7.2280120849609375,0.0,5,0,0.0,True,4,1,37695
008,no_termination,-6.2311248779296875,-0.05486297607421875,5,0,0.0,True,4,0,39039
009,no_termination,-10.643351554870605,0.0,5,0,0.0,True,4,0,37740
010,no_termination,-4.980229139328003,-0.237030029296875,5,0,0.0,True,2,0,35148
011,no_termination,-11.654779434204102,0.0003662109375,5,1,0.2,True,4,0,45198
012,no_termination,-3.5041396617889404,-0.166107177734375,5,0,0.0,True,4,0,37196
001,single_shot,-4.346961975097656,0.0,1,0,0.0,True,1,0,6352
002,single_shot,,,1,0,0.0,False,1,1,5269
003,single_shot,-14.256022453308105,0.29351806640625,1,0,0.0,True,1,0,6148
004,single_shot,-9.077415466308594,-6.103515625e-05,1,0,0.0,True,0,0,5370
005,single_shot,-7.707094192504883,-6.103515625e-05,1,0,0.0,True,1,0,5861
006,single_shot,,,1,0,0.0,False,1,1,5510
007,single_shot,,,1,0,0.0,False,1,1,6073
008,single_shot,-6.1057891845703125,0.07047271728515625,1,0,0.0,True,0,0,6346
009,single_shot,-10.208537101745605,0.434814453125,1,0,0.0,True,1,0,6083
010,single_shot,-4.743199110031128,0.0,1,0,0.0,True,1,0,6218
011,single_shot,-6.983524322509766,4.671621322631836,1,0,0.0,True,1,0,5750
012,single_shot,-3.2566726207733154,0.08135986328125,1,0,0.0,True,1,0,6017
