case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.346961975097656,0.0,5,0,0.0,True,5,4,46873
002,full,-3.3845176696777344,0.0,5,0,0.0,True,5,2,47870
003,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,44182
004,full,-10.361045837402344,0.0,5,0,0.0,True,3,1,40913
005,full,-7.707094192504883,0.0,4,0,0.0,True,3,0,32829
006,full,-7.9674224853515625,0.0,5,0,0.0,True,4,3,47726
007,full,-7.2280120849609375,0.0,4,0,0.0,True,3,1,34866
008,full,-6.2310028076171875,0.0,5,0,0.0,True,4,0,46465
009,full,-10.606913566589355,0.0,5,0,0.0,True,4,0,43934
010,full,-4.743168592453003,0.0,4,0,0.0,True,2,0,39443
011,full,-11.656427383422852,0.0,5,1,0.2,True,4,0,42490
012,full,-3.338047742843628,0.0,4,0,0.0,True,4,0,45125
001,no_slip,-4.346961975097656,0.0,5,0,0.0,True,5,4,43844
002,no_slip,-3.3845176696777344,0.0,5,0,0.0,True,5,1,45809
003,no_slip,-14.549540519714355,0.0,5,0,0.0,True,5,0,42617
004,no_slip,-10.361473083496094,-0.00042724609375,5,0,0.0,True,2,1,39813
005,no_slip,-7.707094192504883,0.0,5,0,0.0,True,4,0,41269
006,no_slip,-7.9674224853515625,0.0,5,0,0.0,True,5,2,43227
007,no_slip,-7.2280120849609375,0.0,5,0,0.0,True,4,1,42022
008,no_slip,-6.176261901855469,0.05474090576171875,5,0,0.0,True,5,0,38202
009,no_slip,-10.643351554870605,-0.03643798828125,5,0,0.0,True,5,0,40500
010,no_slip,-4.959049940109253,-0.21588134765625,5,0,0.0,True,3,0,37939
011,no_slip,-11.654779434204102,0.00164794921875,5,1,0.2,True,4,0,40571
012,no_slip,-3.3380630016326904,-1.52587890625e-05,3,0,0.0,True,3,0,29202
001,no_forbid,-4.346961975097656,0.0,4,0,0.0,True,4,3,35170
002,no_forbid,-3.345600128173828,0.03891754150390625,5,0,0.0,True,5,1,45997
003,no_forbid,-14.549540519714355,0.0,5,0,0.0,True,5,0,46763
004,no_forbid,-10.361473083496094,-0.00042724609375,5,0,0.0,True,2,1,41407
005,no_forbid,-7.707094192504883,0.0,3,0,0.0,True,2,0,31265
006,no_forbid,-7.9674224853515625,0.0,5,0,0.0,True,4,3,48194
007,no_forbid,-7.1137542724609375,0.1142578125,5,0,0.0,True,4,2,43444
008,no_forbid,-6.2311553955078125,-0.000152587890625,5,0,0.0,True,5,0,42853
009,no_forbid,-10.078959465026855,0.5279541015625,4,0,0.0,True,4,0,33858
010,no_forbid,-4.980229139328003,-0.237060546875,5,0,0.0,True,3,0,35637
011,no_forbid,-11.654779434204102,0.00164794921875,4,0,0.0,True,4,0,41433
012,no_forbid,-3.3380630016326904,-1.52587890625e-05,3,0,0.0,True,3,0,31743
001,no_termination,-7.047445297241211,-2.7004833221435547,5,0,0.0,True,3,3,47012
002,no_termination,-3.3845176696777344,0.0,5,0,0.0,True,5,2,47326
003,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,44192
004,no_termination,-10.361473083496094,-0.00042724609375,5,0,0.0,True,3,1,39488
005,no_termination,-7.707094192504883,0.0,5,0,0.0,True,4,0,42706
006,no_termination,-7.9674224853515625,0.0,5,0,0.0,True,5,2,44210
007,no_termination,-7.2280120849609375,0.0,5,0,0.0,True,4,1,44264
008,no_termination,-6.176261901855469,0.05474090576171875,5,0,0.0,True,4,0,41288
009,no_termination,-10.606913566589355,0.0,5,0,0.0,True,4,0,44932
010,no_termination,-4.743199110031128,-3.0517578125e-05,5,0,0.0,True,2,0,40042
011,no_termination,-11.654596328735352,0.0018310546875,5,1,0.2,True,4,0,40842
012,no_termination,-3.5041396617889404,-0.1660919189453125,5,0,0.0,True,4,0,43323
001,single_shot,-4.346961975097656,0.0,1,0,0.0,True,1,0,6913
002,single_shot,-2.735858917236328,0.6486587524414062,1,0,0.0,True,1,0,6984
003,single_shot,-13.274882316589355,1.274658203125,1,0,0.0,True,1,0,7693
004,single_shot,-9.077415466308594,1.28363037109375,1,0,0.0,True,0,0,6771
005,single_shot,-7.707094192504883,0.0,1,0,0.0,True,1,0,6552
006,single_shot,,,1,0,0.0,False,1,1,7157
007,single_shot,,,1,0,0.0,False,1,1,7137
008,single_shot,-6.176261901855469,0.05474090576171875,1,0,0.0,True,1,0,6970
009,single_shot,-9.957316398620605,0.64959716796875,1,0,0.0,True,1,0,7715
010,single_shot,-4.743168592453003,0.0,1,0,0.0,True,1,0,6687
011,single_shot,-6.983524322509766,4.672903060913086,1,0,0.0,True,1,0,7584
012,single_shot,-3.3380630016326904,-1.52587890625e-05,1,0,0.0,True,1,0,7471
