case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.346961975097656,0.0,5,0,0.0,True,4,4,32136
002,full,-3.345600128173828,0.0,4,0,0.0,True,4,2,31753
003,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,30099
004,full,-9.077415466308594,0.0,5,0,0.0,True,3,2,27673
005,full,-7.707094192504883,0.0,5,0,0.0,True,3,0,29497
006,full,-7.9674224853515625,0.0,5,0,0.0,True,4,3,31798
007,full,-7.2280120849609375,0.0,5,0,0.0,True,4,1,29623
008,full,-6.176261901855469,0.0,4,0,0.0,True,3,0,29750
009,full,-10.606913566589355,0.0,5,0,0.0,True,4,0,31253
010,full,-4.743199110031128,0.0,3,0,0.0,True,1,0,21012
011,full,-11.654779434204102,0.0,3,0,0.0,True,3,0,23193
012,full,-3.5041396617889404,0.0,5,0,0.0,True,4,0,29132
001,no_slip,-4.346961975097656,0.0,5,0,0.0,True,4,4,28494
002,no_slip,-3.345592498779297,7.62939453125e-06,5,0,0.0,True,5,2,28341
003,no_slip,-14.549540519714355,0.0,5,0,0.0,True,5,0,27463
004,no_slip,-10.361473083496094,-1.2840576171875,5,0,0.0,True,1,0,25380
005,no_slip,-7.707094192504883,0.0,3,0,0.0,True,2,0,21174
006,no_slip,-8.408653259277344,-0.44123077392578125,5,0,0.0,True,4,2,30174
007,no_slip,-7.2280120849609375,0.0,5,0,0.0,True,5,1,27533
008,no_slip,-6.176261901855469,0.0,2,0,0.0,True,1,0,15030
009,no_slip,-10.643351554870605,-0.03643798828125,5,0,0.0,True,4,0,26467
010,no_slip,-4.743199110031128,0.0,3,0,0.0,True,1,0,20411
011,no_slip,-11.654779434204102,0.0,3,0,0.0,True,3,0,21145
012,no_slip,-3.5041396617889404,0.0,5,0,0.0,True,4,0,26368
001,no_forbid,-4.346961975097656,0.0,5,0,0.0,True,3,4,31366
002,no_forbid,-3.3456077575683594,-7.62939453125e-06,5,0,0.0,True,5,2,31265
003,no_forbid,-14.549540519714355,0.0,5,0,0.0,True,5,0,30309
004,no_forbid,-9.672615051269531,-0.5951995849609375,5,0,0.0,True,3,1,28774
005,no_forbid,-7.707094192504883,0.0,3,0,0.0,True,2,0,22072
006,no_forbid,-8.395408630371094,-0.42798614501953125,5,0,0.0,True,4,2,31181
007,no_forbid,-7.2280120849609375,0.0,5,0,0.0,True,4,1,28799
008,no_forbid,-6.176261901855469,0.0,3,0,0.0,True,2,0,22140
009,no_forbid,-10.208537101745605,0.39837646484375,5,0,0.0,True,5,0,29610
010,no_forbid,-4.980229139328003,-0.237030029296875,5,0,0.0,True,2,0,25728
011,no_forbid,-11.654779434204102,0.0,4,0,0.0,True,4,0,29997
012,no_forbid,-3.5041396617889404,0.0,5,0,0.0,True,4,0,28324
001,no_termination,-4.346961975097656,0.0,5,0,0.0,True,3,3,31128
002,no_termination,-3.3456077575683594,-7.62939453125e-06,5,0,0.0,True,5,2,31184
003,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,30700
004,no_termination,-10.361473083496094,-1.2840576171875,5,0,0.0,True,3,1,26877
005,no_termination,-7.707094192504883,0.0,5,0,0.0,True,3,0,27967
006,no_termination,-8.870079040527344,-0.9026565551757812,5,0,0.0,True,5,1,30505
007,no_termination,-7.2280120849609375,0.0,5,0,0.0,True,4,1,29020
008,no_termination,-6.2310638427734375,-0.05480194091796875,5,0,0.0,True,4,0,29344
009,no_termination,-10.643351554870605,-0.03643798828125,5,0,0.0,True,4,0,28071
010,no_termination,-4.980229139328003,-0.237030029296875,5,0,0.0,True,2,0,26948
011,no_termination,-11.654840469360352,-6.103515625e-05,5,0,0.0,True,5,0,34960
012,no_termination,-3.5041396617889404,0.0,5,0,0.0,True,4,0,28308
001,single_shot,-4.497257232666016,-0.15029525756835938,1,0,0.0,True,1,0,4547
002,single_shot,,,1,0,0.0,False,1,1,4675
003,single_shot,-13.913444519042969,0.6360960006713867,1,0,0.0,True,1,0,4502
004,single_shot,-8.988121032714844,0.08929443359375,1,0,0.0,True,1,0,4688
005,single_shot,-7.707094192504883,0.0,1,0,0.0,True,1,0,4580
006,single_shot,,,1,0,0.0,False,1,1,4670
007,single_shot,,,1,0,0.0,False,1,1,4556
008,single_shot,-6.176261901855469,0.0,1,0,0.0,True,1,0,4454
009,single_shot,-9.681571960449219,0.9253416061401367,1,0,0.0,True,1,0,4539
010,single_shot,-4.709355115890503,0.033843994140625,1,0,0.0,True,0,0,4523
011,single_shot,-11.654657363891602,0.0001220703125,1,0,0.0,True,1,0,4783
012,single_shot,-3.5041396617889404,0.0,1,0,0.0,True,1,0,4535
