backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,001,no_forbid,-4.346961975097656,0.0,5,0,0.0,True,4,4,52614
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,002,no_forbid,-3.3845176696777344,7.62939453125e-06,5,0,0.0,True,5,2,59569
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,003,no_forbid,-14.549540519714355,0.0,5,0,0.0,True,5,0,50562
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,004,no_forbid,-10.361473083496094,0.0,5,0,0.0,True,2,1,48282
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,005,no_forbid,-7.707033157348633,6.103515625e-05,5,0,0.0,True,4,0,58234
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,006,no_forbid,-7.9674224853515625,-0.088409423828125,5,0,0.0,True,5,1,53531
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,007,no_forbid,-6.576652526855469,0.0,2,0,0.0,True,2,1,12499
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,008,no_forbid,-6.176261901855469,0.05489349365234375,2,0,0.0,True,2,0,17389
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,009,no_forbid,-10.606913566589355,-0.9253416061401367,5,0,0.0,True,4,0,50287
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,010,no_forbid,-4.959049940109253,0.0,5,0,0.0,True,3,0,41282
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,011,no_forbid,-11.658990859985352,-1.027151107788086,1,0,0.0,True,1,0,7796
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,012,no_forbid,-3.2566726207733154,0.247467041015625,1,0,0.0,True,1,0,4293
