case_id,adsorbate,surface,aa_energy_eqv2,aa_configs_tested,aa_success,am_gemini_energy_mace,am_gemini_tokens,am_gemini_slip,am_gemini_status,am_grok4_energy_mace,am_grok4_tokens,am_grok4_slip,am_grok4_status,energy_comparison_note
01,H,Mo3Pd(111),-0.764,6.7,false,-3.5663492679595947,6420,1,success,-3.6311686038970947,6419,0,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
02,NNH,Mo3Pd(111),-1.265,9.3,false,-4.333539962768555,6987,1,success,-4.150495529174805,6507,1,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
03,H,CuPd3(111),-0.380,16.7,true,-3.3467447757720947,7792,0,success,-3.3467142581939697,5777,0,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
04,NNH,CuPd3(111),0.745,17.3,false,-1.6579418182373047,7278,1,success,-1.6579418182373047,3201,1,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
05,H,Cu3Ag(111),-0.019,21.3,true,-2.9469187259674072,8237,0,success,-2.9469187259674072,6022,0,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
06,NNH,Cu3Ag(111),1.504,16.7,true,-2.0482616424560547,9126,1,success,-1.7266368865966797,6163,1,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
07,H,Ru3Mo(111),-0.587,17.0,true,-6.922611474990845,6533,1,success,-6.922611474990845,6047,1,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
08,NNH,Ru3Mo(111),-0.498,18.7,false,-6.396268844604492,8309,1,success,-7.355390548706055,6718,1,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
09,OH,Pt(111),0.990,7.0,true,-1.8013858795166016,6784,0,success,-1.9739322662353516,6511,0,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
10,OH,Pt(100),0.991,10.3,true,-2.1220951080322266,7020,0,success,-2.712350845336914,6257,0,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
11,OH,Pd(111),0.814,20.0,true,-2.3786563873291016,7448,1,success,-2.3883914947509766,6640,1,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
12,OH,Au(111),1.408,23.3,true,-1.6070194244384766,7046,0,success,-2.080881118774414,6389,0,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
13,OH,Ag(100),0.440,23.7,true,-2.376436233520508,6993,0,success,-2.376443862915039,6497,0,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
14,OH,CoPt(111),-0.208,41.3,true,-3.2451114654541016,8100,1,success,-3.2450809478759766,6732,1,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
15,CH2CH2OH,Cu6Ga2(100),-2.338,28.7,false,-2.888652801513672,7543,0,success,-2.5872459411621094,6890,1,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
16,CH2CH2OH,Au2Hf(102),-2.761,28.0,false,-4.537578582763672,7063,0,success,-4.551860809326172,6044,0,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
17,OCHCH3,Rh2Ti2(111),-4.561,29.0,false,-2.7732162475585938,8108,1,success,-3.0664215087890625,6912,1,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
18,OCHCH3,Al3Zr(101),-4.616,22.0,false,-2.4180145263671875,7446,1,success,-2.4179840087890625,6576,1,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
19,OCHCH3,Hf2Zn6(110),-5.922,18.0,false,-4.029319763183594,7197,1,success,-3.5939178466796875,6740,1,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
20,ONN(CH3)2,Bi2Ti6(211),-3.454,33.0,false,-10.604454040527344,7992,1,success,-10.602500915527344,6289,1,success,DIFFERENT MLFF - NOT DIRECTLY COMPARABLE
