backend,backend_label,variant,variant_label,paired_successes,mean_delta_E_variant_minus_full_eV,median_delta_E_variant_minus_full_eV,full_lower_by_gt_0p05eV,variant_lower_by_gt_0p05eV,within_pm_0p05eV,tie_within_0p01eV
claude,Claude Sonnet 4.6,no_slip,w/o Slip,20,-0.042848,0.0,1,4,15,14
claude,Claude Sonnet 4.6,no_forbid,w/o Forbid,20,-0.012103,0.0,0,2,18,16
claude,Claude Sonnet 4.6,no_termination,w/o Term,20,-0.053801,0.0,0,3,17,15
claude,Claude Sonnet 4.6,single_shot,1-Shot,18,0.163493,0.099594,10,0,8,8
gemini,Gemini 2.5 Pro,no_slip,w/o Slip,20,0.005302,0.0,2,2,16,15
gemini,Gemini 2.5 Pro,no_forbid,w/o Forbid,20,0.009136,0.0,3,2,15,13
gemini,Gemini 2.5 Pro,no_termination,w/o Term,20,0.004781,0.0,4,2,14,12
gemini,Gemini 2.5 Pro,single_shot,1-Shot,19,0.295512,0.172546,12,0,7,6
gpt,GPT-5.4,no_slip,w/o Slip,20,-0.028403,0.0,2,3,15,13
gpt,GPT-5.4,no_forbid,w/o Forbid,20,-0.059007,0.0,1,5,14,12
gpt,GPT-5.4,no_termination,w/o Term,20,-0.046863,0.0,1,3,16,15
gpt,GPT-5.4,single_shot,1-Shot,18,0.107534,0.014725,8,1,9,6
grok,Grok-4,no_slip,w/o Slip,20,0.032039,0.0,4,2,14,14
grok,Grok-4,no_forbid,w/o Forbid,20,0.033045,0.0,2,1,17,15
grok,Grok-4,no_termination,w/o Term,20,-0.046841,0.0,0,2,18,16
grok,Grok-4,single_shot,1-Shot,18,0.297002,0.219226,11,1,6,3
