dataset,backend,backend_label,case_id,variant,variant_label,best_energy_eV,success,natural_failure,external_failure,energy_status,failure_reason,source,path
CMU20,gemini,Gemini 2.5 Pro,01,full,Full,-3.6317179203033447,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,02,full,Full,-4.765958786010742,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,04,full,Full,-2.0603294372558594,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,05,full,Full,-2.961643934249878,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,09,full,Full,-1.9739322662353516,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,10,full,Full,-2.7176666259765625,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,12,full,Full,-2.3513641357421875,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,13,full,Full,-2.8251419067382812,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,14,full,Full,-3.6166324615478516,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,15,full,Full,-3.257709503173828,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,16,full,Full,-4.662910461425781,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,17,full,Full,-3.222217559814453,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,18,full,Full,-2.7787933349609375,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,19,full,Full,-3.8413848876953125,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,20,full,Full,-11.652278900146484,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,01,no_slip,w/o Slip,-3.6317179203033447,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,02,no_slip,w/o Slip,-4.765775680541992,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,04,no_slip,w/o Slip,-2.1948204040527344,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,05,no_slip,w/o Slip,-2.961643934249878,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,09,no_slip,w/o Slip,-1.9739322662353516,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,10,no_slip,w/o Slip,-2.7176666259765625,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,12,no_slip,w/o Slip,-2.3513641357421875,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,13,no_slip,w/o Slip,-2.8251419067382812,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,14,no_slip,w/o Slip,-3.6166324615478516,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,15,no_slip,w/o Slip,-3.257709503173828,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,16,no_slip,w/o Slip,-4.662910461425781,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,17,no_slip,w/o Slip,-3.064361572265625,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,18,no_slip,w/o Slip,-2.7787628173828125,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,19,no_slip,w/o Slip,-3.8413848876953125,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,20,no_slip,w/o Slip,-11.829994201660156,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,01,no_forbid,w/o Forbid,-3.6317179203033447,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,02,no_forbid,w/o Forbid,-4.765714645385742,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,04,no_forbid,w/o Forbid,-2.0389671325683594,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,05,no_forbid,w/o Forbid,-2.961643934249878,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,09,no_forbid,w/o Forbid,-1.9739322662353516,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,10,no_forbid,w/o Forbid,-2.7176666259765625,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,12,no_forbid,w/o Forbid,-2.3513641357421875,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,13,no_forbid,w/o Forbid,-2.8251419067382812,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,14,no_forbid,w/o Forbid,-3.6166324615478516,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,15,no_forbid,w/o Forbid,-2.9635696411132812,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,16,no_forbid,w/o Forbid,-4.662910461425781,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,17,no_forbid,w/o Forbid,-3.0643310546875,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,18,no_forbid,w/o Forbid,-3.1291351318359375,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,19,no_forbid,w/o Forbid,-4.042137145996094,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,20,no_forbid,w/o Forbid,-11.652278900146484,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,01,no_termination,w/o Term,-3.6317179203033447,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,02,no_termination,w/o Term,-4.765958786010742,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,04,no_termination,w/o Term,-1.8452110290527344,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,05,no_termination,w/o Term,-2.961643934249878,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,09,no_termination,w/o Term,-1.9739322662353516,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,10,no_termination,w/o Term,-2.7176666259765625,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,12,no_termination,w/o Term,-2.3513641357421875,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
CMU20,gemini,Gemini 2.5 Pro,13,no_termination,w/o Term,-2.8251419067382812,True,False,False,valid,,base15,research/results/canonical_raw/cmu20_gemini_ablation/ablation_summary.csv
