backend,backend_label,variant,variant_label,attempts,successful_runs,natural_failures,external_failures,success_rate,mean_best_energy_success_only
claude,Claude Sonnet 4.6,full,Full,20,20,0,0,1.0,-3.911356
claude,Claude Sonnet 4.6,no_slip,w/o Slip,20,20,0,0,1.0,-3.954204
claude,Claude Sonnet 4.6,no_forbid,w/o Forbid,20,20,0,0,1.0,-3.923459
claude,Claude Sonnet 4.6,no_termination,w/o Term,20,20,0,0,1.0,-3.965157
claude,Claude Sonnet 4.6,single_shot,1-Shot,20,18,2,0,0.9,-3.696679
gemini,Gemini 2.5 Pro,full,Full,20,20,0,0,1.0,-3.884517
gemini,Gemini 2.5 Pro,no_slip,w/o Slip,20,20,0,0,1.0,-3.879215
gemini,Gemini 2.5 Pro,no_forbid,w/o Forbid,20,20,0,0,1.0,-3.875381
gemini,Gemini 2.5 Pro,no_termination,w/o Term,20,20,0,0,1.0,-3.879736
gemini,Gemini 2.5 Pro,single_shot,1-Shot,20,19,1,0,0.95,-3.679525
gpt,GPT-5.4,full,Full,20,20,0,0,1.0,-3.904506
gpt,GPT-5.4,no_slip,w/o Slip,20,20,0,0,1.0,-3.932909
gpt,GPT-5.4,no_forbid,w/o Forbid,20,20,0,0,1.0,-3.963513
gpt,GPT-5.4,no_termination,w/o Term,20,20,0,0,1.0,-3.951368
gpt,GPT-5.4,single_shot,1-Shot,20,18,2,0,0.9,-3.71107
grok,Grok-4,full,Full,20,20,0,0,1.0,-3.891105
grok,Grok-4,no_slip,w/o Slip,20,20,0,0,1.0,-3.859066
grok,Grok-4,no_forbid,w/o Forbid,20,20,0,0,1.0,-3.85806
grok,Grok-4,no_termination,w/o Term,20,20,0,0,1.0,-3.937946
grok,Grok-4,single_shot,1-Shot,20,18,2,0,0.9,-3.565951
