dataset,backend,variant,case_id,delta_variant_minus_full_eV,variant_energy_eV,full_energy_eV
rep50,Claude Sonnet 4.6,no_slip,001,0.237060546875,-4.743168592453003,-4.980229139328003
rep50,Claude Sonnet 4.6,no_slip,002,0.16607666015625,-3.3380630016326904,-3.5041396617889404
rep50,Claude Sonnet 4.6,no_slip,003,0.0,-3.1345107555389404,-3.1345107555389404
rep50,Claude Sonnet 4.6,no_slip,004,0.0,-7.2280120849609375,-7.2280120849609375
rep50,Claude Sonnet 4.6,no_slip,005,0.004302978515625,-6.2332916259765625,-6.2375946044921875
rep50,Claude Sonnet 4.6,no_slip,006,-0.0179443359375,-5.4748687744140625,-5.4569244384765625
rep50,Claude Sonnet 4.6,no_slip,007,4.671072006225586,-6.983524322509766,-11.654596328735352
rep50,Claude Sonnet 4.6,no_slip,008,0.0,-4.546131134033203,-4.546131134033203
rep50,Claude Sonnet 4.6,no_slip,009,0.3165283203125,-4.700778961181641,-5.017307281494141
rep50,Claude Sonnet 4.6,no_slip,010,0.0970458984375,-9.978092193603516,-10.075138092041016
rep50,Claude Sonnet 4.6,no_slip,011,-7.62939453125e-06,-3.283937454223633,-3.2839298248291016
rep50,Claude Sonnet 4.6,no_slip,012,-0.00262451171875,-9.671260833740234,-9.668636322021484
rep50,Claude Sonnet 4.6,no_slip,013,0.5857696533203125,-2.759845733642578,-3.3456153869628906
rep50,Claude Sonnet 4.6,no_slip,014,-0.283721923828125,-7.854701995849609,-7.570980072021484
rep50,Claude Sonnet 4.6,no_slip,015,0.0,-10.643351554870605,-10.643351554870605
rep50,Claude Sonnet 4.6,no_slip,016,0.29351806640625,-14.256022453308105,-14.549540519714355
rep50,Claude Sonnet 4.6,no_slip,017,4.57763671875e-05,-8.466606140136719,-8.466651916503906
rep50,Claude Sonnet 4.6,no_slip,018,0.0,-2.113170623779297,-2.113170623779297
rep50,Claude Sonnet 4.6,no_slip,019,0.0,-3.493175506591797,-3.493175506591797
rep50,Claude Sonnet 4.6,no_slip,020,-1.52587890625e-05,-2.7164840698242188,-2.7164688110351562
rep50,Claude Sonnet 4.6,no_slip,021,0.1357421875,-4.105583190917969,-4.241325378417969
rep50,Claude Sonnet 4.6,no_slip,022,-0.01666259765625,-7.176612854003906,-7.159950256347656
rep50,Claude Sonnet 4.6,no_slip,023,0.0,-4.346961975097656,-4.346961975097656
rep50,Claude Sonnet 4.6,no_slip,024,-0.12138175964355469,-3.4101905822753906,-3.288808822631836
rep50,Claude Sonnet 4.6,no_slip,025,-0.5275039672851562,-8.408592224121094,-7.8810882568359375
rep50,Claude Sonnet 4.6,no_slip,026,0.0,-19.925071716308594,-19.925071716308594
rep50,Claude Sonnet 4.6,no_slip,027,-0.0708160400390625,-7.777910232543945,-7.707094192504883
rep50,Claude Sonnet 4.6,no_slip,028,-0.5431041717529297,-7.811891555786133,-7.268787384033203
rep50,Claude Sonnet 4.6,no_slip,029,0.0,-2.739093780517578,-2.739093780517578
rep50,Claude Sonnet 4.6,no_slip,030,-0.9214420318603516,-5.213466644287109,-4.292024612426758
rep50,Claude Sonnet 4.6,no_slip,031,0.0,-7.339601516723633,-7.339601516723633
rep50,Claude Sonnet 4.6,no_slip,032,0.0,-1.094757080078125,-1.094757080078125
rep50,Claude Sonnet 4.6,no_slip,033,0.16680908203125,-3.05670166015625,-3.2235107421875
rep50,Claude Sonnet 4.6,no_slip,034,-0.16805648803710938,-3.607513427734375,-3.4394569396972656
rep50,Claude Sonnet 4.6,no_slip,035,0.0,-4.418554306030273,-4.418554306030273
rep50,Claude Sonnet 4.6,no_slip,036,0.008573532104492188,-0.15860748291015625,-0.16718101501464844
rep50,Claude Sonnet 4.6,no_slip,037,-1.1251373291015625,-10.361473083496094,-9.236335754394531
rep50,Claude Sonnet 4.6,no_slip,038,-0.06597900390625,-3.3852310180664062,-3.3192520141601562
rep50,Claude Sonnet 4.6,no_slip,039,0.0,-7.434549331665039,-7.434549331665039
rep50,Claude Sonnet 4.6,no_slip,040,0.0,-5.74797248840332,-5.74797248840332
rep50,Claude Sonnet 4.6,no_slip,041,0.0,-4.055267333984375,-4.055267333984375
rep50,Claude Sonnet 4.6,no_slip,042,0.11125946044921875,-2.152191162109375,-2.2634506225585938
rep50,Claude Sonnet 4.6,no_slip,043,-7.62939453125e-06,-3.1455345153808594,-3.145526885986328
rep50,Claude Sonnet 4.6,no_slip,044,0.0,-5.087837219238281,-5.087837219238281
rep50,Claude Sonnet 4.6,no_slip,045,0.024749755859375,-2.8234786987304688,-2.8482284545898438
rep50,Claude Sonnet 4.6,no_slip,046,0.0,-8.329967498779297,-8.329967498779297
rep50,Claude Sonnet 4.6,no_slip,047,0.0,-10.486995697021484,-10.486995697021484
rep50,Claude Sonnet 4.6,no_slip,048,0.0,-2.9037342071533203,-2.9037342071533203
rep50,Claude Sonnet 4.6,no_slip,049,-0.000152587890625,-8.628105163574219,-8.627952575683594
rep50,Claude Sonnet 4.6,no_slip,050,0.0,-11.695304870605469,-11.695304870605469
rep50,Claude Sonnet 4.6,no_forbid,001,0.237060546875,-4.743168592453003,-4.980229139328003
rep50,Claude Sonnet 4.6,no_forbid,002,0.16607666015625,-3.3380630016326904,-3.5041396617889404
rep50,Claude Sonnet 4.6,no_forbid,003,-1.52587890625e-05,-3.134526014328003,-3.1345107555389404
rep50,Claude Sonnet 4.6,no_forbid,004,0.0,-7.2280120849609375,-7.2280120849609375
rep50,Claude Sonnet 4.6,no_forbid,005,-0.00439453125,-6.2419891357421875,-6.2375946044921875
rep50,Claude Sonnet 4.6,no_forbid,006,0.0004425048828125,-5.45648193359375,-5.4569244384765625
rep50,Claude Sonnet 4.6,no_forbid,007,-0.0001220703125,-11.654718399047852,-11.654596328735352
rep50,Claude Sonnet 4.6,no_forbid,008,0.10141944885253906,-4.444711685180664,-4.546131134033203
rep50,Claude Sonnet 4.6,no_forbid,009,0.083984375,-4.933322906494141,-5.017307281494141
rep50,Claude Sonnet 4.6,no_forbid,010,0.0,-10.075138092041016,-10.075138092041016
rep50,Claude Sonnet 4.6,no_forbid,011,-7.62939453125e-06,-3.283937454223633,-3.2839298248291016
rep50,Claude Sonnet 4.6,no_forbid,012,0.10943603515625,-9.559200286865234,-9.668636322021484
rep50,Claude Sonnet 4.6,no_forbid,013,-0.038909912109375,-3.3845252990722656,-3.3456153869628906
rep50,Claude Sonnet 4.6,no_forbid,014,-0.283721923828125,-7.854701995849609,-7.570980072021484
rep50,Claude Sonnet 4.6,no_forbid,015,0.0,-10.643351554870605,-10.643351554870605
rep50,Claude Sonnet 4.6,no_forbid,016,0.0,-14.549540519714355,-14.549540519714355
rep50,Claude Sonnet 4.6,no_forbid,017,0.9766054153442383,-7.490046501159668,-8.466651916503906
rep50,Claude Sonnet 4.6,no_forbid,018,-0.03626441955566406,-2.149435043334961,-2.113170623779297
rep50,Claude Sonnet 4.6,no_forbid,019,-0.000457763671875,-3.493633270263672,-3.493175506591797
rep50,Claude Sonnet 4.6,no_forbid,020,-0.0010528564453125,-2.7175216674804688,-2.7164688110351562
rep50,Claude Sonnet 4.6,no_forbid,021,-0.17596435546875,-4.417289733886719,-4.241325378417969
rep50,Claude Sonnet 4.6,no_forbid,022,-0.01666259765625,-7.176612854003906,-7.159950256347656
rep50,Claude Sonnet 4.6,no_forbid,023,0.0,-4.346961975097656,-4.346961975097656
rep50,Claude Sonnet 4.6,no_forbid,024,0.0,-3.288808822631836,-3.288808822631836
rep50,Claude Sonnet 4.6,no_forbid,025,-0.5275039672851562,-8.408592224121094,-7.8810882568359375
rep50,Claude Sonnet 4.6,no_forbid,026,-0.02568817138671875,-19.950759887695312,-19.925071716308594
rep50,Claude Sonnet 4.6,no_forbid,027,0.0,-7.707094192504883,-7.707094192504883
rep50,Claude Sonnet 4.6,no_forbid,028,-0.5431041717529297,-7.811891555786133,-7.268787384033203
rep50,Claude Sonnet 4.6,no_forbid,029,0.0,-2.739093780517578,-2.739093780517578
rep50,Claude Sonnet 4.6,no_forbid,030,0.0,-4.292024612426758,-4.292024612426758
rep50,Claude Sonnet 4.6,no_forbid,031,0.004638671875,-7.334962844848633,-7.339601516723633
rep50,Claude Sonnet 4.6,no_forbid,032,0.0,-1.094757080078125,-1.094757080078125
rep50,Claude Sonnet 4.6,no_forbid,033,0.1668701171875,-3.056640625,-3.2235107421875
rep50,Claude Sonnet 4.6,no_forbid,034,-0.16799545288085938,-3.607452392578125,-3.4394569396972656
rep50,Claude Sonnet 4.6,no_forbid,035,0.0,-4.418554306030273,-4.418554306030273
rep50,Claude Sonnet 4.6,no_forbid,036,0.0,-0.16718101501464844,-0.16718101501464844
rep50,Claude Sonnet 4.6,no_forbid,037,0.1586761474609375,-9.077659606933594,-9.236335754394531
rep50,Claude Sonnet 4.6,no_forbid,038,-0.066650390625,-3.3859024047851562,-3.3192520141601562
rep50,Claude Sonnet 4.6,no_forbid,039,-0.0155029296875,-7.450052261352539,-7.434549331665039
rep50,Claude Sonnet 4.6,no_forbid,040,0.0,-5.74797248840332,-5.74797248840332
rep50,Claude Sonnet 4.6,no_forbid,041,0.0,-4.055267333984375,-4.055267333984375
rep50,Claude Sonnet 4.6,no_forbid,042,-0.011810302734375,-2.2752609252929688,-2.2634506225585938
rep50,Claude Sonnet 4.6,no_forbid,044,0.002349853515625,-5.085487365722656,-5.087837219238281
rep50,Claude Sonnet 4.6,no_forbid,045,0.0,-2.8482284545898438,-2.8482284545898438
rep50,Claude Sonnet 4.6,no_forbid,046,0.0,-8.329967498779297,-8.329967498779297
rep50,Claude Sonnet 4.6,no_forbid,047,0.0,-10.486995697021484,-10.486995697021484
rep50,Claude Sonnet 4.6,no_forbid,048,7.62939453125e-06,-2.903726577758789,-2.9037342071533203
rep50,Claude Sonnet 4.6,no_forbid,049,-0.000152587890625,-8.628105163574219,-8.627952575683594
rep50,Claude Sonnet 4.6,no_forbid,050,3.0517578125e-05,-11.695274353027344,-11.695304870605469
rep50,Claude Sonnet 4.6,no_termination,001,0.0,-4.980229139328003,-4.980229139328003
rep50,Claude Sonnet 4.6,no_termination,002,0.0,-3.5041396617889404,-3.5041396617889404
rep50,Claude Sonnet 4.6,no_termination,003,0.0,-3.1345107555389404,-3.1345107555389404
rep50,Claude Sonnet 4.6,no_termination,004,0.088409423828125,-7.1396026611328125,-7.2280120849609375
rep50,Claude Sonnet 4.6,no_termination,005,-0.004364013671875,-6.2419586181640625,-6.2375946044921875
rep50,Claude Sonnet 4.6,no_termination,006,-0.0179443359375,-5.4748687744140625,-5.4569244384765625
rep50,Claude Sonnet 4.6,no_termination,007,0.0,-11.654596328735352,-11.654596328735352
rep50,Claude Sonnet 4.6,no_termination,008,0.0,-4.546131134033203,-4.546131134033203
rep50,Claude Sonnet 4.6,no_termination,009,0.0,-5.017307281494141,-5.017307281494141
rep50,Claude Sonnet 4.6,no_termination,010,0.0,-10.075138092041016,-10.075138092041016
rep50,Claude Sonnet 4.6,no_termination,011,-7.62939453125e-06,-3.283937454223633,-3.2839298248291016
rep50,Claude Sonnet 4.6,no_termination,012,0.3121337890625,-9.356502532958984,-9.668636322021484
rep50,Claude Sonnet 4.6,no_termination,013,-0.03890228271484375,-3.3845176696777344,-3.3456153869628906
rep50,Claude Sonnet 4.6,no_termination,014,-0.283721923828125,-7.854701995849609,-7.570980072021484
rep50,Claude Sonnet 4.6,no_termination,015,0.0,-10.643351554870605,-10.643351554870605
rep50,Claude Sonnet 4.6,no_termination,016,0.0,-14.549540519714355,-14.549540519714355
rep50,Claude Sonnet 4.6,no_termination,017,0.9766206741333008,-7.4900312423706055,-8.466651916503906
rep50,Claude Sonnet 4.6,no_termination,018,0.0,-2.113170623779297,-2.113170623779297
rep50,Claude Sonnet 4.6,no_termination,019,0.0,-3.493175506591797,-3.493175506591797
rep50,Claude Sonnet 4.6,no_termination,020,-1.52587890625e-05,-2.7164840698242188,-2.7164688110351562
rep50,Claude Sonnet 4.6,no_termination,021,-0.00018310546875,-4.241508483886719,-4.241325378417969
rep50,Claude Sonnet 4.6,no_termination,022,-0.01666259765625,-7.176612854003906,-7.159950256347656
rep50,Claude Sonnet 4.6,no_termination,023,-2.7004833221435547,-7.047445297241211,-4.346961975097656
rep50,Claude Sonnet 4.6,no_termination,024,0.0,-3.288808822631836,-3.288808822631836
rep50,Claude Sonnet 4.6,no_termination,025,-0.9889907836914062,-8.870079040527344,-7.8810882568359375
rep50,Claude Sonnet 4.6,no_termination,026,0.0,-19.925071716308594,-19.925071716308594
rep50,Claude Sonnet 4.6,no_termination,027,0.0,-7.707094192504883,-7.707094192504883
rep50,Claude Sonnet 4.6,no_termination,028,-0.5431041717529297,-7.811891555786133,-7.268787384033203
rep50,Claude Sonnet 4.6,no_termination,029,0.0,-2.739093780517578,-2.739093780517578
rep50,Claude Sonnet 4.6,no_termination,030,0.015668869018554688,-4.276355743408203,-4.292024612426758
rep50,Claude Sonnet 4.6,no_termination,031,0.0,-7.339601516723633,-7.339601516723633
rep50,Claude Sonnet 4.6,no_termination,032,0.0,-1.094757080078125,-1.094757080078125
rep50,Claude Sonnet 4.6,no_termination,033,0.0,-3.2235107421875,-3.2235107421875
rep50,Claude Sonnet 4.6,no_termination,034,-0.16805648803710938,-3.607513427734375,-3.4394569396972656
rep50,Claude Sonnet 4.6,no_termination,035,0.036773681640625,-4.381780624389648,-4.418554306030273
rep50,Claude Sonnet 4.6,no_termination,036,0.001331329345703125,-0.1658496856689453,-0.16718101501464844
rep50,Claude Sonnet 4.6,no_termination,037,-1.1251373291015625,-10.361473083496094,-9.236335754394531
rep50,Claude Sonnet 4.6,no_termination,038,0.0,-3.3192520141601562,-3.3192520141601562
rep50,Claude Sonnet 4.6,no_termination,039,0.0,-7.434549331665039,-7.434549331665039
rep50,Claude Sonnet 4.6,no_termination,040,0.25135040283203125,-5.496622085571289,-5.74797248840332
rep50,Claude Sonnet 4.6,no_termination,041,0.099395751953125,-3.95587158203125,-4.055267333984375
rep50,Claude Sonnet 4.6,no_termination,042,0.11125946044921875,-2.152191162109375,-2.2634506225585938
rep50,Claude Sonnet 4.6,no_termination,043,-7.62939453125e-06,-3.1455345153808594,-3.145526885986328
rep50,Claude Sonnet 4.6,no_termination,044,0.0,-5.087837219238281,-5.087837219238281
rep50,Claude Sonnet 4.6,no_termination,045,0.0,-2.8482284545898438,-2.8482284545898438
rep50,Claude Sonnet 4.6,no_termination,046,0.0,-8.329967498779297,-8.329967498779297
rep50,Claude Sonnet 4.6,no_termination,047,0.0,-10.486995697021484,-10.486995697021484
rep50,Claude Sonnet 4.6,no_termination,048,7.62939453125e-06,-2.903726577758789,-2.9037342071533203
rep50,Claude Sonnet 4.6,no_termination,049,0.37860107421875,-8.249351501464844,-8.627952575683594
rep50,Claude Sonnet 4.6,no_termination,050,0.0,-11.695304870605469,-11.695304870605469
rep50,Gemini 2.5 Pro,no_slip,001,0.237060546875,-4.743168592453003,-4.980229139328003
rep50,Gemini 2.5 Pro,no_slip,002,0.0,-3.3380630016326904,-3.3380630016326904
rep50,Gemini 2.5 Pro,no_slip,003,0.0,-3.134342908859253,-3.134342908859253
rep50,Gemini 2.5 Pro,no_slip,004,0.1142578125,-7.1137542724609375,-7.2280120849609375
rep50,Gemini 2.5 Pro,no_slip,005,-0.00023651123046875,-6.1764984130859375,-6.176261901855469
rep50,Gemini 2.5 Pro,no_slip,006,0.7999191284179688,-4.651206970214844,-5.4511260986328125
rep50,Gemini 2.5 Pro,no_slip,007,-0.0001220703125,-11.654779434204102,-11.654657363891602
rep50,Gemini 2.5 Pro,no_slip,008,0.10143470764160156,-4.444711685180664,-4.546146392822266
rep50,Gemini 2.5 Pro,no_slip,009,0.017333984375,-4.933353424072266,-4.950687408447266
rep50,Gemini 2.5 Pro,no_slip,010,0.008310317993164062,-10.066949844360352,-10.075260162353516
rep50,Gemini 2.5 Pro,no_slip,011,7.62939453125e-06,-3.2839298248291016,-3.283937454223633
rep50,Gemini 2.5 Pro,no_slip,012,-0.000732421875,-9.671321868896484,-9.670589447021484
rep50,Gemini 2.5 Pro,no_slip,013,-7.62939453125e-06,-3.3845252990722656,-3.3845176696777344
rep50,Gemini 2.5 Pro,no_slip,014,-0.007049560546875,-7.724544525146484,-7.717494964599609
rep50,Gemini 2.5 Pro,no_slip,015,-0.03643798828125,-10.643351554870605,-10.606913566589355
rep50,Gemini 2.5 Pro,no_slip,016,0.29351806640625,-14.256022453308105,-14.549540519714355
rep50,Gemini 2.5 Pro,no_slip,017,-0.0002899169921875,-8.466667175292969,-8.466377258300781
rep50,Gemini 2.5 Pro,no_slip,018,-0.03623390197753906,-2.149404525756836,-2.113170623779297
rep50,Gemini 2.5 Pro,no_slip,019,-0.05619239807128906,-3.549367904663086,-3.493175506591797
rep50,Gemini 2.5 Pro,no_slip,020,9.1552734375e-05,-2.7164840698242188,-2.7165756225585938
rep50,Gemini 2.5 Pro,no_slip,021,1.52587890625e-05,-4.241477966308594,-4.241493225097656
rep50,Gemini 2.5 Pro,no_slip,022,0.0,-7.176612854003906,-7.176612854003906
rep50,Gemini 2.5 Pro,no_slip,023,0.0,-4.346961975097656,-4.346961975097656
rep50,Gemini 2.5 Pro,no_slip,024,0.028516769409179688,-3.2602920532226562,-3.288808822631836
rep50,Gemini 2.5 Pro,no_slip,025,0.088531494140625,-7.8788909912109375,-7.9674224853515625
