dataset,backend,backend_label,case_id,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,outcome_0p01eV,full_advantage_gt_0p05eV
OCD-GMAE rep50,claude,Claude Sonnet 4.6,001,single_shot,1-Shot,-4.980229139328003,-4.743168592453003,0.237060546875,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,002,single_shot,1-Shot,-3.5041396617889404,-3.5041396617889404,0.0,tie_with_full,False
OCD-GMAE rep50,claude,Claude Sonnet 4.6,003,single_shot,1-Shot,-3.1345107555389404,-3.134342908859253,0.0001678466796875,tie_with_full,False
OCD-GMAE rep50,claude,Claude Sonnet 4.6,004,single_shot,1-Shot,-7.2280120849609375,-7.2280120849609375,0.0,tie_with_full,False
OCD-GMAE rep50,claude,Claude Sonnet 4.6,005,single_shot,1-Shot,-6.2375946044921875,-6.176261901855469,0.06133270263671875,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,006,single_shot,1-Shot,-5.4569244384765625,-3.9466781616210938,1.5102462768554688,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,007,single_shot,1-Shot,-11.654596328735352,-6.983524322509766,4.671072006225586,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,009,single_shot,1-Shot,-5.017307281494141,-4.527713775634766,0.489593505859375,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,010,single_shot,1-Shot,-10.075138092041016,-9.262384414672852,0.8127536773681641,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,011,single_shot,1-Shot,-3.2839298248291016,-3.282930374145508,0.00099945068359375,tie_with_full,False
OCD-GMAE rep50,claude,Claude Sonnet 4.6,012,single_shot,1-Shot,-9.668636322021484,-9.34560775756836,0.323028564453125,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,015,single_shot,1-Shot,-10.643351554870605,-10.208537101745605,0.434814453125,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,016,single_shot,1-Shot,-14.549540519714355,-14.256022453308105,0.29351806640625,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,017,single_shot,1-Shot,-8.466651916503906,-7.173670768737793,1.2929811477661133,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,018,single_shot,1-Shot,-2.113170623779297,-2.030193328857422,0.082977294921875,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,019,single_shot,1-Shot,-3.493175506591797,-3.493175506591797,0.0,tie_with_full,False
OCD-GMAE rep50,claude,Claude Sonnet 4.6,020,single_shot,1-Shot,-2.7164688110351562,-2.7164840698242188,-1.52587890625e-05,tie_with_full,False
OCD-GMAE rep50,claude,Claude Sonnet 4.6,021,single_shot,1-Shot,-4.241325378417969,-4.241508483886719,-0.00018310546875,tie_with_full,False
OCD-GMAE rep50,claude,Claude Sonnet 4.6,022,single_shot,1-Shot,-7.159950256347656,-6.488563537597656,0.67138671875,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,023,single_shot,1-Shot,-4.346961975097656,-4.346961975097656,0.0,tie_with_full,False
OCD-GMAE rep50,claude,Claude Sonnet 4.6,024,single_shot,1-Shot,-3.288808822631836,-3.1458511352539062,0.1429576873779297,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,026,single_shot,1-Shot,-19.925071716308594,-19.317611694335938,0.6074600219726562,variant_higher_less_stable,True
OCD-GMAE rep50,claude,Claude Sonnet 4.6,027,single_shot,1-Shot,-7.707094192504883,-7.707033157348633,6.103515625e-05,tie_with_full,False
OCD-GMAE rep50,claude,Claude Sonnet 4.6,028,single_shot,1-Shot,-7.268787384033203,-7.268787384033203,0.0,tie_with_full,False
OCD-GMAE rep50,claude,Claude Sonnet 4.6,029,single_shot,1-Shot,-2.739093780517578,-2.729450225830078,0.0096435546875,tie_with_full,False
OCD-GMAE rep50,claude,Claude Sonnet 4.6,030,single_shot,1-Shot,-4.292024612426758,-4.276355743408203,0.015668869018554688,variant_higher_less_stable,False
