case_id,variant,available_backend_count,failed_backend_count,best_energy,best_backend,delta_vs_full_best,failed_backends
01,full,4,0,-3.6317179203033447,gemini,0.0,
01,no_slip,4,0,-3.6317179203033447,gemini,0.0,
01,no_forbid,4,0,-3.6317179203033447,gemini,0.0,
01,no_termination,4,0,-3.6317179203033447,gemini,0.0,
01,single_shot,4,0,-3.6311686038970947,gemini,0.00054931640625,
02,full,4,0,-4.769039154052734,claude,0.0,
02,no_slip,4,0,-4.769039154052734,claude,0.0,
02,no_forbid,4,0,-4.769039154052734,claude,0.0,
02,no_termination,4,0,-4.769039154052734,claude,0.0,
02,single_shot,4,0,-4.765958786010742,gemini,0.0030803680419921875,
03,full,4,0,-3.351963758468628,claude,0.0,
03,no_slip,4,0,-3.351963758468628,claude,0.0,
03,no_forbid,4,0,-3.351963758468628,claude,0.0,
03,no_termination,4,0,-3.351963758468628,claude,0.0,
03,single_shot,4,0,-3.351963758468628,claude,0.0,
04,full,4,0,-2.2848472595214844,claude,0.0,
04,no_slip,4,0,-2.2833213806152344,claude,0.00152587890625,
04,no_forbid,4,0,-2.2851524353027344,claude,-0.00030517578125,
04,no_termination,4,0,-2.2549095153808594,gpt54,0.029937744140625,
04,single_shot,4,0,-2.2427330017089844,gpt54,0.0421142578125,
05,full,4,0,-2.961643934249878,claude,0.0,
05,no_slip,4,0,-2.961643934249878,gemini,0.0,
05,no_forbid,4,0,-2.961643934249878,claude,0.0,
05,no_termination,4,0,-2.961643934249878,claude,0.0,
05,single_shot,4,0,-2.961643934249878,claude,0.0,
06,full,4,0,-2.1646385192871094,gemini,0.0,
06,no_slip,4,0,-2.164623260498047,claude,1.52587890625e-05,
06,no_forbid,4,0,-1.9020652770996094,grok4,0.2625732421875,
06,no_termination,4,0,-2.1646080017089844,claude,3.0517578125e-05,
06,single_shot,0,4,,,,"gemini,grok4,gpt54,claude"
07,full,4,0,-7.051090955734253,claude,0.0,
07,no_slip,4,0,-7.051090955734253,claude,0.0,
07,no_forbid,4,0,-7.051090955734253,claude,0.0,
07,no_termination,4,0,-7.051090955734253,claude,0.0,
07,single_shot,4,0,-6.883122205734253,claude,0.16796875,
08,full,4,0,-7.190608978271484,gpt54,0.0,
08,no_slip,4,0,-7.190670013427734,gpt54,-6.103515625e-05,
08,no_forbid,4,0,-7.190670013427734,gpt54,-6.103515625e-05,
08,no_termination,4,0,-7.190670013427734,claude,-6.103515625e-05,
08,single_shot,1,3,-6.414363861083984,gemini,0.7762451171875,"grok4,gpt54,claude"
09,full,4,0,-1.9912567138671875,claude,0.0,
09,no_slip,4,0,-1.9912567138671875,claude,0.0,
09,no_forbid,4,0,-1.9912567138671875,claude,0.0,
09,no_termination,4,0,-1.9912567138671875,claude,0.0,
09,single_shot,4,0,-1.9912567138671875,gpt54,0.0,
10,full,4,0,-2.7176666259765625,claude,0.0,
