rank,case_id,slab_file,smiles,adsorbate_name,surface_family,reaction_class,backend_count,available_backend_count,min_energy_eV,max_energy_eV,range_eV,gemini_status,gemini_energy_eV,grok_status,grok_energy_eV,gpt54_status,gpt54_energy_eV,claude_status,claude_energy_eV
1,20,benchmark_slabs/20_Bi2Ti6_211.xyz,CN(C)N=O,ONN(CH3)2,intermetallic,COMPLEX,4,4,-11.652278900146484,-10.602500915527344,1.0497779846191406,success,-10.604454040527344,success,-10.602500915527344,success,-11.652278900146484,success,-11.652278900146484
2,10,benchmark_slabs/10_Pt_100.xyz,[OH],OH,monometallic,ORR,4,4,-2.7176666259765625,-2.1220951080322266,0.5955715179443359,success,-2.1220951080322266,success,-2.712350845336914,success,-2.7176666259765625,success,-2.7095260620117188
3,04,benchmark_slabs/04_Pd3Cu_111.xyz,[N]=[NH],NNH,intermetallic,NRR,4,4,-2.2427330017089844,-1.6579418182373047,0.5847911834716797,success,-1.6579418182373047,success,-1.6579418182373047,success,-2.2427330017089844,success,-1.8452110290527344
4,12,benchmark_slabs/12_Au_111.xyz,[OH],OH,monometallic,ORR,4,4,-2.0813217163085938,-1.6070194244384766,0.4743022918701172,success,-1.6070194244384766,success,-2.080881118774414,success,-2.0813217163085938,success,-2.0813217163085938
5,13,benchmark_slabs/13_Ag_100.xyz,[OH],OH,monometallic,ORR,4,4,-2.8251419067382812,-2.376436233520508,0.44870567321777344,success,-2.376436233520508,success,-2.376443862915039,success,-2.8078689575195312,success,-2.8251419067382812
6,15,benchmark_slabs/15_Cu6Ga2_100.xyz,[CH2]CO,CH2CH2OH,intermetallic,COMPLEX,4,4,-2.9636917114257812,-2.5872459411621094,0.3764457702636719,success,-2.888652801513672,success,-2.5872459411621094,success,-2.9636917114257812,success,-2.767475128173828
7,17,benchmark_slabs/17_Rh2Ti2_111.xyz,CC=O,OCHCH3,intermetallic,COMPLEX,4,4,-3.0664215087890625,-2.692474365234375,0.3739471435546875,success,-2.7732162475585938,success,-3.0664215087890625,success,-2.692474365234375,success,-2.692474365234375
8,16,benchmark_slabs/16_Au2Hf_102.xyz,[CH2]CO,CH2CH2OH,intermetallic,COMPLEX,4,4,-4.662910461425781,-4.537578582763672,0.12533187866210938,success,-4.537578582763672,success,-4.551860809326172,success,-4.662910461425781,success,-4.662910461425781
9,05,benchmark_slabs/05_Cu3Ag_111.xyz,[H],H,intermetallic,HER,4,4,-2.961643934249878,-2.8426101207733154,0.1190338134765625,success,-2.9469187259674072,success,-2.9469187259674072,success,-2.8426101207733154,success,-2.961643934249878
10,18,benchmark_slabs/18_Al3Zr_101.xyz,CC=O,OCHCH3,intermetallic,COMPLEX,4,4,-2.5189666748046875,-2.4179840087890625,0.100982666015625,success,-2.4180145263671875,success,-2.4179840087890625,success,-2.5189666748046875,success,-2.5189666748046875
11,11,benchmark_slabs/11_Pd_111.xyz,[OH],OH,monometallic,ORR,4,4,-2.4184722900390625,-2.3786563873291016,0.03981590270996094,success,-2.3786563873291016,success,-2.3883914947509766,success,-2.4184722900390625,success,-2.4184722900390625
12,07,benchmark_slabs/07_Ru3Mo_111.xyz,[H],H,intermetallic,HER,4,4,-6.922611474990845,-6.883122205734253,0.0394892692565918,success,-6.922611474990845,success,-6.922611474990845,success,-6.883122205734253,success,-6.883122205734253
13,03,benchmark_slabs/03_Pd3Cu_111.xyz,[H],H,intermetallic,HER,4,4,-3.351963758468628,-3.3467142581939697,0.005249500274658203,success,-3.3467447757720947,success,-3.3467142581939697,success,-3.351963758468628,success,-3.351963758468628
