backend,case_id,surface_family,full_success,one_shot_success,full_energy,one_shot_energy,delta_one_shot_minus_full_eV
gpt54,001,intermetallic,True,True,-4.743168592453003,-4.743199110031128,-3.0517578125e-05
gpt54,002,intermetallic,True,True,-3.5041396617889404,-3.5041396617889404,0.0
gpt54,003,intermetallic,True,True,-3.134526014328003,-3.134526014328003,0.0
gpt54,004,intermetallic,True,False,-7.2280120849609375,,
gpt54,005,intermetallic,True,True,-6.176261901855469,-6.176261901855469,0.0
gpt54,006,intermetallic,True,True,-5.4748687744140625,-3.94049072265625,1.5343780517578125
gpt54,007,intermetallic,True,True,-11.658075332641602,-11.659784317016602,-0.001708984375
gpt54,008,intermetallic,True,True,-4.546131134033203,-4.444726943969727,0.10140419006347656
gpt54,009,intermetallic,True,True,-4.700778961181641,-3.9963321685791016,0.7044467926025391
gpt54,010,intermetallic,True,True,-10.075138092041016,-9.262384414672852,0.8127536773681641
gpt54,011,intermetallic,True,True,-3.283937454223633,-3.282930374145508,0.001007080078125
gpt54,012,intermetallic,True,True,-9.668575286865234,-9.35494613647461,0.313629150390625
gpt54,013,intermetallic,True,True,-3.3845252990722656,-3.345600128173828,0.0389251708984375
gpt54,014,intermetallic,True,False,-7.854701995849609,,
gpt54,015,intermetallic,True,True,-10.643351554870605,-9.681571960449219,0.9617795944213867
gpt54,016,intermetallic,True,True,-14.549540519714355,-14.256022453308105,0.29351806640625
gpt54,017,intermetallic,True,True,-7.4804487228393555,-8.466667175292969,-0.9862184524536133
gpt54,018,intermetallic,True,True,-2.113170623779297,-2.113170623779297,0.0
gpt54,019,intermetallic,True,True,-3.493144989013672,-3.549367904663086,-0.05622291564941406
gpt54,020,intermetallic,True,True,-2.7164840698242188,-1.2141952514648438,1.502288818359375
gpt54,021,intermetallic,True,True,-4.417228698730469,-4.241462707519531,0.1757659912109375
gpt54,022,intermetallic,True,True,-7.176612854003906,-6.123451232910156,1.05316162109375
gpt54,023,intermetallic,True,True,-4.346961975097656,-4.346961975097656,0.0
gpt54,024,intermetallic,True,True,-3.2887935638427734,-3.1149044036865234,0.17388916015625
gpt54,025,intermetallic,True,False,-7.9674224853515625,,
gpt54,026,intermetallic,True,True,-19.716903686523438,-19.717514038085938,-0.0006103515625
gpt54,027,compound,True,True,-7.707094192504883,-7.707033157348633,6.103515625e-05
gpt54,028,intermetallic,True,True,-7.268848419189453,-7.790712356567383,-0.5218639373779297
gpt54,029,intermetallic,True,True,-2.721467971801758,-2.719514846801758,0.001953125
gpt54,030,compound,True,True,-4.292024612426758,-4.292024612426758,0.0
gpt54,031,intermetallic,True,False,-7.339723587036133,,
gpt54,032,compound,True,False,-1.094757080078125,,
gpt54,033,intermetallic,True,True,-3.056640625,-2.7376708984375,0.3189697265625
gpt54,034,intermetallic,True,True,-3.6074676513671875,-3.4162750244140625,0.191192626953125
gpt54,035,compound,True,True,-4.418554306030273,-4.418554306030273,0.0
gpt54,036,intermetallic,True,True,-0.16718101501464844,-0.16718101501464844,0.0
gpt54,037,intermetallic,True,True,-10.361473083496094,-8.988121032714844,1.37335205078125
gpt54,038,intermetallic,True,True,-3.3192520141601562,-3.2947616577148438,0.0244903564453125
gpt54,039,compound,True,True,-7.434549331665039,-7.24180793762207,0.19274139404296875
gpt54,040,compound,True,True,-5.455301284790039,-5.74797248840332,-0.29267120361328125
gpt54,041,intermetallic,True,True,-4.019645690917969,-2.727874755859375,1.2917709350585938
gpt54,042,intermetallic,True,True,-2.4862289428710938,-1.8181324005126953,0.6680965423583984
gpt54,043,monometallic,False,False,,,
gpt54,044,intermetallic,True,True,-5.068367004394531,-4.688911437988281,0.37945556640625
gpt54,045,intermetallic,True,True,-2.8482284545898438,-2.8482284545898438,0.0
gpt54,046,compound,True,True,-8.329936981201172,-7.671304702758789,0.6586322784423828
gpt54,047,compound,True,True,-10.486995697021484,-10.415063858032227,0.07193183898925781
gpt54,048,intermetallic,True,True,-2.903726577758789,-2.903726577758789,0.0
gpt54,049,compound,True,True,-8.249351501464844,-7.621452331542969,0.627899169921875
gpt54,050,compound,True,True,-11.695274353027344,-11.695274353027344,0.0
claude,001,intermetallic,True,True,-4.980229139328003,-4.743168592453003,0.237060546875
claude,002,intermetallic,True,True,-3.5041396617889404,-3.5041396617889404,0.0
claude,003,intermetallic,True,True,-3.1345107555389404,-3.134342908859253,0.0001678466796875
claude,004,intermetallic,True,True,-7.2280120849609375,-7.2280120849609375,0.0
claude,005,intermetallic,True,True,-6.2375946044921875,-6.176261901855469,0.06133270263671875
claude,006,intermetallic,True,True,-5.4569244384765625,-3.9466781616210938,1.5102462768554688
claude,007,intermetallic,True,True,-11.654596328735352,-6.983524322509766,4.671072006225586
claude,008,intermetallic,True,False,-4.546131134033203,,
claude,009,intermetallic,True,True,-5.017307281494141,-4.527713775634766,0.489593505859375
claude,010,intermetallic,True,True,-10.075138092041016,-9.262384414672852,0.8127536773681641
claude,011,intermetallic,True,True,-3.2839298248291016,-3.282930374145508,0.00099945068359375
claude,012,intermetallic,True,True,-9.668636322021484,-9.34560775756836,0.323028564453125
claude,013,intermetallic,True,False,-3.3456153869628906,,
claude,014,intermetallic,True,False,-7.570980072021484,,
claude,015,intermetallic,True,True,-10.643351554870605,-10.208537101745605,0.434814453125
claude,016,intermetallic,True,True,-14.549540519714355,-14.256022453308105,0.29351806640625
claude,017,intermetallic,True,True,-8.466651916503906,-7.173670768737793,1.2929811477661133
claude,018,intermetallic,True,True,-2.113170623779297,-2.030193328857422,0.082977294921875
claude,019,intermetallic,True,True,-3.493175506591797,-3.493175506591797,0.0
claude,020,intermetallic,True,True,-2.7164688110351562,-2.7164840698242188,-1.52587890625e-05
claude,021,intermetallic,True,True,-4.241325378417969,-4.241508483886719,-0.00018310546875
claude,022,intermetallic,True,True,-7.159950256347656,-6.488563537597656,0.67138671875
claude,023,intermetallic,True,True,-4.346961975097656,-4.346961975097656,0.0
claude,024,intermetallic,True,True,-3.288808822631836,-3.1458511352539062,0.1429576873779297
claude,025,intermetallic,True,False,-7.8810882568359375,,
claude,026,intermetallic,True,True,-19.925071716308594,-19.317611694335938,0.6074600219726562
claude,027,compound,True,True,-7.707094192504883,-7.707033157348633,6.103515625e-05
