path,success,failure_class,error,calc_failure_count,dissociation_count
no_slip/001/result.json,True,,,0,0
no_slip/002/result.json,True,,,0,0
no_slip/003/result.json,True,,,0,0
no_slip/004/result.json,True,,,0,0
no_slip/005/result.json,True,,,0,0
no_slip/006/result.json,True,,,0,0
no_slip/007/result.json,True,,,0,0
no_slip/008/result.json,False,external_api_or_service,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",0,0
no_slip/009/result.json,True,,,0,0
no_slip/010/result.json,False,external_api_or_service,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",0,0
no_slip/011/result.json,False,external_api_or_service,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",0,0
no_slip/012/result.json,False,external_api_or_service,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",0,0
no_slip/013/result.json,False,external_api_or_service,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",0,0
no_slip/014/result.json,False,external_api_or_service,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",0,0
no_slip/015/result.json,False,external_api_or_service,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",0,0
no_slip/016/result.json,True,,,0,0
no_slip/017/result.json,False,external_api_or_service,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",0,0
no_slip/018/result.json,False,external_api_or_service,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",0,0
no_slip/019/result.json,True,,,0,0
no_slip/020/result.json,True,,,0,0
no_slip/021/result.json,False,external_api_or_service,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",0,0
no_slip/022/result.json,False,external_api_or_service,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",0,0
no_slip/023/result.json,False,external_api_or_service,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",0,0
no_slip/024/result.json,True,,,0,0
no_slip/025/result.json,True,,,0,2
no_slip/026/result.json,True,,,1,0
no_slip/027/result.json,True,,,0,0
no_slip/028/result.json,True,,,0,1
no_slip/029/result.json,True,,,0,1
no_slip/030/result.json,True,,,0,1
no_slip/031/result.json,True,,,0,2
no_slip/032/result.json,True,,,0,2
no_slip/033/result.json,True,,,0,0
no_slip/034/result.json,True,,,0,0
no_slip/035/result.json,True,,,0,0
no_slip/036/result.json,True,,,0,1
no_slip/037/result.json,True,,,0,1
no_slip/038/result.json,True,,,0,1
no_slip/039/result.json,True,,,0,0
no_slip/040/result.json,True,,,0,0
no_slip/041/result.json,True,,,0,1
no_slip/042/result.json,True,,,0,0
