case_id,backend,surface_family,success,best_energy,iterations,slip_count,dissociation_count,failure_class,error
001,gpt54,intermetallic,True,-4.743199110031128,1,1,0,,
002,gpt54,intermetallic,True,-3.5041396617889404,1,1,0,,
003,gpt54,intermetallic,True,-3.134526014328003,1,1,0,,
004,gpt54,intermetallic,False,,1,1,1,natural_dissociation_or_reaction,
005,gpt54,intermetallic,True,-6.176261901855469,1,1,0,,
006,gpt54,intermetallic,True,-3.94049072265625,1,0,0,,
007,gpt54,intermetallic,True,-11.659784317016602,1,1,0,,
008,gpt54,intermetallic,True,-4.444726943969727,1,1,0,,
009,gpt54,intermetallic,True,-3.9963321685791016,1,1,0,,
010,gpt54,intermetallic,True,-9.262384414672852,1,0,0,,
011,gpt54,intermetallic,True,-3.282930374145508,1,1,0,,
012,gpt54,intermetallic,True,-9.35494613647461,1,1,0,,
013,gpt54,intermetallic,True,-3.345600128173828,1,1,0,,
014,gpt54,intermetallic,False,,1,1,1,natural_dissociation_or_reaction,
015,gpt54,intermetallic,True,-9.681571960449219,1,1,0,,
016,gpt54,intermetallic,True,-14.256022453308105,1,1,0,,
017,gpt54,intermetallic,True,-8.466667175292969,1,1,0,,
018,gpt54,intermetallic,True,-2.113170623779297,1,0,0,,
019,gpt54,intermetallic,True,-3.549367904663086,1,1,0,,
020,gpt54,intermetallic,True,-1.2141952514648438,1,0,0,,
021,gpt54,intermetallic,True,-4.241462707519531,1,1,0,,
022,gpt54,intermetallic,True,-6.123451232910156,1,1,0,,
023,gpt54,intermetallic,True,-4.346961975097656,1,1,0,,
024,gpt54,intermetallic,True,-3.1149044036865234,1,1,0,,
025,gpt54,intermetallic,False,,1,1,1,natural_dissociation_or_reaction,
026,gpt54,intermetallic,True,-19.717514038085938,1,0,0,,
027,gpt54,compound,True,-7.707033157348633,1,1,0,,
028,gpt54,intermetallic,True,-7.790712356567383,1,1,0,,
029,gpt54,intermetallic,True,-2.719514846801758,1,1,0,,
030,gpt54,compound,True,-4.292024612426758,1,1,0,,
031,gpt54,intermetallic,False,,1,1,1,natural_dissociation_or_reaction,
032,gpt54,compound,False,,1,1,1,natural_dissociation_or_reaction,
033,gpt54,intermetallic,True,-2.7376708984375,1,1,0,,
034,gpt54,intermetallic,True,-3.4162750244140625,1,0,0,,
035,gpt54,compound,True,-4.418554306030273,1,0,0,,
036,gpt54,intermetallic,True,-0.16718101501464844,1,0,0,,
037,gpt54,intermetallic,True,-8.988121032714844,1,1,0,,
038,gpt54,intermetallic,True,-3.2947616577148438,1,1,0,,
039,gpt54,compound,True,-7.24180793762207,1,0,0,,
040,gpt54,compound,True,-5.74797248840332,1,1,0,,
041,gpt54,intermetallic,True,-2.727874755859375,1,1,0,,
042,gpt54,intermetallic,True,-1.8181324005126953,1,1,0,,
043,gpt54,monometallic,False,,1,1,1,natural_dissociation_or_reaction,
044,gpt54,intermetallic,True,-4.688911437988281,1,1,0,,
045,gpt54,intermetallic,True,-2.8482284545898438,1,0,0,,
046,gpt54,compound,True,-7.671304702758789,1,0,0,,
047,gpt54,compound,True,-10.415063858032227,1,0,0,,
048,gpt54,intermetallic,True,-2.903726577758789,1,1,0,,
049,gpt54,compound,True,-7.621452331542969,1,1,0,,
050,gpt54,compound,True,-11.695274353027344,1,0,0,,
001,claude,intermetallic,True,-4.743168592453003,1,1,0,,
002,claude,intermetallic,True,-3.5041396617889404,1,1,0,,
003,claude,intermetallic,True,-3.134342908859253,1,0,0,,
004,claude,intermetallic,True,-7.2280120849609375,1,1,0,,
005,claude,intermetallic,True,-6.176261901855469,1,1,0,,
006,claude,intermetallic,True,-3.9466781616210938,1,1,0,,
007,claude,intermetallic,True,-6.983524322509766,1,1,0,,
008,claude,intermetallic,False,,1,1,1,natural_dissociation_or_reaction,
009,claude,intermetallic,True,-4.527713775634766,1,1,0,,
010,claude,intermetallic,True,-9.262384414672852,1,0,0,,
011,claude,intermetallic,True,-3.282930374145508,1,1,0,,
012,claude,intermetallic,True,-9.34560775756836,1,1,0,,
013,claude,intermetallic,False,,1,1,1,natural_dissociation_or_reaction,
014,claude,intermetallic,False,,1,1,1,natural_dissociation_or_reaction,
015,claude,intermetallic,True,-10.208537101745605,1,1,0,,
016,claude,intermetallic,True,-14.256022453308105,1,1,0,,
017,claude,intermetallic,True,-7.173670768737793,1,0,0,,
018,claude,intermetallic,True,-2.030193328857422,1,0,0,,
