dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
CMU20,01,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-3.6317179203033447,-3.6311686038970947,0.000549316,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,02,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-4.765958786010742,-4.765958786010742,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,03,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-3.351963758468628,-3.351963758468628,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,04,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-2.0603294372558594,-1.6579418182373047,0.402387619,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,05,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-2.961643934249878,-2.9469187259674072,0.014725208,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,07,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-7.051090955734253,-6.883122205734253,0.167968750,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,08,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-6.414363861083984,-6.414363861083984,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,09,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-1.9739322662353516,-1.8013858795166016,0.172546387,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,10,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-2.7176666259765625,-2.1220951080322266,0.595571518,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,11,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-2.3885955810546875,-2.3813095092773438,0.007286072,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,12,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-2.3513641357421875,-1.6070194244384766,0.744344711,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
