case_id,surface,adsorbate,family,reaction_class,heuristic_best_energy,heuristic_n_sites,heuristic_successful,heuristic_failed,heuristic_source,adsmind_best4_full,delta_heuristic_minus_adsmind_best4,outcome_vs_best4_0p01,gpt54_full,delta_heuristic_minus_gpt54,outcome_vs_gpt54_0p01,gemini_full,grok4_full,claude_full,random_best_n20,delta_heuristic_minus_random,outcome_vs_random_0p01
01,Mo3Pd(111),[H],intermetallic,HER,-3.637272596359253,69,69,0,legacy_cmu15,-3.6317179203033447,-0.005554676055908203,tie,-3.627323865890503,-0.00994873046875,tie,-3.6317179203033447,-3.6317179203033447,-3.630131483078003,-3.631718397140503,-0.00555419921875,tie
02,Mo3Pd(111),[N]=[NH],intermetallic,NRR,-4.776639938354492,69,69,0,legacy_cmu15,-4.769039154052734,-0.0076007843017578125,tie,-4.769039154052734,-0.0076007843017578125,tie,-4.765958786010742,-4.765958786010742,-4.769039154052734,-4.761686325073242,-0.01495361328125,heuristic_lower
03,CuPd3(111),[H],intermetallic,HER,-3.349552869796753,56,56,0,extra5_20260425,-3.351963758468628,0.002410888671875,tie,-3.351963758468628,0.002410888671875,tie,-3.351963758468628,-3.351963758468628,-3.351963758468628,-3.323246717453003,-0.02630615234375,heuristic_lower
04,CuPd3(111),[N]=[NH],intermetallic,NRR,-3.470273971557617,56,56,0,legacy_cmu15,-2.2848472595214844,-1.1854267120361328,heuristic_lower,-2.2549095153808594,-1.2153644561767578,heuristic_lower,-2.0603294372558594,-2.2549095153808594,-2.2848472595214844,-3.293546676635742,-0.176727294921875,heuristic_lower
05,Cu3Ag(111),[H],intermetallic,HER,-2.966923475265503,59,59,0,legacy_cmu15,-2.961643934249878,-0.005279541015625,tie,-2.961643934249878,-0.005279541015625,tie,-2.961643934249878,-2.9616286754608154,-2.961643934249878,-2.965336561203003,-0.0015869140625,tie
06,Cu3Ag(111),[N]=[NH],intermetallic,NRR,-2.167753219604492,59,59,0,extra5_20260425,-2.1646385192871094,-0.0031147003173828125,tie,-2.164623260498047,-0.0031299591064453125,tie,-2.1646385192871094,-1.8745841979980469,-1.8745841979980469,-2.678739547729492,0.510986328125,random_lower
07,Ru3Mo(111),[H],intermetallic,HER,-7.051396131515503,84,81,3,extra5_20260425,-7.051090955734253,-0.00030517578125,tie,-7.030705213546753,-0.02069091796875,heuristic_lower,-7.051090955734253,-7.051090955734253,-7.051090955734253,-7.041508436203003,-0.0098876953125,tie
08,Ru3Mo(111),[N]=[NH],intermetallic,NRR,-9.209440231323242,84,73,11,extra5_20260425,-7.190608978271484,-2.018831253051758,heuristic_lower,-7.190608978271484,-2.018831253051758,heuristic_lower,-6.414363861083984,-6.414363861083984,-6.869441986083984,-7.188383102416992,-2.02105712890625,heuristic_lower
09,Pt(111),[OH],monometallic,ORR,-1.9934635162353516,46,46,0,legacy_cmu15,-1.9912567138671875,-0.0022068023681640625,tie,-1.9912567138671875,-0.0022068023681640625,tie,-1.9739322662353516,-1.9739322662353516,-1.9912567138671875,-1.9895267486572266,-0.003936767578125,tie
10,Pt(100),[OH],monometallic,ORR,-2.7206058502197266,25,25,0,legacy_cmu15,-2.7176666259765625,-0.0029392242431640625,tie,-2.7095260620117188,-0.011079788208007812,heuristic_lower,-2.7176666259765625,-2.7176666259765625,-2.7176666259765625,-2.7149600982666016,-0.005645751953125,tie
11,Pd(111),[OH],monometallic,ORR,-2.6359806060791016,46,46,0,extra5_20260425,-2.4184722900390625,-0.21750831604003906,heuristic_lower,-2.3813095092773438,-0.2546710968017578,heuristic_lower,-2.3885955810546875,-2.4184722900390625,-2.4184722900390625,-2.4397830963134766,-0.196197509765625,heuristic_lower
12,Au(111),[OH],monometallic,ORR,-2.360696792602539,47,44,3,legacy_cmu15,-2.3513641357421875,-0.009332656860351562,tie,-2.0813217163085938,-0.2793750762939453,heuristic_lower,-2.3513641357421875,-2.3513641357421875,-2.3513641357421875,-2.3599796295166016,-0.0007171630859375,tie
13,Ag(100),[OH],monometallic,ORR,-2.827669143676758,37,37,0,legacy_cmu15,-2.8251419067382812,-0.0025272369384765625,tie,-2.8251419067382812,-0.0025272369384765625,tie,-2.8251419067382812,-2.8251419067382812,-2.8251419067382812,-2.8251514434814453,-0.0025177001953125,tie
14,CoPt(111),[OH],intermetallic,ORR,-3.6134281158447266,79,79,0,legacy_cmu15,-3.6166324615478516,0.003204345703125,tie,-3.5911407470703125,-0.022287368774414062,heuristic_lower,-3.6166324615478516,-3.6166324615478516,-3.5796432495117188,-3.6227664947509766,0.00933837890625,tie
15,Cu6Ga2(100),[CH2]CO,intermetallic,COMPLEX,-3.225940704345703,34,34,0,legacy_cmu15,-3.257709503173828,0.031768798828125,adsmind_lower,-3.257709503173828,0.031768798828125,adsmind_lower,-3.257709503173828,-3.257709503173828,-3.257678985595703,-3.001087188720703,-0.224853515625,heuristic_lower
