case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used,source
001,full,-4.743168592453003,0.0,2,0,0.0,True,2,0,15342,extra14
001,no_slip,-4.741734266281128,0.001434326171875,4,0,0.0,True,1,0,25313,extra14
001,no_forbid,-4.743168592453003,0.0,3,0,0.0,True,1,0,20331,extra14
001,no_termination,-4.743168592453003,0.0,5,0,0.0,True,2,0,26181,extra14
001,single_shot,-4.743168592453003,0.0,1,0,0.0,True,1,0,4315,extra14
002,full,-7.2280120849609375,0.0,5,0,0.0,True,4,1,31040,extra14
002,no_slip,-7.2280120849609375,0.0,5,0,0.0,True,4,1,27221,extra14
002,no_forbid,-7.2280120849609375,0.0,5,0,0.0,True,4,0,27935,extra14
002,no_termination,-7.2280120849609375,0.0,5,0,0.0,True,4,1,28942,extra14
002,single_shot,,,1,0,0.0,False,1,1,4767,extra14
003,full,-11.669610977172852,0.0,3,0,0.0,True,3,0,22371,locked10
003,no_slip,-11.654779434204102,0.01483154296875,4,0,0.0,True,4,0,26492,locked10
003,no_forbid,-11.654779434204102,0.01483154296875,3,0,0.0,True,3,0,22277,locked10
003,no_termination,-11.654779434204102,0.01483154296875,4,0,0.0,True,4,0,48692,locked10
003,single_shot,-11.657953262329102,0.01165771484375,1,0,0.0,True,1,0,5054,locked10
004,full,-11.384456634521484,0.0,5,0,0.0,True,5,1,32637,locked10
004,no_slip,-11.384395599365234,6.103515625e-05,5,0,0.0,True,4,0,29214,locked10
004,no_forbid,-10.396541595458984,0.9879150390625,3,0,0.0,True,3,0,23684,locked10
004,no_termination,-11.384395599365234,6.103515625e-05,5,0,0.0,True,5,2,31758,locked10
004,single_shot,-8.813106536865234,2.57135009765625,1,0,0.0,True,1,0,5317,locked10
005,full,-10.643351554870605,0.0,5,0,0.0,True,4,0,29393,locked10
005,no_slip,-10.643351554870605,0.0,5,0,0.0,True,4,0,26536,locked10
005,no_forbid,-10.643351554870605,0.0,5,0,0.0,True,4,0,29085,locked10
005,no_termination,-10.643351554870605,0.0,5,0,0.0,True,4,0,27782,locked10
005,single_shot,-10.011088371276855,0.63226318359375,1,0,0.0,True,1,0,5139,locked10
006,full,-7.403881072998047,0.0,5,0,0.0,True,3,1,26076,extra14
006,no_slip,-7.403881072998047,0.0,5,0,0.0,True,3,1,24368,extra14
006,no_forbid,-7.403881072998047,0.0,5,0,0.0,True,3,1,25097,extra14
006,no_termination,-7.403881072998047,0.0,5,0,0.0,True,3,1,24813,extra14
006,single_shot,-7.403881072998047,0.0,1,0,0.0,True,0,0,4274,extra14
007,full,-10.713539123535156,0.0,4,0,0.0,True,1,0,26388,extra14
007,no_slip,-10.710975646972656,0.0025634765625,4,0,0.0,True,1,0,25429,extra14
007,no_forbid,-10.713539123535156,0.0,4,0,0.0,True,1,0,25920,extra14
007,no_termination,-10.710975646972656,0.0025634765625,5,0,0.0,True,1,0,24781,extra14
007,single_shot,-10.710975646972656,0.0025634765625,1,0,0.0,True,0,0,4318,extra14
008,full,-4.346961975097656,0.0,5,0,0.0,True,5,4,32683,extra14
008,no_slip,-4.346961975097656,0.0,5,0,0.0,True,4,4,29382,extra14
008,no_forbid,-4.346961975097656,0.0,5,0,0.0,True,5,4,31557,extra14
008,no_termination,,,5,0,0.0,False,4,5,28931,extra14
008,single_shot,-4.346961975097656,0.0,1,0,0.0,True,1,0,4829,extra14
009,full,-8.870079040527344,0.0,5,0,0.0,True,5,2,32152,extra14
009,no_slip,-6.6915435791015625,2.1785354614257812,5,0,0.0,True,5,2,30888,extra14
009,no_forbid,-7.6201934814453125,1.2498855590820312,5,0,0.0,True,4,2,31959,extra14
009,no_termination,-8.408592224121094,0.46148681640625,5,0,0.0,True,5,1,31230,extra14
009,single_shot,,,1,0,0.0,False,1,1,4766,extra14
010,full,-7.707094192504883,0.0,3,0,0.0,True,1,0,22351,extra14
010,no_slip,-7.707033157348633,6.103515625e-05,5,0,0.0,True,3,0,26934,extra14
010,no_forbid,-7.707094192504883,0.0,2,0,0.0,True,1,0,16038,extra14
010,no_termination,-7.707094192504883,0.0,5,0,0.0,True,4,0,28445,extra14
010,single_shot,-7.707094192504883,0.0,1,0,0.0,True,1,0,4544,extra14
011,full,-4.284637451171875,0.0,5,0,0.0,True,3,1,29811,extra14
011,no_slip,-4.284698486328125,-6.103515625e-05,5,0,0.0,True,3,1,28493,extra14
011,no_forbid,-4.284576416015625,6.103515625e-05,5,0,0.0,True,2,1,29739,extra14
011,no_termination,-4.284576416015625,6.103515625e-05,5,0,0.0,True,3,1,28690,extra14
011,single_shot,,,1,0,0.0,False,0,1,4609,extra14
012,full,-2.768667221069336,0.0,5,0,0.0,True,3,1,28609,locked10
012,no_slip,-2.6933975219726562,0.07526969909667969,5,0,0.0,True,2,1,25385,locked10
012,no_forbid,-2.746053695678711,0.022613525390625,5,0,0.0,True,4,1,26881,locked10
012,no_termination,-2.6935501098632812,0.07511711120605469,5,0,0.0,True,4,1,26945,locked10
012,single_shot,-2.2730464935302734,0.4956207275390625,1,0,0.0,True,0,0,4612,locked10
013,full,-10.361473083496094,0.0,5,0,0.0,True,2,1,27139,locked10
013,no_slip,-10.258064270019531,0.1034088134765625,5,0,0.0,True,2,1,26212,locked10
013,no_forbid,-10.361473083496094,0.0,5,0,0.0,True,3,0,27708,locked10
013,no_termination,-10.361412048339844,6.103515625e-05,5,0,0.0,True,3,1,27164,locked10
013,single_shot,-8.988121032714844,1.37335205078125,1,0,0.0,True,1,0,5087,locked10
014,full,-5.222879409790039,0.0,5,0,0.0,True,4,0,28237,extra14
014,no_slip,-5.207887649536133,0.01499176025390625,2,0,0.0,True,2,0,14865,extra14
014,no_forbid,-5.222864151000977,1.52587890625e-05,5,0,0.0,True,4,0,27009,extra14
014,no_termination,-5.222848892211914,3.0517578125e-05,5,0,0.0,True,4,0,27549,extra14
014,single_shot,-5.207887649536133,0.01499176025390625,1,0,0.0,True,1,0,4363,extra14
015,full,-1.5510482788085938,0.0,4,1,0.25,True,1,0,28728,locked10
015,no_slip,-1.5380783081054688,0.012969970703125,4,1,0.25,True,1,0,27652,locked10
015,no_forbid,-1.3554611206054688,0.195587158203125,5,0,0.0,True,5,3,31314,locked10
015,no_termination,-1.5585556030273438,-0.00750732421875,5,1,0.2,True,3,3,27588,locked10
015,single_shot,-1.5704212188720703,-0.019372940063476562,1,0,0.0,True,0,0,4879,locked10
016,full,-12.998725891113281,0.0,5,0,0.0,True,3,0,27991,locked10
016,no_slip,-12.998695373535156,3.0517578125e-05,3,0,0.0,True,2,0,20421,locked10
016,no_forbid,-12.998695373535156,3.0517578125e-05,3,0,0.0,True,2,0,21512,locked10
016,no_termination,-12.998695373535156,3.0517578125e-05,5,0,0.0,True,3,0,26816,locked10
016,single_shot,-12.920936584472656,0.077789306640625,1,0,0.0,True,0,0,4819,locked10
017,full,-5.362604141235352,0.0,5,0,0.0,True,4,2,30670,extra14
017,no_slip,-5.363460540771484,-0.0008563995361328125,5,0,0.0,True,4,1,28947,extra14
017,no_forbid,-5.363460540771484,-0.0008563995361328125,5,0,0.0,True,4,1,29260,extra14
017,no_termination,-5.362604141235352,0.0,5,0,0.0,True,3,1,29471,extra14
017,single_shot,,,1,0,0.0,False,0,1,4705,extra14
018,full,-6.991722106933594,0.0,5,0,0.0,True,4,3,30227,extra14
018,no_slip,-6.991722106933594,0.0,5,0,0.0,True,4,2,28119,extra14
018,no_forbid,-6.991722106933594,0.0,5,0,0.0,True,4,2,29134,extra14
018,no_termination,-6.991722106933594,0.0,5,0,0.0,True,3,2,28731,extra14
018,single_shot,-6.991722106933594,0.0,1,0,0.0,True,1,0,4644,extra14
019,full,-3.5041396617889404,0.0,5,0,0.0,True,4,0,29662,locked10
019,no_slip,-3.3380630016326904,0.16607666015625,2,0,0.0,True,2,0,14637,locked10
019,no_forbid,-3.5041396617889404,0.0,5,0,0.0,True,4,0,28383,locked10
019,no_termination,-3.5041396617889404,0.0,5,0,0.0,True,4,0,28217,locked10
019,single_shot,-3.5041396617889404,0.0,1,0,0.0,True,1,0,4678,locked10
020,full,-6.2419586181640625,0.0,5,0,0.0,True,4,0,31404,extra14
020,no_slip,-6.2310943603515625,0.0108642578125,3,0,0.0,True,2,0,21937,extra14
020,no_forbid,-6.176261901855469,0.06569671630859375,3,0,0.0,True,2,0,22166,extra14
020,no_termination,-6.2310943603515625,0.0108642578125,5,0,0.0,True,4,0,28603,extra14
020,single_shot,-6.176261901855469,0.06569671630859375,1,0,0.0,True,1,0,4522,extra14
021,full,-3.6048831939697266,0.0,5,0,0.0,True,3,0,28204,extra14
021,no_slip,-3.5104408264160156,0.09444236755371094,5,0,0.0,True,4,0,27179,extra14
021,no_forbid,-3.5104408264160156,0.09444236755371094,5,0,0.0,True,4,0,29326,extra14
