case_id,variant,source,success,best_energy,delta_vs_full,iterations,dissociation_count,slip_count
001,full,extra14,True,-4.743168592453003,0.0,2,0,2
001,no_slip,extra14,True,-4.741734266281128,0.001434326171875,4,0,1
001,no_forbid,extra14,True,-4.743168592453003,0.0,3,0,1
001,no_termination,extra14,True,-4.743168592453003,0.0,5,0,2
001,single_shot,extra14,True,-4.743168592453003,0.0,1,0,1
002,full,extra14,True,-7.2280120849609375,0.0,5,1,4
002,no_slip,extra14,True,-7.2280120849609375,0.0,5,1,4
002,no_forbid,extra14,True,-7.2280120849609375,0.0,5,0,4
002,no_termination,extra14,True,-7.2280120849609375,0.0,5,1,4
002,single_shot,extra14,False,,,1,1,1
003,full,locked10,True,-11.669610977172852,0.0,3,0,3
003,no_slip,locked10,True,-11.654779434204102,0.01483154296875,4,0,4
003,no_forbid,locked10,True,-11.654779434204102,0.01483154296875,3,0,3
003,no_termination,locked10,True,-11.654779434204102,0.01483154296875,4,0,4
003,single_shot,locked10,True,-11.657953262329102,0.01165771484375,1,0,1
004,full,locked10,True,-11.384456634521484,0.0,5,1,5
004,no_slip,locked10,True,-11.384395599365234,6.103515625e-05,5,0,4
004,no_forbid,locked10,True,-10.396541595458984,0.9879150390625,3,0,3
004,no_termination,locked10,True,-11.384395599365234,6.103515625e-05,5,2,5
004,single_shot,locked10,True,-8.813106536865234,2.57135009765625,1,0,1
005,full,locked10,True,-10.643351554870605,0.0,5,0,4
005,no_slip,locked10,True,-10.643351554870605,0.0,5,0,4
005,no_forbid,locked10,True,-10.643351554870605,0.0,5,0,4
005,no_termination,locked10,True,-10.643351554870605,0.0,5,0,4
005,single_shot,locked10,True,-10.011088371276855,0.63226318359375,1,0,1
006,full,extra14,True,-7.403881072998047,0.0,5,1,3
006,no_slip,extra14,True,-7.403881072998047,0.0,5,1,3
006,no_forbid,extra14,True,-7.403881072998047,0.0,5,1,3
006,no_termination,extra14,True,-7.403881072998047,0.0,5,1,3
006,single_shot,extra14,True,-7.403881072998047,0.0,1,0,0
007,full,extra14,True,-10.713539123535156,0.0,4,0,1
007,no_slip,extra14,True,-10.710975646972656,0.0025634765625,4,0,1
007,no_forbid,extra14,True,-10.713539123535156,0.0,4,0,1
007,no_termination,extra14,True,-10.710975646972656,0.0025634765625,5,0,1
007,single_shot,extra14,True,-10.710975646972656,0.0025634765625,1,0,0
008,full,extra14,True,-4.346961975097656,0.0,5,4,5
008,no_slip,extra14,True,-4.346961975097656,0.0,5,4,4
008,no_forbid,extra14,True,-4.346961975097656,0.0,5,4,5
008,no_termination,extra14,False,,,5,5,4
008,single_shot,extra14,True,-4.346961975097656,0.0,1,0,1
009,full,extra14,True,-8.870079040527344,0.0,5,2,5
009,no_slip,extra14,True,-6.6915435791015625,2.1785354614257812,5,2,5
009,no_forbid,extra14,True,-7.6201934814453125,1.2498855590820312,5,2,4
009,no_termination,extra14,True,-8.408592224121094,0.46148681640625,5,1,5
009,single_shot,extra14,False,,,1,1,1
010,full,extra14,True,-7.707094192504883,0.0,3,0,1
010,no_slip,extra14,True,-7.707033157348633,6.103515625e-05,5,0,3
010,no_forbid,extra14,True,-7.707094192504883,0.0,2,0,1
010,no_termination,extra14,True,-7.707094192504883,0.0,5,0,4
010,single_shot,extra14,True,-7.707094192504883,0.0,1,0,1
011,full,extra14,True,-4.284637451171875,0.0,5,1,3
011,no_slip,extra14,True,-4.284698486328125,-6.103515625e-05,5,1,3
011,no_forbid,extra14,True,-4.284576416015625,6.103515625e-05,5,1,2
011,no_termination,extra14,True,-4.284576416015625,6.103515625e-05,5,1,3
011,single_shot,extra14,False,,,1,1,0
012,full,locked10,True,-2.768667221069336,0.0,5,1,3
012,no_slip,locked10,True,-2.6933975219726562,0.07526969909667969,5,1,2
012,no_forbid,locked10,True,-2.746053695678711,0.022613525390625,5,1,4
012,no_termination,locked10,True,-2.6935501098632812,0.07511711120605469,5,1,4
012,single_shot,locked10,True,-2.2730464935302734,0.4956207275390625,1,0,0
013,full,locked10,True,-10.361473083496094,0.0,5,1,2
013,no_slip,locked10,True,-10.258064270019531,0.1034088134765625,5,1,2
013,no_forbid,locked10,True,-10.361473083496094,0.0,5,0,3
013,no_termination,locked10,True,-10.361412048339844,6.103515625e-05,5,1,3
013,single_shot,locked10,True,-8.988121032714844,1.37335205078125,1,0,1
014,full,extra14,True,-5.222879409790039,0.0,5,0,4
014,no_slip,extra14,True,-5.207887649536133,0.01499176025390625,2,0,2
014,no_forbid,extra14,True,-5.222864151000977,1.52587890625e-05,5,0,4
014,no_termination,extra14,True,-5.222848892211914,3.0517578125e-05,5,0,4
014,single_shot,extra14,True,-5.207887649536133,0.01499176025390625,1,0,1
015,full,locked10,True,-1.5510482788085938,0.0,4,0,1
015,no_slip,locked10,True,-1.5380783081054688,0.012969970703125,4,0,1
015,no_forbid,locked10,True,-1.3554611206054688,0.195587158203125,5,3,5
015,no_termination,locked10,True,-1.5585556030273438,-0.00750732421875,5,3,3
015,single_shot,locked10,True,-1.5704212188720703,-0.019372940063476562,1,0,0
016,full,locked10,True,-12.998725891113281,0.0,5,0,3
016,no_slip,locked10,True,-12.998695373535156,3.0517578125e-05,3,0,2
016,no_forbid,locked10,True,-12.998695373535156,3.0517578125e-05,3,0,2
016,no_termination,locked10,True,-12.998695373535156,3.0517578125e-05,5,0,3
016,single_shot,locked10,True,-12.920936584472656,0.077789306640625,1,0,0
017,full,extra14,True,-5.362604141235352,0.0,5,2,4
