rank,case_id,slab_file,smiles,adsorbate_name,surface_family,reaction_class,backend_count,available_backend_count,min_energy_eV,max_energy_eV,range_eV,gemini_status,gemini_energy_eV,grok_status,grok_energy_eV,gpt54_status,gpt54_energy_eV,claude_status,claude_energy_eV
1,003,research/agent_eval/generated_slabs/ocd_gmae/003_ocd_735_Re27Ti27_NH2.xyz,[NH2],[NH2],intermetallic,GENERALIZATION,4,4,-11.657953262329102,-6.983524322509766,4.674428939819336,success,-11.654779434204102,success,-10.633243560791016,success,-11.657953262329102,success,-6.983524322509766
2,004,research/agent_eval/generated_slabs/ocd_gmae/004_ocd_118_Ge36V60_N_N.xyz,[N]=N,[N]=N,compound,GENERALIZATION,4,4,-10.13772201538086,-8.813106536865234,1.324615478515625,success,-8.813106536865234,success,-10.13772201538086,success,-8.813106536865234,success,-10.13772201538086
3,023,research/agent_eval/generated_slabs/ocd_gmae/023_ocd_108_Ru60Ta20_NH.xyz,[NH],[NH],intermetallic,GENERALIZATION,4,4,-14.256022453308105,-13.274882316589355,0.98114013671875,success,-13.274882316589355,success,-14.256022453308105,success,-14.256022453308105,success,-14.256022453308105
4,024,research/agent_eval/generated_slabs/ocd_gmae/024_ocd_76_In10N10Ti30_N.xyz,N,N,intermetallic,GENERALIZATION,4,4,-3.715841293334961,-3.376506805419922,0.33933448791503906,success,-3.715841293334961,success,-3.376506805419922,success,-3.376506805419922,success,-3.376506805419922
5,005,research/agent_eval/generated_slabs/ocd_gmae/005_ocd_530_Co32Y48_NH.xyz,[NH],[NH],intermetallic,GENERALIZATION,4,4,-10.208537101745605,-9.957316398620605,0.251220703125,success,-10.011088371276855,success,-9.957316398620605,success,-10.011088371276855,success,-10.208537101745605
6,019,research/agent_eval/generated_slabs/ocd_gmae/019_ocd_768_Ga24Y24_H.xyz,[H],H,intermetallic,HER,4,4,-3.5041396617889404,-3.2566726207733154,0.247467041015625,success,-3.3380630016326904,success,-3.3380630016326904,success,-3.5041396617889404,success,-3.2566726207733154
7,015,research/agent_eval/generated_slabs/ocd_gmae/015_ocd_665_Ga16Mn32V16_CH2_O.xyz,[CH2][O],[CH2][O],intermetallic,GENERALIZATION,4,4,-1.5704212188720703,-1.351470947265625,0.2189502716064453,success,-1.351470947265625,success,-1.351470947265625,success,-1.5704212188720703,success,-1.351470947265625
8,013,research/agent_eval/generated_slabs/ocd_gmae/013_ocd_181_Cu32Se64W16_C_C_O.xyz,C(C)O,C(C)O,intermetallic,GENERALIZATION,4,4,-9.077659606933594,-8.988121032714844,0.08953857421875,success,-9.077415466308594,success,-9.077659606933594,success,-8.988121032714844,success,-9.077415466308594
9,012,research/agent_eval/generated_slabs/ocd_gmae/012_ocd_114_Ag24In12Sc12_CO.xyz,CO,CO,intermetallic,GENERALIZATION,4,4,-2.359823226928711,-2.2730464935302734,0.0867767333984375,success,-2.2730464935302734,success,-2.359823226928711,success,-2.2730464935302734,success,-2.2730464935302734
10,016,research/agent_eval/generated_slabs/ocd_gmae/016_ocd_810_Pd32Sb64_C_CH2_O.xyz,C([CH2])O,C([CH2])O,intermetallic,GENERALIZATION,4,4,-12.998695373535156,-12.913764953613281,0.084930419921875,success,-12.920936584472656,success,-12.998695373535156,success,-12.920936584472656,success,-12.913764953613281
11,021,research/agent_eval/generated_slabs/ocd_gmae/021_ocd_242_Fe20Mn20P20_NH2.xyz,[NH2],[NH2],intermetallic,GENERALIZATION,4,4,-3.4414615631103516,-3.3670082092285156,0.07445335388183594,success,-3.4414615631103516,success,-3.4414615631103516,success,-3.4414615631103516,success,-3.3670082092285156
12,020,research/agent_eval/generated_slabs/ocd_gmae/020_ocd_513_Pd24Zr24_OH.xyz,[OH],OH,intermetallic,ORR,4,4,-6.2419586181640625,-6.176261901855469,0.06569671630859375,success,-6.176292419433594,success,-6.2419586181640625,success,-6.176261901855469,success,-6.2311553955078125
13,007,research/agent_eval/generated_slabs/ocd_gmae/007_ocd_909_Mo36N36_N_O.xyz,[N]=O,[N]=O,compound,GENERALIZATION,4,4,-10.713539123535156,-10.710731506347656,0.0028076171875,success,-10.711097717285156,success,-10.710731506347656,success,-10.710731506347656,success,-10.713539123535156
14,010,research/agent_eval/generated_slabs/ocd_gmae/010_ocd_201_Cr36N48_CH_O.xyz,[CH]=O,[CH]=O,compound,GENERALIZATION,4,4,-7.707094192504883,-7.707033157348633,6.103515625e-05,success,-7.707094192504883,success,-7.707033157348633,success,-7.707033157348633,success,-7.707094192504883
15,001,research/agent_eval/generated_slabs/ocd_gmae/001_ocd_596_Cr18Pt18_H.xyz,[H],H,intermetallic,HER,4,4,-4.743199110031128,-4.743168592453003,3.0517578125e-05,success,-4.743168592453003,success,-4.743199110031128,success,-4.743168592453003,success,-4.743168592453003
16,014,research/agent_eval/generated_slabs/ocd_gmae/014_ocd_275_Cd20Y20_C_O.xyz,C[O],C[O],intermetallic,GENERALIZATION,4,4,-5.207887649536133,-5.20787239074707,1.52587890625e-05,success,-5.207887649536133,success,-5.20787239074707,success,-5.207887649536133,success,-5.207887649536133
17,018,research/agent_eval/generated_slabs/ocd_gmae/018_ocd_502_Hf40Sb24Zn8_CH2_C.xyz,[CH2]C,[CH2]C,intermetallic,GENERALIZATION,4,4,-6.991722106933594,-6.991722106933594,0.0,success,-6.991722106933594,success,-6.991722106933594,success,-6.991722106933594,success,-6.991722106933594
