dataset,case_id,surface,adsorbate,reaction_class,selection_bucket,selected_for_panel_b,backend,variant,checkpoint,best_energy_eV,source_result_dir,source_xyz,png_path
CMU20,01,Mo3Pd_111,H,HER,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-3.627323865890503,research/results/openai_gpt54_ablation_v1/full/01,research/results/openai_gpt54_ablation_v1/full/01/artifacts/BEST_H_bridge_to_hollow_HCP-Subsurf-Atom_E-3.627.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/01_Mo3Pd_111_H.png
CMU20,02,Mo3Pd_111,NNH,NRR,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-4.769039154052734,research/results/openai_gpt54_ablation_v1/full/02,research/results/openai_gpt54_ablation_v1/full/02/artifacts/BEST_N_NH_bridge_to_hollow_HCP-Subsurf-Atom_E-4.769.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/02_Mo3Pd_111_NNH.png
CMU20,03,Pd3Cu_111,H,HER,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-3.351963758468628,research/results/cmu_extra5_openai_gpt54_ablation_v1/full/03,research/results/cmu_extra5_openai_gpt54_ablation_v1/full/03/artifacts/BEST_H_hollow_to_hollow_FCC-No-Subsurf_E-3.352.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/03_Pd3Cu_111_H.png
CMU20,04,Pd3Cu_111,NNH,NRR,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-2.2549095153808594,research/results/openai_gpt54_ablation_v1/full/04,research/results/openai_gpt54_ablation_v1/full/04/artifacts/BEST_N_NH_hollow_to_hollow_FCC-No-Subsurf_E-2.255.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/04_Pd3Cu_111_NNH.png
CMU20,05,Cu3Ag_111,H,HER,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-2.961643934249878,research/results/openai_gpt54_ablation_v1/full/05,research/results/openai_gpt54_ablation_v1/full/05/artifacts/BEST_H_hollow_to_hollow_FCC-No-Subsurf_E-2.962.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/05_Cu3Ag_111_H.png
CMU20,06,Cu3Ag_111,NNH,NRR,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-2.164623260498047,research/results/cmu_extra5_openai_gpt54_ablation_v1/full/06,research/results/cmu_extra5_openai_gpt54_ablation_v1/full/06/artifacts/BEST_N_NH_bridge_to_hollow_FCC-No-Subsurf_E-2.165.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/06_Cu3Ag_111_NNH.png
CMU20,07,Ru3Mo_111,H,HER,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-7.030705213546753,research/results/cmu_extra5_openai_gpt54_ablation_v1/full/07,research/results/cmu_extra5_openai_gpt54_ablation_v1/full/07/artifacts/BEST_H_ontop_E-7.031.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/07_Ru3Mo_111_H.png
CMU20,08,Ru3Mo_111,NNH,NRR,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-7.190608978271484,research/results/cmu_extra5_openai_gpt54_ablation_v1/full/08,research/results/cmu_extra5_openai_gpt54_ablation_v1/full/08/artifacts/BEST_N_NH_bridge_to_hollow_HCP-Subsurf-Atom_E-7.191.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/08_Ru3Mo_111_NNH.png
CMU20,09,Pt_111,OH,ORR,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-1.9912567138671875,research/results/openai_gpt54_ablation_v1/full/09,research/results/openai_gpt54_ablation_v1/full/09/artifacts/BEST_OH_hollow_to_hollow_FCC-No-Subsurf_E-1.991.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/09_Pt_111_OH.png
CMU20,10,Pt_100,OH,ORR,cmu20,True,GPT-5.4,Full,MACE-MP-0 small,-2.7095260620117188,research/results/openai_gpt54_ablation_v1/full/10,research/results/openai_gpt54_ablation_v1/full/10/artifacts/BEST_OH_ontop_to_bridge_E-2.710.xyz,research/results/analysis/panel_b_assets_20260429/cmu20/10_Pt_100_OH.png
