backend,variant,attempts,success,natural_failures,invalid_failures,external_failures,mean_delta_success_only,median_delta_success_only
Claude Sonnet 4.6,full,24.0,24.0,0.0,0.0,0.0,0.0,0.0
Claude Sonnet 4.6,no_forbid,24.0,24.0,0.0,0.0,0.0,-0.004833221435546875,0.0
Claude Sonnet 4.6,no_slip,24.0,24.0,0.0,0.0,0.0,-0.007644494374593101,0.0
Claude Sonnet 4.6,no_termination,24.0,24.0,0.0,0.0,0.0,-0.02425543467203776,0.0
Claude Sonnet 4.6,single_shot,24.0,22.0,2.0,0.0,0.0,0.42855462160977476,0.11053466796875085
GPT-5.4,full,24.0,24.0,0.0,0.0,0.0,0.0,0.0
GPT-5.4,no_forbid,24.0,24.0,0.0,0.0,0.0,0.10959291458129883,0.0
GPT-5.4,no_slip,24.0,24.0,0.0,0.0,0.0,0.10982139905293782,6.103515625e-05
GPT-5.4,no_termination,24.0,23.0,1.0,0.0,0.0,0.024243479189665417,0.0
GPT-5.4,single_shot,24.0,19.0,5.0,0.0,0.0,0.31695877878289486,0.0149917602539062
Gemini 2.5 Pro,full,24.0,24.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,no_forbid,24.0,24.0,0.0,0.0,0.0,0.016784667968749997,0.0
Gemini 2.5 Pro,no_slip,24.0,24.0,0.0,0.0,0.0,-0.024507522583007812,0.0
Gemini 2.5 Pro,no_termination,24.0,24.0,0.0,0.0,0.0,0.028070767720540363,0.0
Gemini 2.5 Pro,single_shot,24.0,20.0,4.0,0.0,0.0,0.2549869537353516,0.0422382354736328
Grok-4,full,24.0,24.0,0.0,0.0,0.0,0.0,0.0
Grok-4,no_forbid,24.0,23.0,0.0,1.0,0.0,-0.06419040845788043,0.0
Grok-4,no_slip,24.0,24.0,0.0,0.0,0.0,-0.024856011072794598,0.0
Grok-4,no_termination,24.0,24.0,0.0,0.0,0.0,-0.07686996459960938,0.0
Grok-4,single_shot,24.0,21.0,2.0,0.0,1.0,0.25253695533389153,0.0571823120117187
