case_id,variant,best_energy,best_backend,success_count,attempts,natural_failures,invalid_failures,external_failures,full_casebest_energy,delta_vs_full_casebest
001,full,-4.980229139328003,Gemini 2.5 Pro,4,4,0,0,0,-4.980229139328003,0.0
001,no_forbid,-4.980229139328003,Gemini 2.5 Pro,4,4,0,0,0,-4.980229139328003,0.0
001,no_slip,-4.980229139328003,Gemini 2.5 Pro,4,4,0,0,0,-4.980229139328003,0.0
001,no_termination,-4.980229139328003,Claude Sonnet 4.6,4,4,0,0,0,-4.980229139328003,0.0
001,single_shot,-4.743199110031128,Gemini 2.5 Pro,4,4,0,0,0,-4.980229139328003,0.237030029296875
002,full,-7.2280120849609375,GPT-5.4,4,4,0,0,0,-7.2280120849609375,0.0
002,no_forbid,-7.2280120849609375,GPT-5.4,4,4,0,0,0,-7.2280120849609375,0.0
002,no_slip,-7.2280120849609375,GPT-5.4,4,4,0,0,0,-7.2280120849609375,0.0
002,no_termination,-7.2280120849609375,GPT-5.4,4,4,0,0,0,-7.2280120849609375,0.0
002,single_shot,-6.576652526855469,Claude Sonnet 4.6,2,4,2,0,0,-7.2280120849609375,0.6513595581054688
003,full,-11.669610977172852,GPT-5.4,4,4,0,0,0,-11.669610977172852,0.0
003,no_forbid,-11.654779434204102,GPT-5.4,4,4,0,0,0,-11.669610977172852,0.01483154296875
003,no_slip,-11.654779434204102,GPT-5.4,4,4,0,0,0,-11.669610977172852,0.01483154296875
003,no_termination,-11.654779434204102,GPT-5.4,4,4,0,0,0,-11.669610977172852,0.01483154296875
003,single_shot,-11.657953262329102,GPT-5.4,4,4,0,0,0,-11.669610977172852,0.01165771484375
004,full,-11.384456634521484,GPT-5.4,4,4,0,0,0,-11.384456634521484,0.0
004,no_forbid,-11.384395599365234,Claude Sonnet 4.6,4,4,0,0,0,-11.384456634521484,6.103515625e-05
004,no_slip,-11.384395599365234,GPT-5.4,4,4,0,0,0,-11.384456634521484,6.103515625e-05
004,no_termination,-11.384395599365234,GPT-5.4,4,4,0,0,0,-11.384456634521484,6.103515625e-05
004,single_shot,-10.13772201538086,Claude Sonnet 4.6,4,4,0,0,0,-11.384456634521484,1.246734619140625
005,full,-10.643351554870604,GPT-5.4,4,4,0,0,0,-10.643351554870604,0.0
005,no_forbid,-10.643351554870604,GPT-5.4,4,4,0,0,0,-10.643351554870604,0.0
005,no_slip,-10.643351554870604,GPT-5.4,4,4,0,0,0,-10.643351554870604,0.0
005,no_termination,-10.643351554870604,GPT-5.4,4,4,0,0,0,-10.643351554870604,0.0
005,single_shot,-10.643351554870604,Gemini 2.5 Pro,4,4,0,0,0,-10.643351554870604,0.0
006,full,-7.403881072998047,GPT-5.4,4,4,0,0,0,-7.403881072998047,0.0
006,no_forbid,-7.403881072998047,GPT-5.4,4,4,0,0,0,-7.403881072998047,0.0
006,no_slip,-7.403942108154297,Gemini 2.5 Pro,4,4,0,0,0,-7.403881072998047,-6.103515625e-05
006,no_termination,-7.403881072998047,GPT-5.4,4,4,0,0,0,-7.403881072998047,0.0
006,single_shot,-7.403881072998047,GPT-5.4,4,4,0,0,0,-7.403881072998047,0.0
007,full,-10.732337951660156,Claude Sonnet 4.6,4,4,0,0,0,-10.732337951660156,0.0
007,no_forbid,-10.732337951660156,Gemini 2.5 Pro,4,4,0,0,0,-10.732337951660156,0.0
007,no_slip,-10.732337951660156,Gemini 2.5 Pro,4,4,0,0,0,-10.732337951660156,0.0
007,no_termination,-10.713600158691406,Gemini 2.5 Pro,4,4,0,0,0,-10.732337951660156,0.01873779296875
007,single_shot,-10.710975646972656,GPT-5.4,4,4,0,0,0,-10.732337951660156,0.0213623046875
008,full,-4.346961975097656,GPT-5.4,4,4,0,0,0,-4.346961975097656,0.0
008,no_forbid,-4.346961975097656,GPT-5.4,3,4,0,1,0,-4.346961975097656,0.0
008,no_slip,-4.346961975097656,GPT-5.4,4,4,0,0,0,-4.346961975097656,0.0
008,no_termination,-4.346961975097656,Claude Sonnet 4.6,3,4,1,0,0,-4.346961975097656,0.0
008,single_shot,-4.346961975097656,GPT-5.4,4,4,0,0,0,-4.346961975097656,0.0
009,full,-8.870079040527344,GPT-5.4,4,4,0,0,0,-8.870079040527344,0.0
009,no_forbid,-8.992385864257812,Claude Sonnet 4.6,4,4,0,0,0,-8.870079040527344,-0.12230682373046875
009,no_slip,-8.408592224121094,Claude Sonnet 4.6,4,4,0,0,0,-8.870079040527344,0.46148681640625
009,no_termination,-8.408592224121094,GPT-5.4,4,4,0,0,0,-8.870079040527344,0.46148681640625
009,single_shot,,,0,4,4,0,0,-8.870079040527344,
010,full,-7.707094192504883,GPT-5.4,4,4,0,0,0,-7.707094192504883,0.0
010,no_forbid,-7.707094192504883,GPT-5.4,4,4,0,0,0,-7.707094192504883,0.0
010,no_slip,-7.707033157348633,GPT-5.4,4,4,0,0,0,-7.707094192504883,6.103515625e-05
010,no_termination,-7.707094192504883,GPT-5.4,4,4,0,0,0,-7.707094192504883,0.0
010,single_shot,-7.707094192504883,GPT-5.4,4,4,0,0,0,-7.707094192504883,0.0
011,full,-4.284637451171875,GPT-5.4,4,4,0,0,0,-4.284637451171875,0.0
011,no_forbid,-4.284576416015625,GPT-5.4,4,4,0,0,0,-4.284637451171875,6.103515625e-05
011,no_slip,-4.284698486328125,GPT-5.4,4,4,0,0,0,-4.284637451171875,-6.103515625e-05
011,no_termination,-4.284576416015625,GPT-5.4,4,4,0,0,0,-4.284637451171875,6.103515625e-05
011,single_shot,,,0,4,4,0,0,-4.284637451171875,
012,full,-2.772481918334961,Grok-4,4,4,0,0,0,-2.772481918334961,0.0
012,no_forbid,-2.746053695678711,GPT-5.4,4,4,0,0,0,-2.772481918334961,0.02642822265625
012,no_slip,-2.700719833374023,Grok-4,4,4,0,0,0,-2.772481918334961,0.07176208496093794
012,no_termination,-2.746053695678711,Claude Sonnet 4.6,4,4,0,0,0,-2.772481918334961,0.02642822265625
012,single_shot,-2.3598690032958984,Gemini 2.5 Pro,4,4,0,0,0,-2.772481918334961,0.4126129150390625
013,full,-10.361473083496094,GPT-5.4,4,4,0,0,0,-10.361473083496094,0.0
013,no_forbid,-10.361473083496094,GPT-5.4,4,4,0,0,0,-10.361473083496094,0.0
013,no_slip,-10.361473083496094,Gemini 2.5 Pro,4,4,0,0,0,-10.361473083496094,0.0
013,no_termination,-10.361473083496094,Gemini 2.5 Pro,4,4,0,0,0,-10.361473083496094,0.0
013,single_shot,-9.077659606933594,Grok-4,4,4,0,0,0,-10.361473083496094,1.2838134765625
014,full,-5.222894668579102,Gemini 2.5 Pro,4,4,0,0,0,-5.222894668579102,0.0
014,no_forbid,-5.222879409790039,Gemini 2.5 Pro,4,4,0,0,0,-5.222894668579102,1.52587890625e-05
014,no_slip,-5.222894668579102,Claude Sonnet 4.6,4,4,0,0,0,-5.222894668579102,0.0
014,no_termination,-5.222909927368164,Grok-4,4,4,0,0,0,-5.222894668579102,-1.52587890625e-05
014,single_shot,-5.207887649536133,GPT-5.4,4,4,0,0,0,-5.222894668579102,0.01500701904296875
