case_id,variant,backend,source,best_energy,iterations,wasted_iterations,success,slip_count,dissociation_count,tokens_used,failure_class,raw_status,error
001,full,Grok-4,original_extra14,-4.959049940109253,5,0,True,2,0,34421,success,success,
002,full,Grok-4,original_extra14,-7.1137542724609375,5,0,True,4,2,38123,success,success,
006,full,Grok-4,original_extra14,-7.403881072998047,4,0,True,2,1,26550,success,success,
007,full,Grok-4,original_extra14,-10.711036682128906,5,0,True,1,0,34416,success,success,
008,full,Grok-4,original_extra14,-4.346961975097656,5,0,True,5,4,38305,success,success,
009,full,Grok-4,original_extra14,-8.395408630371094,5,0,True,5,2,37786,success,success,
010,full,Grok-4,original_extra14,-7.707094192504883,4,0,True,3,0,37395,success,success,
011,full,Grok-4,original_extra14,-3.356536865234375,5,0,True,3,3,38620,success,success,
014,full,Grok-4,original_extra14,-5.222879409790039,5,0,True,4,0,37482,success,success,
017,full,Grok-4,original_extra14,-5.362634658813477,3,0,True,3,0,19976,success,success,
018,full,Grok-4,original_extra14,-6.991722106933594,5,0,True,3,1,37565,success,success,
020,full,Grok-4,original_extra14,-6.2334442138671875,5,0,True,4,0,39528,success,success,
021,full,Grok-4,original_extra14,-3.6088905334472656,5,0,True,4,0,37892,success,success,
022,full,Grok-4,original_extra14,-3.3845252990722656,5,0,True,5,2,40933,success,success,
001,no_slip,Grok-4,original_extra14,-4.743168592453003,3,0,True,2,0,26224,success,success,
002,no_slip,Grok-4,original_extra14,-6.6301116943359375,5,0,True,5,2,34293,success,success,
006,no_slip,Grok-4,original_extra14,-7.403881072998047,5,1,True,2,1,32049,success,success,
007,no_slip,Grok-4,original_extra14,-10.710914611816406,5,0,True,1,0,32070,success,success,
008,no_slip,Grok-4,original_extra14,-4.346961975097656,5,0,True,5,4,35413,success,success,
009,no_slip,Grok-4,original_extra14,-8.395408630371094,5,0,True,4,2,37234,success,success,
010,no_slip,Grok-4,original_extra14,-7.707033157348633,5,0,True,4,0,34361,success,success,
011,no_slip,Grok-4,original_extra14,-4.16278076171875,5,0,True,4,3,36143,success,success,
014,no_slip,Grok-4,original_extra14,-5.222879409790039,5,0,True,4,0,33530,success,success,
017,no_slip,Grok-4,original_extra14,-5.363460540771484,5,0,True,4,1,35533,success,success,
018,no_slip,Grok-4,original_extra14,-6.991722106933594,5,0,True,3,2,35314,success,success,
020,no_slip,Grok-4,original_extra14,-6.2311859130859375,5,0,True,5,0,35046,success,success,
021,no_slip,Grok-4,original_extra14,-3.6048831939697266,5,0,True,4,0,35158,success,success,
022,no_slip,Grok-4,original_extra14,-3.3845176696777344,5,0,True,5,2,39458,success,success,
001,no_forbid,Grok-4,original_extra14,-4.959049940109253,5,0,True,3,0,33762,success,success,
002,no_forbid,Grok-4,original_extra14,-7.1137542724609375,5,0,True,4,2,36519,success,success,
006,no_forbid,Grok-4,original_extra14,-7.403881072998047,5,1,True,2,1,32743,success,success,
007,no_forbid,Grok-4,original_extra14,-10.710975646972656,5,0,True,1,0,33964,success,success,
008,no_forbid,Grok-4,original_extra14,-398501376.7336807,5,0,True,4,3,41175,success,success,
009,no_forbid,Grok-4,original_extra14,-8.408592224121094,5,0,True,4,2,37530,success,success,
010,no_forbid,Grok-4,original_extra14,-7.707033157348633,5,0,True,4,0,37029,success,success,
011,no_forbid,Grok-4,original_extra14,-4.162750244140625,5,0,True,4,3,39249,success,success,
014,no_forbid,Grok-4,original_extra14,-5.222879409790039,5,0,True,4,0,36221,success,success,
017,no_forbid,Grok-4,original_extra14,-5.363460540771484,5,0,True,4,1,37099,success,success,
018,no_forbid,Grok-4,original_extra14,-6.991722106933594,5,0,True,3,2,35756,success,success,
020,no_forbid,Grok-4,original_extra14,-6.2333831787109375,5,0,True,4,0,37077,success,success,
021,no_forbid,Grok-4,original_extra14,-3.6048831939697266,5,0,True,4,0,37026,success,success,
022,no_forbid,Grok-4,original_extra14,-3.384532928466797,5,0,True,5,1,39864,success,success,
001,no_termination,Grok-4,original_extra14,-4.980229139328003,5,0,True,2,0,32158,success,success,
002,no_termination,Grok-4,original_extra14,-7.1241912841796875,5,0,True,4,2,37897,success,success,
006,no_termination,Grok-4,original_extra14,-7.403881072998047,5,0,True,3,1,33251,success,success,
007,no_termination,Grok-4,original_extra14,-10.710914611816406,5,0,True,1,0,32138,success,success,
008,no_termination,Grok-4,original_extra14,-4.346961975097656,5,0,True,4,3,36519,success,success,
009,no_termination,Grok-4,original_extra14,-8.395408630371094,5,0,True,5,2,39147,success,success,
010,no_termination,Grok-4,original_extra14,-7.707033157348633,5,0,True,2,0,35104,success,success,
011,no_termination,Grok-4,original_extra14,-3.356536865234375,5,1,True,3,3,37034,success,success,
014,no_termination,Grok-4,original_extra14,-5.222909927368164,5,0,True,4,0,36571,success,success,
017,no_termination,Grok-4,original_extra14,-5.362604141235352,5,0,True,4,2,36725,success,success,
018,no_termination,Grok-4,original_extra14,-6.991722106933594,5,0,True,3,2,35650,success,success,
020,no_termination,Grok-4,original_extra14,-6.176322937011719,5,0,True,4,0,36533,success,success,
021,no_termination,Grok-4,original_extra14,-3.6088905334472656,5,0,True,4,0,35848,success,success,
022,no_termination,Grok-4,original_extra14,-3.3845176696777344,5,0,True,5,2,39668,success,success,
001,single_shot,Grok-4,original_extra14,-4.743199110031128,1,0,True,1,0,5575,success,success,
002,single_shot,Grok-4,original_extra14,-6.576622009277344,1,0,True,1,0,6256,success,success,
006,single_shot,Grok-4,original_extra14,-7.403881072998047,1,0,True,0,0,5922,success,success,
007,single_shot,Grok-4,original_extra14,-10.710792541503906,1,0,True,0,0,5905,success,success,
008,single_shot,Grok-4,original_extra14,-4.346961975097656,1,0,True,1,0,2972,success,success,
009,single_shot,Grok-4,original_extra14,,0,0,False,0,0,0,external_failure,error,"Error code: 429 - {'code': 'Some resource has been exhausted', 'error': 'Your team 6f345731-9dd2-4c52-bac5-3be64eb3a761 has either used all available credits or reached its monthly spending limit. To continue making API requests, please purchase more credits or raise your spending limit.'}"
010,single_shot,Grok-4,original_extra14,,0,0,False,0,0,0,external_failure,error,"Error code: 429 - {'code': 'Some resource has been exhausted', 'error': 'Your team 6f345731-9dd2-4c52-bac5-3be64eb3a761 has either used all available credits or reached its monthly spending limit. To continue making API requests, please purchase more credits or raise your spending limit.'}"
011,single_shot,Grok-4,original_extra14,,0,0,False,0,0,0,external_failure,error,"Error code: 429 - {'code': 'Some resource has been exhausted', 'error': 'Your team 6f345731-9dd2-4c52-bac5-3be64eb3a761 has either used all available credits or reached its monthly spending limit. To continue making API requests, please purchase more credits or raise your spending limit.'}"
