case_id,best_energy,success,seed,iterations,tokens_used
01,-3.627323865890503,True,42_canonical,4,28857
02,-4.769039154052734,True,42_canonical,5,28966
03,-3.351963758468628,True,42_canonical,2,15492
04,-2.2549095153808594,True,42_canonical,4,30763
05,-2.961643934249878,True,42_canonical,4,27579
06,-2.164623260498047,True,42_canonical,5,29638
07,-7.030705213546753,True,42_canonical,5,34279
08,-7.190608978271484,True,42_canonical,5,30444
09,-1.9912567138671875,True,42_canonical,3,20047
10,-2.7095260620117188,True,42_canonical,2,15422
11,-2.381309509277344,True,42_canonical,1,9807
12,-2.0813217163085938,True,42_canonical,1,9801
13,-2.8251419067382812,True,42_canonical,3,21610
14,-3.5911407470703125,True,42_canonical,5,27934
15,-3.257709503173828,True,42_canonical,4,26512
16,-4.272052764892578,True,42_canonical,5,30334
17,-3.241016387939453,True,42_canonical,5,30240
18,-2.7240142822265625,True,42_canonical,3,21803
19,-4.0125274658203125,True,42_canonical,5,29540
20,-11.652278900146484,True,42_canonical,5,32322
01,-3.628666639328003,True,43,4,28533
02,-4.764980316162109,True,43,4,29760
03,-3.351048231124878,True,43,3,21493
04,-2.258951187133789,True,43,5,32899
05,-2.9417006969451904,True,43,5,27623
06,-1.9227848052978516,True,43,5,30180
07,-7.005192518234253,True,43,4,28472
08,-6.910898208618164,True,43,5,32625
09,-1.952299118041992,True,43,2,14653
10,-2.7150115966796875,True,43,3,20944
11,-2.437986373901367,True,43,2,15124
12,-2.346036911010742,True,43,3,21554
13,-2.8248958587646484,True,43,3,22031
14,-3.456451416015625,True,43,4,28459
15,-3.57489013671875,True,43,4,29197
16,-4.79632568359375,True,43,5,30095
17,-3.2786941528320312,True,43,5,28492
18,-3.2236251831054688,True,43,4,28111
19,-4.137535095214844,True,43,5,31043
20,-8.90877914428711,True,43,5,33307
01,-3.631718397140503,True,44,4,27107
02,-4.775278091430664,True,44,2,15892
03,-3.338566541671753,True,44,3,21887
04,-2.270109176635742,True,44,4,31813
05,-2.960362195968628,True,44,4,27734
06,-1.880289077758789,True,44,5,31124
07,-7.028996229171753,True,44,5,28147
08,-7.368223190307617,True,44,5,32221
09,-1.991859436035156,True,44,3,19664
10,-2.7121047973632812,True,44,3,22116
11,-2.3692216873168945,True,44,1,10126
12,-2.3609619140625,True,44,3,21828
13,-2.825592041015625,True,44,3,21840
14,-3.6042251586914062,True,44,5,27303
15,-2.9270095825195312,True,44,3,22345
16,-4.676399230957031,True,44,5,31606
17,-3.268444061279297,True,44,5,29757
18,-2.889392852783203,True,44,3,23159
19,-4.024250030517578,True,44,4,29485
20,-10.886920928955078,True,44,5,32473
01,-3.633732557296753,True,45,5,28155
02,-4.771259307861328,True,45,5,29671
03,-3.348942518234253,True,45,4,29393
04,-2.266773223876953,True,45,5,30920
05,-2.949925184249878,True,45,4,28294
06,-2.0657691955566406,True,45,5,29760
07,-6.996830701828003,True,45,5,27445
08,-7.197162628173828,True,45,5,31186
09,-1.9897222518920896,True,45,3,20421
10,-2.7134008407592773,True,45,3,21578
11,-2.441229820251465,True,45,3,21195
12,-2.0938329696655273,True,45,2,14885
13,-2.820197105407715,True,45,3,22060
14,-3.600104331970215,True,45,5,27667
15,-3.0772552490234375,True,45,1,9942
16,-4.6593780517578125,True,45,5,26927
17,-3.260093688964844,True,45,4,29439
18,-3.2285842895507812,True,45,5,28231
19,-4.016757965087891,True,45,4,30684
20,-9.042366027832031,True,45,5,32236
01,-3.630558729171753,True,46,4,29590
02,-4.763652801513672,True,46,5,29402
03,-3.345616102218628,True,46,5,28373
04,-2.266033172607422,True,46,5,32998
05,-2.940632581710815,True,46,3,21228
06,-2.0716514587402344,True,46,5,29781
07,-7.057926893234253,True,46,3,21996
08,-7.059978485107422,True,46,5,31603
09,-1.9934844970703125,True,46,3,19941
10,-2.718170166015625,True,46,3,21589
11,-2.4269561767578125,True,46,2,15867
12,-2.0954742431640625,True,46,2,15563
13,-2.827911376953125,True,46,3,21813
14,-3.6065597534179688,True,46,4,26829
15,-3.0005416870117188,True,46,3,22463
16,-4.613273620605469,True,46,5,26812
17,-2.8288726806640625,True,46,2,16122
18,-2.9137535095214844,True,46,5,28612
19,-4.0103759765625,True,46,5,30211
20,-11.16193389892578,True,46,5,33066
