backend,case_id,variant,raw_status,iterations,tokens_used,error
Claude Sonnet 4.6,008,no_slip,error,0,0,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}"
Claude Sonnet 4.6,010,no_slip,error,0,0,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}"
Claude Sonnet 4.6,011,no_slip,error,0,0,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}"
Claude Sonnet 4.6,012,no_slip,error,0,0,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}"
Claude Sonnet 4.6,013,no_slip,error,0,0,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}"
Claude Sonnet 4.6,014,no_slip,error,0,0,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}"
Claude Sonnet 4.6,015,no_slip,error,0,0,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}"
Claude Sonnet 4.6,017,no_slip,error,0,0,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}"
Claude Sonnet 4.6,018,no_slip,error,0,0,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}"
Claude Sonnet 4.6,021,no_slip,error,0,0,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}"
Claude Sonnet 4.6,022,no_slip,error,0,0,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}"
Claude Sonnet 4.6,023,no_slip,error,0,0,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}"
Gemini 2.5 Pro,017,no_forbid,error,0,0,"403 This API method requires billing to be enabled. Please enable billing on project #igneous-sandbox-479916-t9 by visiting https://console.developers.google.com/billing/enable?project=igneous-sandbox-479916-t9 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry. [reason: ""BILLING_DISABLED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""aiplatform.googleapis.com""
}
metadata {
  key: ""containerInfo""
  value: ""igneous-sandbox-479916-t9""
}
metadata {
  key: ""consumer""
  value: ""projects/igneous-sandbox-479916-t9""
}
metadata {
  key: ""consoleUrl""
  value: ""https://console.developers.google.com/billing/enable?project=igneous-sandbox-479916-t9""
}
, locale: ""en-US""
message: ""This API method requires billing to be enabled. Please enable billing on project #igneous-sandbox-479916-t9 by visiting https://console.developers.google.com/billing/enable?project=igneous-sandbox-479916-t9 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry.""
, links {
  description: ""Google developers console billing""
  url: ""https://console.developers.google.com/billing/enable?project=igneous-sandbox-479916-t9""
}
]"
Gemini 2.5 Pro,018,no_forbid,error,0,0,"403 This API method requires billing to be enabled. Please enable billing on project #igneous-sandbox-479916-t9 by visiting https://console.developers.google.com/billing/enable?project=igneous-sandbox-479916-t9 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry. [reason: ""BILLING_DISABLED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""aiplatform.googleapis.com""
}
metadata {
  key: ""containerInfo""
  value: ""igneous-sandbox-479916-t9""
}
metadata {
  key: ""consumer""
  value: ""projects/igneous-sandbox-479916-t9""
}
metadata {
  key: ""consoleUrl""
  value: ""https://console.developers.google.com/billing/enable?project=igneous-sandbox-479916-t9""
}
, locale: ""en-US""
message: ""This API method requires billing to be enabled. Please enable billing on project #igneous-sandbox-479916-t9 by visiting https://console.developers.google.com/billing/enable?project=igneous-sandbox-479916-t9 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry.""
, links {
  description: ""Google developers console billing""
  url: ""https://console.developers.google.com/billing/enable?project=igneous-sandbox-479916-t9""
}
]"
