case_id,variant,full_best,variant_best,delta_variant_best_minus_full_best,variant_success_backends,variant_external_failures,full_success_backends
001,no_forbid,-4.980229139328003,-4.743199110031128,0.237030029296875,3,0,3
001,no_slip,-4.980229139328003,-4.743168592453003,0.237060546875,3,0,3
001,no_termination,-4.980229139328003,-4.980229139328003,0.0,2,1,3
002,no_forbid,-3.5041396617889404,-3.5041396617889404,0.0,3,0,3
002,no_slip,-3.5041396617889404,-3.5041396617889404,0.0,3,0,3
002,no_termination,-3.5041396617889404,-3.5041396617889404,0.0,2,1,3
003,no_forbid,-3.134526014328003,-3.134526014328003,0.0,3,0,3
003,no_slip,-3.134526014328003,-3.1345107555389404,1.52587890625e-05,3,0,3
003,no_termination,-3.134526014328003,-3.134526014328003,0.0,2,1,3
004,no_forbid,-7.2280120849609375,-7.2280120849609375,0.0,3,0,3
004,no_slip,-7.2280120849609375,-7.2280120849609375,0.0,3,0,3
004,no_termination,-7.2280120849609375,-7.2280120849609375,0.0,2,1,3
005,no_forbid,-6.2375946044921875,-6.2419891357421875,-0.00439453125,3,0,3
005,no_slip,-6.2375946044921875,-6.2332916259765625,0.004302978515625,3,0,3
005,no_termination,-6.2375946044921875,-6.2419586181640625,-0.004364013671875,2,1,3
006,no_forbid,-5.4748687744140625,-5.47479248046875,7.62939453125e-05,3,0,3
006,no_slip,-5.4748687744140625,-5.4770660400390625,-0.002197265625,3,0,3
006,no_termination,-5.4748687744140625,-5.4748687744140625,0.0,2,1,3
007,no_forbid,-11.658075332641602,-11.654779434204102,0.0032958984375,3,0,3
007,no_slip,-11.658075332641602,-11.654901504516602,0.003173828125,3,0,3
007,no_termination,-11.658075332641602,-11.659601211547852,-0.00152587890625,2,1,3
008,no_forbid,-4.546146392822266,-4.546131134033203,1.52587890625e-05,3,0,3
008,no_slip,-4.546146392822266,-4.546131134033203,1.52587890625e-05,2,1,3
008,no_termination,-4.546146392822266,-4.546131134033203,1.52587890625e-05,2,1,3
009,no_forbid,-5.017307281494141,-4.950687408447266,0.066619873046875,3,0,3
009,no_slip,-5.017307281494141,-5.017307281494141,0.0,3,0,3
009,no_termination,-5.017307281494141,-5.017307281494141,0.0,2,1,3
010,no_forbid,-10.075260162353516,-10.076349258422852,-0.0010890960693359375,3,0,3
010,no_slip,-10.075260162353516,-10.075138092041016,0.0001220703125,2,1,3
010,no_termination,-10.075260162353516,-10.075260162353516,0.0,2,1,3
011,no_forbid,-3.283937454223633,-3.283937454223633,0.0,3,0,3
011,no_slip,-3.283937454223633,-3.2839298248291016,7.62939453125e-06,2,1,3
011,no_termination,-3.283937454223633,-3.283937454223633,0.0,2,1,3
012,no_forbid,-9.670589447021484,-9.671077728271484,-0.00048828125,3,0,3
012,no_slip,-9.670589447021484,-9.671321868896484,-0.000732421875,2,1,3
012,no_termination,-9.670589447021484,-9.668331146240234,0.00225830078125,2,1,3
013,no_forbid,-3.3845252990722656,-3.3845252990722656,0.0,3,0,3
013,no_slip,-3.3845252990722656,-3.3845252990722656,0.0,2,1,3
013,no_termination,-3.3845252990722656,-3.3845176696777344,7.62939453125e-06,2,1,3
014,no_forbid,-7.854701995849609,-7.854701995849609,0.0,3,0,3
014,no_slip,-7.854701995849609,-7.854701995849609,0.0,2,1,3
